year,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2018,12092,988,255,1215,18270,0.08170691366192524
2019,24760,1947,440,2331,37611,0.07863489499192246
2020,18589,1838,466,2254,29312,0.09887567916509764
2021,19018,1875,521,2351,30160,0.09859080870754022
2022,18317,1674,464,2104,28627,0.09139051154665065
2023,18096,1682,376,2019,28318,0.09294871794871795
2024,17121,1574,310,1856,28279,0.09193388236668419
2025,8283,900,144,1029,14042,0.10865628395508874
MULTIPLE/CONFLICTING,37,0,2,2,122,0.0
