campus_id,campus,report_year,category,family,geography,federal_2025_count,federal_raw_value,federal_status,asr_2026_count,asr_raw_value,asr_status,difference,numeric_comparable,federal_source_file,federal_source_row,federal_source_column,asr_2026_url
122409001,San Diego,2023,fondling,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,FONDL23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,fondling,criminal_offenses,publicproperty,1,1,reported_numeric,1,1,reported_numeric,0,True,Publicpropertycrime222324.xls,833,FONDL23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,fondling,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,FONDL24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,fondling,criminal_offenses,oncampus,2,2,reported_numeric,2,2,reported_numeric,0,True,Oncampuscrime222324.xls,833,FONDL24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,fondling,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,FONDL24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,fondling,criminal_offenses,publicproperty,0,0,reported_numeric,0,0,reported_numeric,0,True,Publicpropertycrime222324.xls,833,FONDL24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,incest,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,INCES23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,incest,criminal_offenses,oncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Oncampuscrime222324.xls,833,INCES23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,incest,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,INCES23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,incest,criminal_offenses,publicproperty,0,0,reported_numeric,0,0,reported_numeric,0,True,Publicpropertycrime222324.xls,833,INCES23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,incest,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,INCES24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,incest,criminal_offenses,oncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Oncampuscrime222324.xls,833,INCES24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,incest,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,INCES24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2024,incest,criminal_offenses,publicproperty,0,0,reported_numeric,0,0,reported_numeric,0,True,Publicpropertycrime222324.xls,833,INCES24,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,statutory_rape,criminal_offenses,residential,0,0,reported_numeric,0,0,reported_numeric,0,True,Residencehallcrime222324.xls,833,STATR23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,statutory_rape,criminal_offenses,oncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Oncampuscrime222324.xls,833,STATR23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,statutory_rape,criminal_offenses,noncampus,0,0,reported_numeric,0,0,reported_numeric,0,True,Noncampuscrime222324.xls,833,STATR23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
122409001,San Diego,2023,statutory_rape,criminal_offenses,publicproperty,0,0,reported_numeric,0,0,reported_numeric,0,True,Publicpropertycrime222324.xls,833,STATR23,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=7
