UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,MURD23,NEG_M23,RAPE23,FONDL23,INCES23,STATR23,ROBBE23,AGG_A23,BURGLA23,VEHIC23,ARSON23,MURD24,NEG_M24,RAPE24,FONDL24,INCES24,STATR24,ROBBE24,AGG_A24,BURGLA24,VEHIC24,ARSON24,FILTER22,FILTER23,FILTER24
123961006,University of Southern California,00132800  ,Marina del Rey,4676 Admiralty Way,Marina del Rey,CA,90292,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
123961007,University of Southern California,00132800  ,Health Science Alhambra Building,1000 Fremont Av.,Alhambra,CA,91803,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
123961008,University of Southern California,00132800  ,San Diego Alzheimer's Research Institute,9860 Mesa Rim Road,San Diego,CA,92121,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
123961009,University of Southern California,00132800  ,Aviation Safety & Security,6033 West Century Blvd,Los Angeles,CA,90045,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
123961015,University of Southern California,00132800  ,USC - Washington D.C. Capitol Campus,1771 N St NW,Washington,DC,20036,2,"Private nonprofit, 4-year or above",21836,24730,46566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
130794001,Yale University,00142600  ,Main Campus,105 Wall Street,NEW HAVEN,CT,06511,2,"Private nonprofit, 4-year or above",7275,8289,15564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
130794002,Yale University,00142600  ,Yale University - West Campus,400 West Campus Drive,Orange,CT,06477,2,"Private nonprofit, 4-year or above",7275,8289,15564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496001,Georgetown University,00144500  ,Hilltop Campus,37TH AND O ST NW,WASHINGTON,DC,20057,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496002,Georgetown University,00144500  ,Capitol Campus,"600 New Jersey Avenue, N.W.",Washington,DC,20001,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496003,Georgetown University,00144500  ,"Villa le Balze, Fiesole, Italy","Via  Vecchia Fiesolana #26, 50014 Fiesole, Italy",Florence,,,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496005,Georgetown University,00144500  ,"Education City, Doha, Qatar","P.O Box  23689  -  Doha, Qatar",Doha,,20057,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496006,Georgetown University,00144500  ,Center for Transnational Legal Studies,"Swan House, 37 High Holborn",London,,WC1V 6AA,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
131496007,Georgetown University,00144500  ,School of Continuing Studies,640 Massachusetts Avenue N.W.,Washington,DC,20001,2,"Private nonprofit, 4-year or above",8833,11198,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130001,University of Florida,00153500  ,University of Florida Gainesville - Main Campus,University of Florida,Gainesville,FL,32611,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130002,University of Florida,00153500  ,UF Health Jacksonville,648 W 11th St.,Jacksonville,FL,32209,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130003,University of Florida,00153500  ,UF Research and Academic Center at Lake Nona,6550 Sanger Rd,Orlando,FL,32827,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130005,University of Florida,00153500  ,Whitney Laboratory for Marine Bioscience,9505 N Ocean Shore Blvd,St. Augustine,FL,32080,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130006,University of Florida,00153500  ,UF Historic St. Augustine,48 King St,St. Augustine ,FL,32084,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130008,University of Florida,00153500  ,CityLab Orlando,135 W Central Blvd #500 ,Orlando,FL,32801,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130009,University of Florida,00153500  ,Preservation Institute Nantucket,11 Centre St #7,Nantucket,MA,02554,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130010,University of Florida,00153500  ,Vicenza Institute of Architecture,"Contra S.S. Apostoli, 51",Vicenza,,36100,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130011,University of Florida,00153500  ,UF Research and Engineering Education Facility (REEF),1350 Poquito Rd N,Shalimar,FL,32579,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130012,University of Florida,00153500  ,Citrus Research and Education Center ,700 Experiment Station Rd,Lake Alfred,FL,33850,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130013,University of Florida,00153500  ,Everglades Research and Education Center ,3200 E Palm Beach Rd,Belle Glade,FL,33430,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130014,University of Florida,00153500  ,Florida Medical Entomology Laboratory ,200 9th St SE,Vero Beach,FL,32962,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130015,University of Florida,00153500  ,Fort Lauderdale Research and Education Center ,3205 College Ave,Davie,FL,33314,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130017,University of Florida,00153500  ,Gulf Coast Research and Education Center,14625 Co Rd 672,Wimauma,FL,33598,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130018,University of Florida,00153500  ,Indian River Research and Education Center Campus,2199 South Rock Road,Fort Pierce,FL,34945,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130019,University of Florida,00153500  ,Mid Florida Research and Education Center ,2725 S Binion Rd,Apopka ,FL,32703,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130020,University of Florida,00153500  ,Nature Coast Biological Station ,552 1st St,Cedar Key,FL,32625,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130021,University of Florida,00153500  ,North Florida Research and Education Center Campus (Suwannee Valley),7580 C.R. 136,Live Oak,FL,32060,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
134130022,University of Florida,00153500  ,North Florida Research and Education Center (Quincy),155 Research Rd,Quincy,FL,32351,1,"Public, 4-year or above",24863,31448,56311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
