UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,MURD23,NEG_M23,RAPE23,FONDL23,INCES23,STATR23,ROBBE23,AGG_A23,BURGLA23,VEHIC23,ARSON23,MURD24,NEG_M24,RAPE24,FONDL24,INCES24,STATR24,ROBBE24,AGG_A24,BURGLA24,VEHIC24,ARSON24,FILTER22,FILTER23,FILTER24
162928015,Johns Hopkins University,00207700  ,Bayview Medical Center,4940 Eastern Ave,Baltimore,MD,21224,2,"Private nonprofit, 4-year or above",14243,15967,30210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027001,Harvard University,00215500  ,Cambridge Campus,Massachusetts Hall,Cambridge,MA,02138,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027002,Harvard University,00215500  ,Longwood Campus,Massachusetts Hall,Cambridge,MA,02138,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027003,Harvard University,00215500  ,Concord Field Station,100 Old Causeway Road,Bedford,MA,01730,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027004,Harvard University,00215500  ,Arnold Arboretum,125 Arborway,Boston,MA,02130,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027006,Harvard University,00215500  ,Harvard Forest,324 North Main Street,Petersham,MA,01366,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027008,Harvard University,00215500  ,Center for Hellenic Studies,Othonos Street & Philhellene Square,Nafplion,,21 100,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166027009,Harvard University,00215500  ,DRCLAS - Chile,"Avenida Dag Hammarskjold 3269, Piso 3",Santiago,,7630000,2,"Private nonprofit, 4-year or above",13812,16447,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
166683001,Massachusetts Institute of Technology,00217800  ,MIT,77 MASSACHUSETTS AVE,CAMBRIDGE,MA,021394307,2,"Private nonprofit, 4-year or above",6650,5236,11886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
170976001,University of Michigan-Ann Arbor,00232500  ,Ann Arbor campus,1109 Geddes Ave,ANN ARBOR,MI,481091079,1,"Public, 4-year or above",24997,27858,52855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
182670001,Dartmouth College,00257300  ,Dartmouth College  Main Campus,14 North Main Street,HANOVER,NH,03755,2,"Private nonprofit, 4-year or above",3534,3404,6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
182670002,Dartmouth College,00257300  ,Lebanon Campus ,One Medical Centre Drive,Lebanon,NH,03756,2,"Private nonprofit, 4-year or above",3534,3404,6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
186131001,Princeton University,00262700  ,Main Campus,1 Nassau Hall,PRINCETON,NJ,085440070,2,"Private nonprofit, 4-year or above",4759,4378,9137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
186131002,Princeton University,00262700  ,James Forrestal Campus,P.O. Box 451,Princeton,NJ,085430451,2,"Private nonprofit, 4-year or above",4759,4378,9137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150001,Columbia University in the City of New York,00270700  ,Morningside Campus,535 West 116th Street,New York,NY,10027,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150002,Columbia University in the City of New York,00270700  ,Medical Center Campus,622 West 168th Street,New York,NY,10032,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150004,Columbia University in the City of New York,00270700  ,Lamont-Doherty Earth Observatory,61 Route 9W,Palisades,NY,10964,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150005,Columbia University in the City of New York,00270700  ,Nevis Laboratories,Route 9,Irvington,NY,10533,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150006,Columbia University in the City of New York,00270700  ,Manhattanville Campus,3270 Broadway,New York,NY,10027,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190150007,Columbia University in the City of New York,00270700  ,Baker Athletics Complex ,533 West 218th Street,New York,NY,10034,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
190150008,Columbia University in the City of New York,00270700  ,CU Paris / Reid Hall,4 rue de Chevreuse,Paris,,75006,2,"Private nonprofit, 4-year or above",15887,19286,35173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
190415001,Cornell University,00271100  ,Endowed and Contract College Campuses,353 Pine Tree Road,ITHACA,NY,148531701,2,"Private nonprofit, 4-year or above",12696,14097,26793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190415002,Cornell University,00271100  ,Cornell Tech Campus,2 West Loop Road,New York,NY,10044,2,"Private nonprofit, 4-year or above",12696,14097,26793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
190415003,Cornell University,00271100  ,Cornell AgriTech Campus,630 W. North Street,Geneva,NY,14456,2,"Private nonprofit, 4-year or above",12696,14097,26793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900001,New York University,00278500  ,NYU Washington Square ,70 Washington Square South,New York,NY,10012,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900002,New York University,00278500  ,NYU Grossman School of Medicine,530 First Avenue,New York,NY,10018,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900003,New York University,00278500  ,NYU in Florence/Villa La Pietra,Via Bolognese 120,Florence,,50139,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900004,New York University,00278500  ,NYU Accra,"4th Norla Road, North Labone",Accra,,,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900005,New York University,00278500  ,NYU London,265 Strand,London,,WC2R 1DH,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900006,New York University,00278500  ,NYU Madrid,"Calle del Barquillo, 13",Madrid,,28002,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900007,New York University,00278500  ,NYU Paris,57-59 Boulevard St. Germain,Paris,,75016,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900008,New York University,00278500  ,NYU Prague,"11 Male Namesti, Praha 1, Czech Republic 11000",Praha,,11000,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900009,New York University,00278500  ,NYU Berlin - Academic Center,"Schönhauser Allee 36, 10435",Berlin,,10435,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900012,New York University,00278500  ,NYU Buenos Aires,Anchorena 1314,Buenos Aires,,,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900013,New York University,00278500  ,NYU Shanghai,"No. 567, West Yangsi Road",Pudong Shanghai,,,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900014,New York University,00278500  ,NYU in Tel Aviv,Brandeis Street 17,Tel Aviv,,62260,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900016,New York University,00278500  ,NYU Abu Dhabi,P.O. Box 129188,Abu Dhabi,,,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900017,New York University,00278500  ,NYU Sydney,"Merewether H04 Buidling,  Academic Center, University of Sydney",Sydney,,NSW 2000,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900018,New York University,00278500  ,"NYU Washington, DC","1307 L Street, NW",Washington,DC,200054112,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900019,New York University,00278500  ,NYU Brooklyn Commons,370 Jay Street,Brooklyn,NY,11201,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900023,New York University,00278500  ,NYU Grossman Long Island School of Medicine,222 Station Plaza North,Mineola,NY,11501,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900024,New York University,00278500  ,NYU Los Angeles,145 South Fairfax Avenue,Los Angeles,CA,90036,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900025,New York University,00278500  ,NYU Langone Hospital - Brooklyn,150 55th Street,Brooklyn,NY,11220,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900026,New York University,00278500  ,NYU Berlin St. Agnes,Alexandrinenstrasse 118-123,Berlin,,10969,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900027,New York University,00278500  ,NYU Kips Bay,433 First Avenue,New York,NY,10010,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900028,New York University,00278500  ,NYU Midtown Center,11 West 42nd Street,New York,NY,10036,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900029,New York University,00278500  ,NYU Upper East Side,1 E. 78th Street,New York,NY,10075,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
193900031,New York University,00278500  , NYU Westchester,1 Mead Way,Bronxville,NY,10708,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
193900033,New York University,00278500  ,NYU Athens,34 Taskalof Street,Athens,,106 73,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
193900034,New York University,00278500  ,NYU Rockland ,125 Route 340,Sparkill,NY,10976,2,"Private nonprofit, 4-year or above",23777,33055,56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
198419001,Duke University,00292000  ,Main Campus,207 ALLEN BLDG. BOX 90001,DURHAM,NC,27708,2,"Private nonprofit, 4-year or above",7778,9721,17499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
198419002,Duke University,00292000  ,Marine Laboratory,135 Duke Marine Lab Road,Beaufort,NC,285169721,2,"Private nonprofit, 4-year or above",7778,9721,17499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
198419003,Duke University,00292000  ,Duke in DC,"1201 Pennsylvania Avenue, N.W.",Washington,DC,20004,2,"Private nonprofit, 4-year or above",7778,9721,17499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
199120001,University of North Carolina at Chapel Hill,00297400  ,The University of North Carolina at Chapel Hill,"CB 9100, 200 South Building UNC-Chapel Hill",CHAPEL HILL,NC,275999100,1,"Public, 4-year or above",12821,19617,32438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
199120002,University of North Carolina at Chapel Hill,00297400  ,The Institute for Marine Sciences,3431 Arendell St,Morehead City,NC,28557,1,"Public, 4-year or above",12821,19617,32438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
199120003,University of North Carolina at Chapel Hill,00297400  ,Kenan-Flagler Business School - Charlotte Campus,620 S. Tryon St.,Charlotte,NC,28202,1,"Public, 4-year or above",12821,19617,32438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
204796001,Ohio State University-Main Campus,00309000  ,Main Campus,190 N. OVAL MALL,COLUMBUS,OH,43210,1,"Public, 4-year or above",29217,32226,61443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440001,Carnegie Mellon University,00324200  ,Main Campus,5000 FORBES AVE,PITTSBURGH,PA,15213,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440003,Carnegie Mellon University,00324200  ,Qatar,Education City,Doha,,,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440004,Carnegie Mellon University,00324200  ,Silicon Valley,"Building 23, Nasa Ames Research Park",Moffett Field,CA,94035,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440005,Carnegie Mellon University,00324200  ,New York City,"88 Pine Street -Wall Street Plaza, 12th Floor",New York,NY,10005,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440006,Carnegie Mellon University,00324200  ,Los Angeles,"4640 Lankershim Blvd, suite 125",North Hollywood,CA,91602,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
211440007,Carnegie Mellon University,00324200  ,CMU-Africa,"Boulevard de l Umuganda, Telecom House 4th Fl",Kigali,,,2,"Private nonprofit, 4-year or above",8977,6911,15888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
214777001,Pennsylvania State University-Main Campus,00332900  ,University Park Campus Penn State,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,1,"Public, 4-year or above",26611,24126,50737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
214777002,Pennsylvania State University-Main Campus,00332900  ,Dickinson Law,150 South College St,Carlisle,PA,17013,1,"Public, 4-year or above",26611,24126,50737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
214777003,Pennsylvania State University-Main Campus,00332900  ,Hershey College of Medicine ,700 HMC Crescent Road,Hershey,PA,17033,1,"Public, 4-year or above",26611,24126,50737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062001,University of Pennsylvania,00337800  ,Main Campus,1 COLLEGE HALL 34TH AND SPRUCE STS,PHILADELPHIA,PA,191046380,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062003,University of Pennsylvania,00337800  ,University Boathouse on the Schuylkill River,11 Kelly Drive,Philadelphia,PA,19130,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062004,University of Pennsylvania,00337800  ,New Bolton Center,382 W Street Road,Kennett Square,PA,193481691,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062005,University of Pennsylvania,00337800  ,Morris Arboretum,100 East Northwestern Avenue,Philadelphia,PA,19118,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062006,University of Pennsylvania,00337800  ,Wharton San Francisco,"2 Harrison Street, 6th Fl",San Francisco,CA,94105,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
215062007,University of Pennsylvania,00337800  ,Wharton Center City,2401 Walnut Street,Philadelphia,PA,19103,2,"Private nonprofit, 4-year or above",12877,16232,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
217156001,Brown University,00340100  ,Main Campus,Prospect Street,PROVIDENCE,RI,02912,2,"Private nonprofit, 4-year or above",5703,6253,11956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778001,The University of Texas at Austin,00365800  ,The University of Texas at Austin,Main Building Suite 400,Austin,TX,78712,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778002,The University of Texas at Austin,00365800  ,J.J. Pickle Research Campus,10100 Burnet Road,Austin,TX,78758,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778003,The University of Texas at Austin,00365800  ,Marine Science Institute,750 Channel View Drive,Port Aransas,TX,78373,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778005,The University of Texas at Austin,00365800  ,Winedale Historical Complex,3738 FM 2714,Round Top,TX,789544901,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778007,The University of Texas at Austin,00365800  ,Wofford Denius UTLA Center,100 E. Tujunga Ave. Suite 200,Burbank,CA,91502,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778010,The University of Texas at Austin,00365800  ,LBJ Washington Center,1100 New York Ave NW,Washington,DC,20005,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
228778011,The University of Texas at Austin,00365800  ,UT in New York,"28 W 44th St, 15th Floor",New York ,NY,10036,1,"Public, 4-year or above",23614,30250,53864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076001,University of Virginia-Main Campus,00374500  ,Main Campus,1827 University Ave,CHARLOTTESVILLE,VA,22904,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076005,University of Virginia-Main Campus,00374500  ,University of Virginia Richmond Center,"2810 North Parham Road, Suite 300",Richmond,VA,23294,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076009,University of Virginia-Main Campus,00374500  ,Mountain Lake Biological Station,240 Salt Pond Cir,Pembroke,VA,24136,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076012,University of Virginia-Main Campus,00374500  ,Darden Sands Family Grounds ,1100 Wilson Boulevard,Arlington ,VA,22209,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076013,University of Virginia-Main Campus,00374500  ,UVA-Inova,3300 Gallows Road,Falls Church,VA,22042,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
234076014,University of Virginia-Main Campus,00374500  ,Morven Campus,600 Morven Drive,Charlottesville,VA,22902,1,"Public, 4-year or above",11946,14463,26409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
236948001,University of Washington-Seattle Campus,00379800  ,Main Campus,NONE,SEATTLE,WA,981954550,1,"Public, 4-year or above",29577,27420,56997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
240444001,University of Wisconsin-Madison,00389500  ,Main Campus,500 LINCOLN DR,MADISON,WI,53706,1,"Public, 4-year or above",23932,27112,51044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744001,Stanford University,00130500  ,Main Campus,450 Jane Stanford Way,STANFORD,CA,943052061,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744002,Stanford University,00130500  ,Stanford in Washington,"2661 Connecticut Ave, N.W.",Washington,DC,20008,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744003,Stanford University,00130500  ,Hopkins Marine Station,120 Ocean View Boulevard,Pacific Grove,CA,939503094,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744004,Stanford University,00130500  ,"Stanford in Santiago, Chile","Santiago, Chile",Santiago,,750-0753,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744006,Stanford University,00130500  ,"Stanford in Berlin, Germany",Pacellialee 18-20,Berlin,,14195,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744007,Stanford University,00130500  ,Stanford Japan Center,"Kyoto, Japan",Kyoto,,,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744008,Stanford University,00130500  ,Stanford in Paris,"Paris, France",Paris,,,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744009,Stanford University,00130500  ,Stanford in Florence,Piazza Santa Maria Sopr'Arno 1,Firenze,,0000,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744010,Stanford University,00130500  ,Stanford in Oxford,"Oxford, England",Oxford,,,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744013,Stanford University,00130500  ,"Stanford in Madrid, Spain","Instituto Internacional, Miguel Angel, 8",Madrid,,,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744014,Stanford University,00130500  ,"Stanford in Capetown, South Africa","Waverley Business Park Bldg 11A, Wycroft Road",Cape Town,,,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
243744015,Stanford University,00130500  ,Stanford in New York,915 Broadway Suite 1801,New York,NY,10010,2,"Private nonprofit, 4-year or above",9667,8958,18625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
445188001,University of California-Merced,04127100  ,"University of California, Merced",5200 North Lake Road,Merced,CA,95343,1,"Public, 4-year or above",5012,4098,9110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
