campus_id,year,category,geography,federal_count,current_report_count,current_status,comparison,pdf_page,source_url,source_sha256
123961001,2023,fondling,publicproperty,7,7,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,fondling,residential,2,2,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,incest,noncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,incest,oncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,incest,publicproperty,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,incest,residential,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,motor_vehicle_theft,noncampus,30,30,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,motor_vehicle_theft,oncampus,246,246,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,motor_vehicle_theft,publicproperty,21,21,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,motor_vehicle_theft,residential,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,murder,noncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,murder,oncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,murder,publicproperty,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,murder,residential,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,negligent_manslaughter,noncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,negligent_manslaughter,oncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,negligent_manslaughter,publicproperty,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,negligent_manslaughter,residential,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,rape,noncampus,5,5,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,rape,oncampus,16,16,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,rape,publicproperty,1,1,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,rape,residential,12,12,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,robbery,noncampus,2,2,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,robbery,oncampus,9,9,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,robbery,publicproperty,19,19,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,robbery,residential,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,stalking,noncampus,3,3,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,stalking,oncampus,40,40,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,stalking,publicproperty,0,0,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,stalking,residential,9,9,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,statutory_rape,noncampus,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,statutory_rape,oncampus,1,1,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2023,statutory_rape,publicproperty,0,0,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
