campus_id,year,category,geography,federal_count,current_report_count,comparison,current_pdf_page,federal_source_file,federal_source_row,federal_source_column
198419001,2023,incest,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,INCES23
198419001,2024,incest,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,INCES24
198419001,2022,statutory_rape,oncampus,0,0,numeric_agreement,41,Oncampuscrime222324.xls,4617,STATR22
198419001,2023,statutory_rape,oncampus,0,0,numeric_agreement,41,Oncampuscrime222324.xls,4617,STATR23
198419001,2024,statutory_rape,oncampus,0,0,numeric_agreement,41,Oncampuscrime222324.xls,4617,STATR24
198419001,2022,statutory_rape,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,STATR22
198419001,2023,statutory_rape,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,STATR23
198419001,2024,statutory_rape,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,STATR24
198419001,2022,statutory_rape,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,STATR22
198419001,2023,statutory_rape,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,STATR23
198419001,2024,statutory_rape,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,STATR24
198419001,2022,statutory_rape,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,STATR22
198419001,2023,statutory_rape,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,STATR23
198419001,2024,statutory_rape,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,STATR24
198419001,2022,robbery,oncampus,1,1,numeric_agreement,41,Oncampuscrime222324.xls,4617,ROBBE22
198419001,2023,robbery,oncampus,1,1,numeric_agreement,41,Oncampuscrime222324.xls,4617,ROBBE23
198419001,2024,robbery,oncampus,1,1,numeric_agreement,41,Oncampuscrime222324.xls,4617,ROBBE24
198419001,2022,robbery,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,ROBBE22
198419001,2023,robbery,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,ROBBE23
198419001,2024,robbery,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,ROBBE24
198419001,2022,robbery,noncampus,1,1,numeric_agreement,41,Noncampuscrime222324.xls,4617,ROBBE22
198419001,2023,robbery,noncampus,1,1,numeric_agreement,41,Noncampuscrime222324.xls,4617,ROBBE23
198419001,2024,robbery,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,ROBBE24
198419001,2022,robbery,publicproperty,2,2,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ROBBE22
198419001,2023,robbery,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ROBBE23
198419001,2024,robbery,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ROBBE24
198419001,2022,aggravated_assault,oncampus,9,9,numeric_agreement,41,Oncampuscrime222324.xls,4617,AGG_A22
198419001,2023,aggravated_assault,oncampus,4,4,numeric_agreement,41,Oncampuscrime222324.xls,4617,AGG_A23
198419001,2024,aggravated_assault,oncampus,2,2,numeric_agreement,41,Oncampuscrime222324.xls,4617,AGG_A24
198419001,2022,aggravated_assault,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,AGG_A22
198419001,2023,aggravated_assault,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,AGG_A23
198419001,2024,aggravated_assault,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,AGG_A24
198419001,2022,aggravated_assault,noncampus,4,4,numeric_agreement,41,Noncampuscrime222324.xls,4617,AGG_A22
198419001,2023,aggravated_assault,noncampus,1,1,numeric_agreement,41,Noncampuscrime222324.xls,4617,AGG_A23
198419001,2024,aggravated_assault,noncampus,1,1,numeric_agreement,41,Noncampuscrime222324.xls,4617,AGG_A24
198419001,2022,aggravated_assault,publicproperty,1,1,numeric_agreement,41,Publicpropertycrime222324.xls,4617,AGG_A22
198419001,2023,aggravated_assault,publicproperty,1,1,numeric_agreement,41,Publicpropertycrime222324.xls,4617,AGG_A23
198419001,2024,aggravated_assault,publicproperty,1,1,numeric_agreement,41,Publicpropertycrime222324.xls,4617,AGG_A24
198419001,2022,burglary,oncampus,38,38,numeric_agreement,41,Oncampuscrime222324.xls,4617,BURGLA22
198419001,2023,burglary,oncampus,23,23,numeric_agreement,41,Oncampuscrime222324.xls,4617,BURGLA23
198419001,2024,burglary,oncampus,20,20,numeric_agreement,41,Oncampuscrime222324.xls,4617,BURGLA24
198419001,2022,burglary,residential,5,5,numeric_agreement,41,Residencehallcrime222324.xls,4617,BURGLA22
198419001,2023,burglary,residential,1,1,numeric_agreement,41,Residencehallcrime222324.xls,4617,BURGLA23
198419001,2024,burglary,residential,3,3,numeric_agreement,41,Residencehallcrime222324.xls,4617,BURGLA24
198419001,2022,burglary,noncampus,5,5,numeric_agreement,41,Noncampuscrime222324.xls,4617,BURGLA22
198419001,2023,burglary,noncampus,2,2,numeric_agreement,41,Noncampuscrime222324.xls,4617,BURGLA23
198419001,2024,burglary,noncampus,1,1,numeric_agreement,41,Noncampuscrime222324.xls,4617,BURGLA24
198419001,2022,burglary,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,BURGLA22
