Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
PC,148.9(A),FALSE IDENT TO PEACE OFCR (M),other,MISDEMEANOR,573,571
HS,11375(B)(2),POSS CNTL SUB W/O PRESCRIPTION (M),other,MISDEMEANOR,559,555
PC,273A(B),WILLFUL CRUELTY TO CHILD NO GBI (M),ambiguous_related,MISDEMEANOR,549,546
PC,243D,BATTERY W/SER BODILY INJURY (F),ambiguous_related,FELONY,538,526
VC,23154(A),OPERATE MOTOR VEHICLE W/0.01% OR MORE BAC WHILE ON PROBATION FOR DUI (I),other,INFRACTION,538,538
PC,69(A),OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),other,FELONY,534,534
PC,602,TRESPASSING (M),other,MISDEMEANOR,509,503
PC,368(B)(1),CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),ambiguous_related,FELONY,492,491
VC,23152(G),DUI ALCOHOL/DRUG (M),other,MISDEMEANOR,486,486
PC,459,BURGLARY (VEHICLE) (F),other,FELONY,464,454
PC,273A(A),WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),ambiguous_related,FELONY,464,452
PC,4573.6,POSS CONTROLLED SUBS IN PRISON/JAIL (F),other,FELONY,435,435
PC,487(A),GRAND THEFT (Shoplifting) (F),other,FELONY,430,413
PC,4573,BRING CONTROLLED SUBS INTO PRISON/JAIL (F),other,FELONY,424,420
PC,487(A),GRAND THEFT:MONEY/LABOR/PROPERTY (F),other,FELONY,411,399
PC,647(F)DK,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG (M),other,MISDEMEANOR,400,394
PC,22210,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),other,FELONY,398,397
PC,22810(A),UNLAWFUL POSSESS/USE TEAR GAS OR TEAR GAS WEAPON:EX FEL/ETC (M),other,MISDEMEANOR,390,390
PC,417A1,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),other,MISDEMEANOR,388,388
