Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
VC,4463(A)(1),FORGE/ALTER VEH REGISTRATION (F),other,FELONY,38,38
VC,23222(A),POSS OPEN CONTAINER WHILE DRVG (I),other,INFRACTION,38,38
BP,22435.2B,POSS SHOPPING/LAUNDRY CART (M),other,MISDEMEANOR,38,38
PC,33215,MFG/IMPORT/ETC SHORT BARRELED RIFLE (F),other,FELONY,38,38
HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS,other,MISDEMEANOR,38,38
ZZ,OW-F,FELONY OTHER AGENCY'S WARRANT,other,FEL,37,36
VC,23152(A),DUI ALCOHOL,other,MIS,37,37
PC,22810(B),NARCOTIC ADDICT POSSESS/PURCHASE/USE/ETC TEARGAS/TEARGAS (M),other,MISDEMEANOR,37,37
VC,21651B,LANE USAGE:DIV HWY:DRIVE WRONG SIDE OF BARRIER (M),other,MISDEMEANOR,37,37
PC,4532(B)(1),ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH A FELONY (F),other,FELONY,37,37
PC,203,MAYHEM (F),other,FELONY,37,37
VC,23152(B),DUI ALC/0.08 PERCENT,other,MIS,37,37
PC,451B,ARSON:INHABITED STRUCTURE/PROP (F),other,FELONY,36,36
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (M),ambiguous_related,FELONY,36,36
PC,25850(C)(4),CARRY LOADED FIREARM:UNLAWFUL/PROHIBITED POSSESSION (F),other,FELONY,36,36
PC,653X(A),ANNOYING CALLS TO 911 (M),other,MISDEMEANOR,36,36
PC,25400(A)(2),CARRY CONCEALED WEAPON ON PERSON (M),other,MISDEMEANOR,36,34
PC,415(2),DISORD CONDUCT:DIST BY LOUD/UNREASONABLE NOISE (M),other,MISDEMEANOR,36,36
WI,777A,FAIL TO OBEY ORDER OF JUVENILE COURT 601 WI (S),other,MISDEMEANOR,35,35
PC,4532(B)(1),ATT/ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH A FELONY (F),other,FELONY,35,35
PC,350(A)(2),MFG/SELL 1000 OR MORE COUNTERFEIT REG MARK (F),other,FELONY,34,34
PC,33410,POSSESS SILENCER (F),other,FELONY,34,32
PC,243(C)(1),BATTERY AGAINST EMERGENCY PERSON MINOR INJURY (M),ambiguous_related,MISDEMEANOR,34,34
ZZ,11,FEDERAL/ALL OTHERS,other,FELONY,34,34
PC,4502(B),PRISONER MANUFACTURE WEAPON (F),other,FELONY,34,34
PC,485,APPROPRIATE LOST PROPERTY [OVER $950] (F),other,FELONY,33,33
VC,23247(E),DRIVE W/O INTERLOCK Dev WHEN REQUIRED (M),other,MISDEMEANOR,33,33
PC,597(A),CRUELTY TO ANIMAL/S (F),other,FELONY,33,33
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (F),ambiguous_related,FELONY,33,33
PC,417(A)(2)(B),EXHBT FIREARM THRTNG MANNER (M),other,MISDEMEANOR,33,33
PC,1551.1,FUGITIVE FROM JUSTICE:ARREST W/OUT WARRANT (F),other,FELONY,33,33
PC,25400(A)(3),CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (F),other,FELONY,33,33
VC,23109(A),ILLEGAL SPEED CONTEST (M),other,MISDEMEANOR,33,32
PC,22410,MANUFACTURE/SALE/POSSESS/ETC SHURIKEN (F),other,FELONY,32,32
PC,273D,INFLICT MINOR INJ UPON CHILD (F),ambiguous_related,FELONY,32,32
HS,11370.6(A),POSSESS MONEY/ETC FROM SALE/ETC OF CONTROLLED SUBSTANCE (F),other,FELONY,31,30
PC,22610(B),NARCOTIC ADDICT POSS/BUY/USE STUN GUN (M),other,MISDEMEANOR,31,31
PC,647(F),DISORD CONDUCT:ALC,other,MIS,31,31
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH SERIOUS INJURY (F),ambiguous_related,FELONY,31,31
VC,23153(G),DUI ALCOHOL/DRUGS:CAUSING BODILY INJURY (F),other,FELONY,31,31
PC,475(B),P0SSESS BLANK CHECK:DEFRAUD (F),other,FELONY,31,31
PC,653M(A),ANNOYING PHONE CALL:OBSCENE/THREATENING (M),ambiguous_related,MISDEMEANOR,31,31
PC,463(B),GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F),other,FELONY,31,31
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_related,FELONY,30,27
MC,9.68.030,POSSESSION OF OPEN CONTAINER ON PUBLIC PROPERTY,other,MISDEMEANOR,30,30
PC,31360(A),VIOLENT FELON POSSESS/OWN/PURCHASE BODY ARMOR (F),other,FELONY,30,28
PC,30600(A),MFG/SELL/TRANS/ETC ASSAULT WEAPON (F),other,FELONY,30,30
PC,503,EMBEZZLEMENT ($950 OR LESS) (M),other,MISDEMEANOR,30,30
HS,11375(B),POSS FOR SALE/SELL CONTROLLED SUBS (F),other,FELONY,30,30
MC,9.20.020B,"NO ONE SHALL CAMP, LODGE, SLEEP OVERNIGHT IN PUBLIC PARK, STREET OR HIGHWAY (M)",other,INFRACTION,29,18
HS,11379.6(A),MFR CONTROLLED SUBS (F),other,FELONY,29,29
PC,463(A),BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),other,FELONY,29,28
PC,417.4,BRANDISHING FIREARM REPLICA (M),other,MISDEMEANOR,29,29
PC,4573.6(A),POSS CONTROLLED SUBS IN PRISON/JAIL,other,FELONY,29,27
VC,23103,RECKLESS DRVG:PARK LOT (M),other,MISDEMEANOR,29,29
PC,148.10(A),RESIST PEACE OFCR RSLT IN DEATH/INJ (F),other,FELONY,29,29
PC,4573.5,BRING ALC/DRUGS INTO PRISON/JAIL (F),other,FELONY,29,29
PC,243.4(A),SEXUAL BATTERY (M),ambiguous_related,MISDEMEANOR,29,29
ZZ,OW-M,MISDEMEANOR OTHER AGENCY'S WARRANT,other,MIS,28,28
PC,537(A)(1),DEFRAUDING AN INNKEEPER [$950 OR LESS] (M),other,MISDEMEANOR,28,28
PC,490.5A,PETTY THEFT FROM LIBRARY OR MERCHANT (M),other,MISDEMEANOR,28,28
PC,246.3,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEGLIGENT MANNER (M),ambiguous_related,MISDEMEANOR,27,27
VC,14601.5(A),DRIVE W/LICENSE SUSPENDED/REVOKED FOR REFUSING CHEM TEST (M),other,MISDEMEANOR,27,27
PC,853.7,FAIL TO APPEAR AFTER WRITTEN PROMISE (M),other,MISDEMEANOR,27,27
PC,594(B)(1),VANDALISM ($400 OR MORE),other,FELONY,27,27
PC,476,MAKE/PASS FICTITIOUS CHECK UNDER $950 (M),other,MISDEMEANOR,27,27
PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH,other,MISDEMEANOR,27,27
VC,23153(F),DUI DRUG:CAUSING BODILY INJURY (F),other,FELONY,27,27
PC,30305(A)(1),PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (M),other,MISDEMEANOR,26,26
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (M),ambiguous_related,MISDEMEANOR,26,26
PC,666.5(A),VEH THEFT:SPECIFIC PRS (F),other,FELONY,26,25
PC,459.5,SHOPLIFTING,other,MISDEMEANOR,26,25
PC,21710,POSSESS/MANUFACTURE/COMMERCIAL SALE COMPOSITE/WOOD KNUCKLES (M),other,MISDEMEANOR,26,26
PC,148.5(A),FALSE REPORT OF CRIME TO PEACE OFCR (M),other,MISDEMEANOR,26,26
PC,23920,POSSESS/BUY/ETC FIREARM WITHOUT IDENTIFICATION MARK (M),other,MISDEMEANOR,25,25
PC,246,SHOOT AT INHABITED DWELLING/VEH (F),ambiguous_related,FELONY,25,25
VC,23109(C),ILLEGAL SPEED EXHIBITION (M),other,MISDEMEANOR,25,23
VC,22349(A),EXCEED 65 MPH STATUTORY SPEED (I),other,INFRACTION,25,25
PC,374.7(A),LITTER/DUMP WASTE IN WATER/SHORE (M),other,MISDEMEANOR,25,12
MC,10.32.050(A),Unauthorized presence in drainage channels or storm channels,other,INFRACTION,25,25
PC,240,ASSAULT ON PERS (Simple Assault) (M),ambiguous_related,MISDEMEANOR,25,25
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (M),core_dv,FELONY,25,25
PC,136.1(B)(1),ATT TO PREVENT/DISSUADE VIC/WIT FROM REPORTING (F),ambiguous_related,FELONY,25,25
PC,415(1),DISORD CONDUCT:FIGHT/CHALLENGE FIGHT PUB PLACE (M),other,MISDEMEANOR,25,23
VC,22107,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),other,INFRACTION,25,25
VC,22348B,DRIVE IN EXCESS 100 MPH (I),other,INFRACTION,24,23
ZZ,BW-F,FELONY BENCH WARRANT (OUR AGENCY),other,FEL,24,24
VC,2800.2(A),DISREGARD SAFETY:EVADE POLICE (M),other,MISDEMEANOR,24,23
VC,23153(A),DUI ALCOHOL:CAUSING BODILY INJURY (M),other,FELONY,24,24
PC,186.22(D),CRIMINAL STREET GANG:WITH PUBLIC OFFENSE CONVICTION (F),other,FELONY,24,24
PC,452C,CAUSING FIRE OF STRUCTURE/FOREST LAND (F),other,FELONY,24,23
PC,243A,BATTERY ON PERSON,ambiguous_related,MISDEMEANOR,23,23
PC,25400(C)(4),CARRY CONCEALED WEAPON PROHIBITED CLASS/UNLAWFUL POSSESSION (F),other,FELONY,23,22
VC,21200.5,RIDING BICYCLE UNDER INFLUENCE OF ALCOHOL AND/OR DRUGS(IBR 90E),other,MISDEMEANOR,23,23
PC,12091,POSS FIREARM W/ALTERED IDENT (F),other,FELONY,23,23
PC,484E(D),USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F),other,FELONY,23,23
PC,487(D),GRAND THEFT:AUTO (F),other,FELONY,23,23
PC,4600,DAMAGE JAIL/PRISON/PROPERTY (UNDER $950) (M),other,MISDEMEANOR,23,23
PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,core_dv,MIS,22,22
PC,308A1AI,FURNISH UNDER 21 W/TOBACCO/SMOKING PARAPHERNALIA (M),other,MISDEMEANOR,22,22
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS,other,MIS,22,22
PC,20150(A),ALTER/CHANGE/ETC IMITATION FIREARM TO LOOK LIKE A FIREARM (M),other,MISDEMEANOR,22,22
PC,487(B)(3),GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F),other,FELONY,22,22
PC,136.1(A)(1),PREVENT/DISSUADE VIC/WIT (F),ambiguous_related,FELONY,22,22
PC,29180(2)(A),MANUFACTURE/ASSEMBLE FIREARM - PROVIDE SERIAL NUMBER (M),other,MISDEMEANOR,22,22
VC,4000A,NO REGISTRATION:VEHICLE/TRAILER/ETC (I),other,INFRACTION,22,22
PC,273D,INFLICT SERIOUS INJ UPON A CHILD (F),ambiguous_related,FELONY,22,22
HS,11370.4(A)4,HEROIN OR COCAINE OVER 20KG (BAIL+),other,OTHER,22,16
PC,266I(A)(1),PANDERING:PROCURE PERSON FOR PROSTITUTION (F),other,FELONY,22,22
PC,530.5(D)(2),KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT A VIOLATION (F),other,FELONY,22,22
PC,600A,WILLFULLY HARM PEACE OFCRS HORSE/DOG W/O SER INJ (M),other,MISDEMEANOR,22,22
PC,597(A),INTENTIONAL CRUELTY TO ANIMAL/S (F),other,FELONY,21,21
PC,470A,ALTER/FORGE/FALSIFY DRVRS LIC/IDENT (F),other,FELONY,21,21
MC,9.60.060,UNLAWFUL CAMPING,other,MISDEMEANOR,21,21
PC,532A,OBTAIN MONEY/ETC BY FALSE PRETENSES [$950 OR LESS] (M),other,MISDEMEANOR,21,21
PC,261.5(C),UNL SEX INTERCOURSE W/MINOR:MORE THAN 3 YRS YOUNGER (F),ambiguous_related,FELONY,21,21
PC,530,PERSONATE TO GET MONEY/PROP [$400 OR LESS] (M),other,MISDEMEANOR,21,21
PC,602.5,ENTER NONCOMMERCIAL DWELLING (M),other,MISDEMEANOR,21,19
VC,2800,FAIL TO OBEY PEACE OFFICER:LAWFUL ORDER OR INSPECTION (M),other,MISDEMEANOR,21,21
HS,11351.5,POSS/PURCHASE COCAINE BASE FOR SALE (F),other,FELONY,21,21
VC,26708(A)(1),A PERSON NOT OPERATE VEHICLE WITH WINDOW/VIEW OBSTRUCTED (I),other,INFRACTION,21,21
HS,11370.4(A)3,HEROIN OR COCAINE OVER 10KG (BAIL+),other,OTHER,20,19
VC,14610(A)(1),UNLAWFUL USE OF INVALID DRVR'S LIC (M),other,MISDEMEANOR,20,20
VC,16028(C),FAIL TO PROVE FIN RESPONS:PEACE OFCR REQ AT COLLISION (I),other,INFRACTION,20,20
VC,23110B,THROW SUBS AT VEH ON HWY W/GBI INTENT (F),other,FELONY,20,20
PC,314(1),INDECENT EXPOSURE W/PR (F),other,FELONY,20,20
VC,26710,DEFECTIVE WINDSHIELDS OR REAR WINDOW (I),other,INFRACTION,20,20
VC,31,GIVE FALSE INFO TO PEACE OFCR,other,MISDEMEANOR,20,19
PC,29900(A)(1),POSSESS/ETC FIREARM W/PR VIOLENT OFFENSE CONVICTION (F),other,FELONY,19,19
PC,266H(A),PIMPING (F),other,FELONY,19,18
MC,09.36.100,STORAGE OF PERSONAL PROPERTY IN PUBLIC PLACES PROHIBITED (M),other,MISDEMEANOR,19,19
PC,1203.2,PROBATION VIOLATION:REARREST/REVOKE [STATE SPECIFIC CRIME],other,OTHER,19,18
MC,9.36.090,UNLAWFULL CAMPING (M),other,MISDEMEANOR,19,19
MC,9.01.010,CAMPING ON PRIVATE PROPERTY,other,INFRACTION,19,15
MC,9.28.010,POSS. OPEN ALCOHOL CONTAINER IN PUBLIC,other,INFRACTION,18,17
ZZ,981000,MISCELLANEOUS INCIDENTS,other,INFRACTION,18,18
ZZ,BW-M,MISDEMEANOR BENCH WARRANT (OUR AGENCY),other,MIS,18,18
CO,32.303(A),SOCIAL HOST - FAIL TO PREVENT ALCOHOL CONSUMPTION BY MINOR (M),other,MISDEMEANOR,18,16
PC,978.5,BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,other,MISDEMEANOR,18,18
PC,647(I),DISORD CONDUCT:PEEK INTO INHABITED BUILDING (Peeping) (M),other,MISDEMEANOR,18,18
PC,288.5(A),CONTINUOUS SEXUAL ABUSE OF CHILD (F),ambiguous_related,FELONY,18,18
VC,23110A,THROW SUBS AT VEH ON HWY (M),other,MISDEMEANOR,18,18
VC,12500B,OPER MOTORCYCLE W/O PROPER LIC (I),other,INFRACTION,18,18
PC,836.6(B),ESCAPE/ATTEMPT ESCAPE AFTER ARREST (M),other,MISDEMEANOR,17,17
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM,ambiguous_related,FELONY,17,16
PC,245B,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM (F),ambiguous_related,FELONY,17,17
PC,22810(E)(1),POSSESS/PURCHASE/ETC PROJECTILE TEAR GAS WEAPON (F),other,MISDEMEANOR,17,17
PC,273.6(A),VIOLATE DOMESTIC VIOLENCE COURT ORDER,dv_labeled_order,MIS,17,17
PC,470B,FORGE/HANDWRITING (F),other,FELONY,17,17
VC,12500C,DRVG W/O VALID DRVR'S LIC IN OFFSTREET PARKING FAC (I),other,INFRACTION,17,17
HS,11370.4(A)2,HEROIN OR COCAINE OVER 4KG (BAIL+),other,OTHER,17,15
HS,11358(C),CULTIVATE MARIJUANA 6+ PLANTS (M),other,MISDEMEANOR,17,17
PC,422.7(A),VIOLATE CIVIL RIGHTS:CAUSE VIOLENT INJ (FELONY) (F),ambiguous_related,FELONY,17,16
VC,24601,FAIL TO MAINTAIN LIC PLATE LAMP (I),other,INFRACTION,17,17
VC,24252(A)(1),FAILURE TO MAINTAIN VEH LIGHTING EQUIP (I),other,INFRACTION,17,17
PC,308(A),FURNISH MINOR W/TOBACCO/SMOKING PARAPHERNALIA (M),other,MISDEMEANOR,17,17
PC,33600,MANUFACTURE/SALE/POSSESS ZIP GUN (F),other,FELONY,16,16
PC,452D,CAUSING FIRE OF PROPERTY (M),other,MISDEMEANOR,16,16
PC,368(F),FALSE IMPRISONMENT OF ELDER (F),ambiguous_related,FELONY,16,16
PC,20510,MANUFACTURE/SALE/POSSESS/ETC CANE SWORD (F),other,FELONY,16,16
PC,381(B),POSS SUBS SIMILAR TO TOLUENE (M),other,MISDEMEANOR,16,15
PC,4573.6(A),POSS CONTROLLED SUBS IN PRISON/JAIL,other,FEL,16,16
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE,ambiguous_related,FELONY,16,16
PC,488,PETTY THEFT(Mot Veh Parts) (M),other,MISDEMEANOR,16,16
HS,11357(C),POSSESS MARIJUANA ON GROUNDS DURING SCHOOL ACTIVITY - ADULT (M),other,MISDEMEANOR,16,15
HS,11391,TRANS SPORES/MUSHROOM TO PRODUCE CNTL SUB (F),other,FELONY,16,16
HS,11370.4(A)5,HEROIN OR COCAINE OVER 40KG (BAIL+),other,OTHER,16,13
HS,12677,POSS FIREWORKS W/O PERMIT (M),other,MISDEMEANOR,16,16
PC,647(F)DK,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,other,MISDEMEANOR,16,16
MC,12.28.070,VIOLATE OPERATING HOURS AT CITY PARK & REC AREAS,other,INFRACTION,16,16
PC,22810(G)(1),ILL USE OF TEAR GAS/TEAR GAS WEAPON (F),other,MISDEMEANOR,16,16
PC,241C,ASSAULT ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),ambiguous_related,MISDEMEANOR,16,16
CO,41.125(A),ENTER OR REMAIN IN COUNTY PARK AFTER CLOSING HOURS W/O AUTH (M),other,MISDEMEANOR,15,14
PC,459,BURGLARY/UNSPECIFIED,other,FELONY,15,15
PC,488,PETTY THEFT(Purse Snatch) (M),other,MISDEMEANOR,15,15
PC,459,BURGLARY (RESIDENTIAL),other,FELONY,15,13
PC,470(D),FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (M),other,MISDEMEANOR,15,13
PC,591,DAMAGE ETC/USE ETC/POWER CONNECTING LINES (F),ambiguous_related,FELONY,15,15
PC,602.1(A),TRESPASS:OBSTRUCT BUSINESS OPERS (M),other,MISDEMEANOR,15,15
PC,496D(A),POSSESS STOLEN VEHICLE/VESSEL/ETC,other,FELONY,15,15
PC,288(C)(1),LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER 11D (F),ambiguous_related,FELONY,15,15
PC,288(B)(1),LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F),ambiguous_related,FELONY,15,15
ZZ,OUT WARRANT,OUTSIDE WARRANT/MISD,other,MISDEMEANOR,15,15
PC,487(A),GRAND THEFT (Mot Veh Theft) (F),other,FELONY,15,15
VC,10851(A),TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,other,FELONY,15,15
PC,243(C)(1),BATTERY AGAINST EMERGENCY PERSON SERIOUS INJURY (F),ambiguous_related,FELONY,15,15
VC,23224A,MINOR:KNOWINGLY OPER VEH W/CARRYING ALC (M),other,MISDEMEANOR,15,15
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC,other,MISDEMEANOR,15,15
HS,11379(B),TRANS FOR SALE CONT SUBS BETWEEN COUNTIES (F),other,FELONY,15,14
PC,23920,POSSESS/BUY/ETC FIREARM W/ ALTERED IDENTIFICATION MARK (M),other,MISDEMEANOR,14,14
PC,314.1,INDECENT EXPOSURE W/PR (F),other,FELONY,14,14
PC,290(B),FAIL TO REGISTER/ETC:FELONY SEX OFFENDER WITH PRIOR (F),other,FELONY,14,14
PC,18710(A),POSSESS DESTRUCTIVE DEVICE (F),ambiguous_related,FELONY,14,14
PC,220(A),ASSAULT W/INTENT TO COMMIT RAPE (F),ambiguous_related,FELONY,14,14
PC,148.3(A),FALSE REPORT OF EMERGENCY (M),other,MISDEMEANOR,14,14
VC,5200,LIC PLATES:IMPROPER DISPLAY (I),other,INFRACTION,14,14
PC,25400(C)(1),CARRY CONCEALED WEAPON IN VEHICLE W/PRIOR CONVICTION (F),other,FELONY,14,14
VC,14604,OWNER LET UNLICD PERS OPER VEH (M),other,MISDEMEANOR,14,14
MC,9.01.025A,SLEEP OR LAY IN VEHICLE PARKED ON PUBLIC STREET/ PROPERTY 2200-0600 HRS (I),other,INFRACTION,14,14
PC,602K,TRESPASS:INJURE PROPERTY (M),other,MISDEMEANOR,14,13
PC,69(A),OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY,other,FELONY,14,14
PC,148(D),ATTEMPT TO REMOVE/ETC FIREARM FROM PEACE OFFICER/ETC (F),other,FELONY,14,14
VC,12951A,DRVG W/O DRVR'S LIC IN POSSESSION (I),other,INFRACTION,14,14
PC,463(C),PETTY THEFT:DURING STATE OF EMERGENCY - LOOTING (M),other,MISDEMEANOR,14,14
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI,ambiguous_related,FELONY,13,13
PC,30305(B)(1),PROHIBIT STREET GANG MEMBER OWN/POSSESS/ETC AMMUNITION (M),other,MISDEMEANOR,13,13
VC,23223(A),OPEN CONTAINER ALC IN VEH - DRIVER (I),other,INFRACTION,13,13
VC,14601.2(B),DRIVE MOTOR VEHICLE IN VIOLATION OF LICENSE RESTRICTIONS (M),other,MISDEMEANOR,13,13
VC,16025A,FAIL TO PROVIDE ID/VEH DATA/FINANCIAL RESPONSIBILITY:ACCIDENT (I),other,INFRACTION,13,13
HS,11370.4(B)2,AMPH/METH/PCP OVER 4KG OR 100L (BAIL+),other,OTHER,13,11
PC,25400(C)(6),CARRY A LOADED CONCEALED WEAPON ON PERSON (F),other,MISDEMEANOR,13,13
VC,14601.2(A),DRIV W/LIC SUSP/REV W/PRIOR DUI CONV,other,MISDEMEANOR,13,13
PC,372,MAINTAIN PUBLIC NUISANCE (M),other,MISDEMEANOR,13,13
PC,368(D),THEFT OF ELDER/DEPENDENT ADULT (LARCENY $950 OR LESS) (M),ambiguous_related,MISDEMEANOR,13,13
PC,417.8,EXHIBIT FIREARM/DEADLY WEAPON TO RESIST ARREST (F),other,FELONY,13,13
PC,29815(A),CONVICTED PERSON POSS/OWN/ETC FIREARM:PROBATION RESTRICTION (F),other,FELONY,13,13
PC,290.013,SEX REGISTRANT FAIL REPORT ADDRESS CHANGE (F),other,FELONY,13,13
PC,289A,SEXUAL PENETRATION W/FORCE/FEAR/ETC (F),ambiguous_related,FELONY,13,13
PC,374.4(A),LITTER PUBLIC/PRIVATE PROP (I),other,INFRACTION,13,10
PC,4573.8,POSS DRUGS/ALCOHOLIC BEVERAGE IN PRISON/JAIL,other,FELONY,13,12
PC,182(A)(5),CONSPIRACY TO COMMIT FELONY:GANG MEMBER (F),other,FELONY,13,12
HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS,other,MIS,13,13
PC,647(A),DISORD CONDUCT:SOLICIT LEWD ACT (M),other,MISDEMEANOR,13,13
PC,476A(A),INSUFFICIENT FUNDS:CHECKS/DRAFTS (F),other,FELONY,13,13
VC,10801,OWN/ETC CHOP SHOP,other,FELONY,13,13
PC,30605(A),ILLEGALLY POSSESS ANY ASSAULT WEAPON (M),other,FELONY,12,12
VC,2800.3,EVADING PEACE OFCR:CAUSING SER INJ OR DEATH,other,FELONY,12,12
CO,36.216(A),LAKESIDE AREA - VIOLATE ALCOHOLIC BEVERAGE REGULATION (M),other,INFRACTION,12,12
PC,171B(A)(3),POSS KNIFE IN PUBLIC BUILDING (F),other,FELONY,12,12
PC,273.6(A),VIOLATE DOMESTIC VIOLENCE COURT ORDER,dv_labeled_order,MISDEMEANOR,12,12
PC,171B(A)(2),POSS DEADLY WEAPON IN PUBLIC BUILDING (F),other,FELONY,12,12
PC,368(B)(1),CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT,ambiguous_related,FELONY,12,12
PC,484E(C),POSS OF ACCESS CARD W/INTENT TO USE/SELL/TRSFR (M),other,MISDEMEANOR,12,12
PC,22810(G)(1),ILL USE OF TEAR GAS/TEAR GAS WEAPON (M),other,MISDEMEANOR,12,12
PC,273.5(A),SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY,core_dv,FEL,12,12
PC,487(D),GRAND THEFT:FIREARM/ANIMAL (Theft From Building) (F),other,FELONY,12,12
PC,487(B)(1)(A),GRAND THEFT:FRUIT/FOWL/ETC [OVER $250] (F),other,FELONY,12,10
HS,11395,TREATMENT MANDATED FELONY ACT/MISD POSS W/ 2 PRIORS,other,FELONY,12,12
PC,602(L)(1),TRESPASS:POSTED LAND:REFUSE TO LEAVE (M),other,MISDEMEANOR,12,12
PC,594(B)(1),VANDALISM ($400 OR MORE),other,FEL,12,12
MC,12.08.040,PARK RULE VIOLATION (I),other,INFRACTION,12,12
MC,9.36.020,LOITERING (I),other,INFRACTION,12,12
PC,666.1(A)(1),PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),other,MISDEMEANOR,12,11
HS,11379.2,POSS FOR SALE/SELL CONT SUBS KETAMINE (F),other,FELONY,12,12
HS,11370.9(A),RECEIVE/CONCEAL VALUABLES FROM CNTRL SUBS PROCEEDS (F),other,FELONY,12,12
VC,10851(A),TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,other,FEL,12,12
HS,11390,CULTIVATE SPORES/MUSHROOMS TO PROD CNTL SUBS (F),other,FELONY,12,11
HS,11366.8(B),BUILD FALSE COMPARTMENT IN VEH TO STORE CONT SUBST (F),other,FELONY,12,12
HS,11366,KEEP PLACE TO SELL/ETC NARCOTIC CNTL SUB (M),other,MISDEMEANOR,12,12
HS,11364.7(A),DELIVER DRUG PARAPHERNALIA (M),other,MISDEMEANOR,12,12
VC,24250,DRIVE WITHOUT LIGHTS AT DARK (I),other,INFRACTION,12,11
ZZ,OUT WARRANT,OUTSIDE WARRANT/FELONY,other,FELONY,12,12
BP,22435.2(F),POSS SHOPPING/LAUNDRY CARTS (Not on Premises) (M),other,MISDEMEANOR,12,12
PC,4570,COMMUNICATE WITH PRISONER W/O CONSENT (M),other,MISDEMEANOR,11,10
PC,4573.5,BRING DRGS/ALC TO JAIL/PRSN (F),other,FELONY,11,10
HS,11351,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,other,FEL,11,11
PC,369I(A)(1),TRESPASS:RAILROAD PROP (M),other,MISDEMEANOR,11,11
PC,368(E),FIN ELDER ABUSE BY CARETAKER (F),ambiguous_related,FELONY,11,11
PC,484I(C),MAKE EQUIP FOR COUNTERFEIT ACCESS CARDS (F),other,FELONY,11,11
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI,ambiguous_related,FEL,11,11
VC,12951(B),REFUSE ON DEMAND TO GIVE LIC TO PEACE OFCR (M),other,MISDEMEANOR,11,11
VC,21453C,SIGNAL LIGHTS:RED ARROW (I),other,INFRACTION,11,11
HS,11370.4(B)3,AMPH/METH/PCP OVER 10KG OR 200L (BAIL+),other,OTHER,11,8
HS,12305,POSS EXPLOSIVE ILLEGALLY (F),other,FELONY,11,11
PC,647(F)DK,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG,other,MISDEMEANOR,11,11
HS,11352(B),TRANS/SELL CONTROLLED SUBS BETWEEN COUNTIES (F),other,FELONY,11,10
PC,518,EXTORTION (F),other,FELONY,11,11
PC,3056,VIOLATION PAROLE:FELONY,other,FEL,11,11
PC,29805,CONVICTED PERSON POSSESS/OWN/ETC FIREARM:SPECIFIC PRIORS (F),other,FELONY,11,11
PC,490.4(A)(3),ACTS AS AGENT FOR ORGANIZED PLAN TO COMMIT THEFT: OVER $950 (F),other,MISDEMEANOR,11,11
PC,206,TORTURE (F),other,FELONY,11,10
