weekday,calendar_days,eligible_all_count,core_count,eligible_all_per_day,core_per_day,weekday_name,all_source_unique_date_ids,all_source_unique_date_per_day
0,209,7999,889,38.27272727272727,4.253588516746412,Monday,10064.0,48.15311004784689
1,209,8358,803,39.99043062200957,3.8421052631578947,Tuesday,10729.0,51.334928229665074
2,208,9382,819,45.10576923076923,3.9375,Wednesday,12004.0,57.71153846153846
3,208,9446,863,45.41346153846154,4.149038461538462,Thursday,12081.0,58.08173076923077
4,209,8845,927,42.32057416267943,4.435406698564593,Friday,10978.0,52.526315789473685
5,209,7559,1108,36.16746411483253,5.301435406698564,Saturday,8604.0,41.16746411483253
6,209,7181,1228,34.35885167464115,5.875598086124402,Sunday,8036.0,38.44976076555024
