year,city_normalized,all_source_ids,core_dv_source_ids,dv_order_source_ids,broad_dv_source_ids,source_charge_rows,core_dv_share_of_source_ids
2023,RANCHITA,3,1,0,1,4,0.3333333333333333
2023,RANCHO SANTA FE,23,6,1,7,30,0.2608695652173913
2023,RIVERSIDE,2,0,0,0,2,0.0
2023,SAN BERNARDINO,1,0,0,0,1,0.0
2023,SAN CLEMENTE,11,1,0,1,19,0.09090909090909091
2023,SAN DIEGO,700,30,9,37,1079,0.04285714285714286
2023,SAN JACINTO,1,0,0,0,1,0.0
2023,SAN JUAN CAPISTRANO,4,0,0,0,7,0.0
2023,SAN MARCOS,1352,169,31,194,2174,0.125
2023,SAN MARCOS UNIN,34,7,0,7,55,0.20588235294117646
2023,SAN YSABEL,7,0,1,1,11,0.0
2023,SAN YSIDRO,12,0,0,0,29,0.0
2023,SANTA YSABEL,6,1,0,1,9,0.16666666666666666
2023,SANTEE,1126,86,24,109,1775,0.0763765541740675
2023,SHERIFF (administrative label),1300,39,60,94,1658,0.03
2023,SOLANA BEACH,141,11,1,11,229,0.07801418439716312
2023,SOUTH BAY,141,1,0,1,292,0.0070921985815602835
2023,SPRING VALLEY,961,159,33,191,1616,0.16545265348595214
2023,SUN CITY,1,0,0,0,1,0.0
2023,TECATE,59,5,0,5,72,0.0847457627118644
2023,TEMECULA,9,1,0,1,11,0.1111111111111111
2023,UNKNOWN/UNREPORTED,1,1,1,1,2,1.0
2023,VALLEY CENTER,392,43,6,49,651,0.1096938775510204
2023,VISTA,2647,230,58,287,4448,0.08689081979599547
