model,status,primary,period,outcome,exposure,rate_ratio,ci95_low,ci95_high,percent_change,coefficient_log_rate,se_hac7,two_sided_p,n_locality_days,n_days,n_zips,event_count,zero_count_locality_days,all_zero_zips_dropped,initial_locality_days,n_parameters,iterations,pearson_dispersion,poisson_deviance,residual_daily_acf1,residual_daily_acf7,max_abs_score,standard_error_method,adjustment,exposure_min,exposure_max,analysis_family,multiplicity_note,exposed_locality_days,unexposed_locality_days,p_holm_general_family
primary_high_10f,ok,True,2021-2024,eligible_all_count,temp_high_10f,1.018732708167866,0.999519040605026,1.0383157183907437,1.8732708167866097,0.01855941185132784,0.00971471266541626,0.056076105573010335,154866,1461,106,58770,125369,6,163632,160,11,1.3648990927397415,88042.62266274178,0.043213564894354184,-0.043518764028669006,8.190124576798463e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,general_eligible_arrest_records,Designated primary retrospective test; no multiplicity adjustment,,,
secondary_mean_10f,ok,False,2021-2024,eligible_all_count,temp_mean_10f,1.0149795101551427,0.9889001938714354,1.0417465912325474,1.497951015514265,0.014868425250721204,0.013281006240264298,0.26291601525596175,154866,1461,106,58770,125369,6,163632,160,11,1.364445745974814,88047.25981819499,0.04315126717822447,-0.04145743969913047,5.901173646960522e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.5100000000000002,10.32,general_eligible_arrest_records,Holm adjustment across five designated nonprimary general-arrest tests; CIs individually 95%,,,1.0
secondary_low_10f,ok,False,2021-2024,eligible_all_count,temp_low_10f,1.0000824580928853,0.9734756788747935,1.0274164467479696,0.008245809288531802,8.245469340367968e-05,0.013757850943961132,0.9952180806980689,154866,1461,106,58770,125369,6,163632,160,11,1.3635354090679763,88049.3443735554,0.04329919496551373,-0.04027295599225436,5.545902062240038e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,1.46,9.41,general_eligible_arrest_records,Holm adjustment across five designated nonprimary general-arrest tests; CIs individually 95%,,,1.0
secondary_high_ge90,ok,False,2021-2024,eligible_all_count,high_ge90f,0.9705881575369446,0.9100618597829292,1.0351399318895307,-2.9411842463055393,-0.029853043263135343,0.032852471393837505,0.36350846388456914,154866,1461,106,58770,125369,6,163632,160,11,1.3635018467486664,88047.76820423489,0.04325559993610933,-0.040600116660748455,1.1043378451286445e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,0.0,1.0,general_eligible_arrest_records,Holm adjustment across five designated nonprimary general-arrest tests; CIs individually 95%,6642.0,148224.0,1.0
secondary_heatwave_p90_3day,ok,False,2021-2024,eligible_all_count,heatwave_p90_3day,0.9933267880554447,0.8957507194895398,1.1015320293918764,-0.667321194455528,-0.00669557737843369,0.05275481743987101,0.8990046779049389,154866,1461,106,58770,125369,6,163632,160,11,1.3635183908480895,88049.30350080505,0.043389282505301975,-0.04047606742845249,1.2253592780210598e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,0.0,1.0,general_eligible_arrest_records,Holm adjustment across five designated nonprimary general-arrest tests; CIs individually 95%,2916.0,151950.0,1.0
secondary_high_lag1_10f,ok,False,2021-2024,eligible_all_count,high_lag1_10f,1.0098200849537786,0.9909627147649843,1.029036298522994,0.9820084953778618,0.00977218127634449,0.009617804528370048,0.309605033323344,154866,1461,106,58770,125369,6,163632,160,11,1.3644023419271338,88047.48560568063,0.04207247739936727,-0.042831553031049546,8.17404338659955e-11,"Daily summed score Newey-West Bartlett HAC,7 calendar-day lags,n/(n-k) correction",ZIP + year-month + day-of-week fixed effects; no arrest/population offset,2.93,11.78,general_eligible_arrest_records,Holm adjustment across five designated nonprimary general-arrest tests; CIs individually 95%,,,1.0
