institution,unitid,period,asr_housing_rape_count,fall_occupancy_sum,rate_per_1000,source_url,pdf_page,scope
UC San Diego,110680,2022,12,17906,0.6701664246621244,https://www.police.ucsd.edu/docs/annualclery.pdf,142,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
UC San Diego,110680,2023,11,18906,0.5818258753834762,https://www.police.ucsd.edu/docs/annualclery.pdf,142,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
UC San Diego,110680,2024,20,21907,0.9129501985666681,https://www.police.ucsd.edu/docs/annualclery.pdf,142,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
UC San Diego,110680,pooled,43,58719,0.7323012994090499,https://www.police.ucsd.edu/docs/annualclery.pdf,142,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
San Diego State main campus,122409,2022,9,7919,1.1365071347392348,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,7,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
San Diego State main campus,122409,2023,7,8100,0.8641975308641975,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,7,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
San Diego State main campus,122409,2024,1,8367,0.11951715071112705,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,7,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
San Diego State main campus,122409,pooled,17,24386,0.6971212991060445,https://police.sdsu.edu/_resources/files/annual-security-reports/2025-annual-security-report-finalized-08-18-25.pdf,7,"ASR named main-campus residential facilities / Auditor campus occupancy; approximate boundaries, not victimization risk"
