unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,2024,residents,statutory_rape,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,murder,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,murder,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,murder,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,murder,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,murder,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,murder,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,murder,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,negligent_manslaughter,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,negligent_manslaughter,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,negligent_manslaughter,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,negligent_manslaughter,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,negligent_manslaughter,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,negligent_manslaughter,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,negligent_manslaughter,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,negligent_manslaughter,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,negligent_manslaughter,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,robbery,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,robbery,oncampus,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,robbery,oncampus,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,robbery,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,robbery,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,robbery,residential,enrollment,0,11956,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,robbery,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,robbery,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,robbery,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,aggravated_assault,oncampus,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,aggravated_assault,oncampus,enrollment,1,11516,1,0.0868357068426537,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,aggravated_assault,oncampus,enrollment,1,11956,1,0.08364001338240214,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,aggravated_assault,residential,enrollment,0,11189,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,aggravated_assault,residential,enrollment,1,11516,1,0.0868357068426537,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,aggravated_assault,residential,enrollment,1,11956,1,0.08364001338240214,available,2025,Reported offenses relative to enrolled population; not victimization probability
