unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,pooled,housingEnrollment,domestic_violence,residential,enrollment,17,34661,3,0.49046478751334355,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,domestic_violence,residential,residents,17,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,dating_violence,oncampus,enrollment,11,34661,3,0.317359568390987,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,dating_violence,residential,enrollment,7,34661,3,0.20195608897608264,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,dating_violence,residential,residents,7,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,pooled,enrollment,stalking,oncampus,enrollment,29,34661,3,0.8366752257580566,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,housingEnrollment,stalking,residential,enrollment,10,34661,3,0.2885086985372609,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,pooled,residents,stalking,residential,residents,10,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,criminal_total,oncampus,enrollment,103,7294,3,14.121195503153277,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,criminal_total,residential,enrollment,52,7294,3,7.129147244310392,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,criminal_total,residential,residents,52,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,rape,oncampus,enrollment,9,7294,3,1.2338908692075679,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,rape,residential,enrollment,7,7294,3,0.9596928982725528,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,rape,residential,residents,7,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,fondling,oncampus,enrollment,37,7294,3,5.072662462297779,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,fondling,residential,enrollment,31,7294,3,4.250068549492734,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,fondling,residential,residents,31,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,incest,oncampus,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,incest,residential,enrollment,0,7294,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
