year,county,agency_name,jurisdiction_code,months_present,months_absent,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,strangulation_months_with_data,known_partial_months,coverage_note,unit
2002,San Diego County,La Mesa,3708,12,,347,326,2,5,48,271,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Lemon Grove,37A1,12,,150,150,2,2,22,124,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,National City,3709,12,,598,529,3,15,71,440,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Oceanside,3710,12,,2069,1125,8,38,136,943,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Ocotillo Wells DPR,3724,12,,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Poway,37A3,12,,155,144,1,5,16,122,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,San Diego,3711,12,,9881,7946,60,259,1542,6085,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,San Diego Co. Sheriff's Department,3700,12,,1873,1753,16,45,226,1466,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,San Diego Coast DPR,3725,12,,1,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,San Diego Harbor,3715,12,,3,2,0,0,0,2,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,San Marcos,3712,12,,356,319,2,6,40,271,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Santee,37A2,12,,308,288,2,6,32,248,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2002,San Diego County,Solana Beach,37A5,12,,34,31,0,0,4,27,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
