year,month,year_month,county,agency_name,jurisdiction_code,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,explicit_sheriff_partial_reporting,coverage_note,unit
2001,2,2001-02,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Carlsbad,3701,20,11,0,0,1,10,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Chula Vista,3702,126,78,1,2,14,61,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Colorado Desert DPR,3722,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Coronado,3703,6,4,0,0,0,4,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Del Mar,3704,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,El Cajon,3705,53,34,0,0,4,30,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Encinitas,37A4,14,13,0,0,2,11,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Escondido,3706,76,65,0,4,6,55,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Imperial Beach,3707,17,8,0,0,0,8,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,La Mesa,3708,24,20,0,0,4,16,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Lemon Grove,37A1,2,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,National City,3709,32,31,0,2,5,24,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Oceanside,3710,101,97,0,4,11,82,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Ocotillo Wells DPR,3724,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Poway,37A3,10,9,0,0,0,9,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,San Diego,3711,755,617,3,24,114,476,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,San Diego Co. Sheriff's Department,3700,90,81,3,3,10,65,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,San Diego Coast DPR,3725,2,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,San Diego Harbor,3715,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,San Marcos,3712,7,5,0,1,1,3,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Santee,37A2,12,12,0,0,0,12,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Solana Beach,37A5,3,2,0,0,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,UC San Diego,3797,1,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,2,2001-02,San Diego County,Vista,3713,41,39,0,0,8,31,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,CA Highway Patrol - San Diego,3799,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,CSU San Diego,3714,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Carlsbad,3701,20,17,1,0,2,14,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Chula Vista,3702,145,93,1,3,11,78,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Colorado Desert DPR,3722,1,1,0,0,0,1,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Coronado,3703,4,3,0,1,0,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Del Mar,3704,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,El Cajon,3705,103,74,0,1,3,70,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Encinitas,37A4,8,7,0,0,2,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Escondido,3706,78,71,0,4,8,59,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Imperial Beach,3707,14,8,0,0,1,7,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,La Mesa,3708,28,26,0,1,4,21,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Lemon Grove,37A1,6,6,0,0,1,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,National City,3709,38,33,0,1,6,26,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Oceanside,3710,89,84,1,3,17,63,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Ocotillo Wells DPR,3724,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Poway,37A3,7,4,0,0,2,2,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,San Diego,3711,789,629,3,20,129,477,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,San Diego Co. Sheriff's Department,3700,92,83,1,1,12,69,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,San Diego Coast DPR,3725,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,San Diego Harbor,3715,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,San Marcos,3712,11,9,0,1,0,8,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Santee,37A2,11,11,0,0,3,8,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Solana Beach,37A5,1,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,UC San Diego,3797,1,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,3,2001-03,San Diego County,Vista,3713,38,38,0,1,2,35,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,CA Highway Patrol - San Diego,3799,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,CSU San Diego,3714,1,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,CSU San Marcos,3732,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Carlsbad,3701,13,9,0,1,0,8,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Chula Vista,3702,140,90,1,1,15,73,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Colorado Desert DPR,3722,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Coronado,3703,8,5,0,0,0,5,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Del Mar,3704,0,0,0,0,0,0,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,El Cajon,3705,69,55,0,1,12,42,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
2001,4,2001-04,San Diego County,Encinitas,37A4,12,11,0,0,0,11,0,,,,0,No completeness guarantee; row presence is not complete reporting,DV-related calls resulting in a responding-agency written report; with or without arrest
