institution_unitid,campus_id,campus,report_edition,report_year,category,geography,federal_count,current_asr_count,federal_status,asr_status,difference,source_url
110699,110699001,Parnassus Heights,2026,2024,aggravated_assault,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,aggravated_assault,oncampus,4,4,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,aggravated_assault,noncampus,3,3,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,aggravated_assault,publicproperty,4,4,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,burglary,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,burglary,oncampus,22,22,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,burglary,noncampus,1,1,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,burglary,publicproperty,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,burglary,residential,3,3,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,burglary,oncampus,10,10,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,burglary,noncampus,6,6,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,burglary,publicproperty,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,motor_vehicle_theft,residential,1,1,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,motor_vehicle_theft,oncampus,9,9,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,motor_vehicle_theft,noncampus,3,3,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,motor_vehicle_theft,publicproperty,8,8,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,motor_vehicle_theft,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,motor_vehicle_theft,oncampus,6,6,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,motor_vehicle_theft,noncampus,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,motor_vehicle_theft,publicproperty,5,5,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,arson,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,arson,oncampus,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,arson,noncampus,4,4,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,arson,publicproperty,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,arson,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,arson,oncampus,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,arson,noncampus,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2024,arson,publicproperty,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,rape,residential,0,0,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
110699,110699001,Parnassus Heights,2026,2023,rape,oncampus,1,1,reported_numeric,reported_numeric,0,https://ucsf.box.com/s/owaeqqmzt4tibddl836rmfi8hk0ln4bo#page=1
