institution_unitid,campus_id,campus,report_edition,report_year,category,geography,federal_count,current_asr_count,federal_status,asr_status,difference,source_url
234076,234076001,Charlottesville,2026,2023,incest,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,statutory_rape,residential,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,statutory_rape,oncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,statutory_rape,noncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,statutory_rape,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,statutory_rape,residential,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,statutory_rape,oncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,statutory_rape,noncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,statutory_rape,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,robbery,residential,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,robbery,oncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,robbery,noncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2024,robbery,publicproperty,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,robbery,residential,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,robbery,oncampus,2,2,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
234076,234076001,Charlottesville,2026,2023,robbery,noncampus,0,0,reported_numeric,reported_numeric,0,https://cleryact.virginia.edu/report#page=113
