outcome,specification,hac_lag_days,coefficient_log_count,standard_error,count_ratio,ci95_low,ci95_high,percent_change,two_sided_p
all,R0,7,0.018894536254257573,0.009759836343411198,1.0190741675709294,0.9997656359937019,1.0387556059357543,1.907416757092938,0.05287406245402682
all,R0,14,0.018894536254257573,0.010076518548868613,1.0190741675709294,0.9991452882832497,1.0394005468361602,1.907416757092938,0.06077819874363473
all,R0,28,0.018894536254257573,0.01024813201995633,1.0190741675709294,0.998809276061329,1.0397502144810036,1.907416757092938,0.06522608692489512
all,R5,7,0.011526947814132505,0.01366813901517028,1.0115936390796636,0.9848537633939568,1.0390595321481164,1.1593639079663558,0.399035885735355
all,R5,14,0.011526947814132505,0.013745828128606374,1.0115936390796636,0.9847038132313171,1.039217759570154,1.1593639079663558,0.4017062113145514
all,R5,28,0.011526947814132505,0.01422118986190521,1.0115936390796636,0.983786799940634,1.0401864415015412,1.1593639079663558,0.4176256604211326
core,R0,7,0.027036287566484397,0.02012001448369951,1.0274050841173568,0.987678325040895,1.068729747437241,2.7405084117356813,0.17902895181791678
core,R0,14,0.027036287566484397,0.02047940988464085,1.0274050841173568,0.9869828473885396,1.069482828058365,2.7405084117356813,0.18677850993887757
core,R0,28,0.027036287566484397,0.021257073506928438,1.0274050841173568,0.9854796412245878,1.0711141688919312,2.7405084117356813,0.2034184183933676
core,R5,7,0.04731517055647477,0.03009494111831431,1.0484523983382592,0.9883979982107356,1.1121556635800438,4.845239833825912,0.11590491401432794
core,R5,14,0.04731517055647477,0.0315208260155771,1.0484523983382592,0.9856395953099136,1.1152681333135879,4.845239833825912,0.13333578144349
core,R5,28,0.04731517055647477,0.03443861441564773,1.0484523983382592,0.9800190454480889,1.121664356103041,4.845239833825912,0.16947310641516133
