predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(-0.00099824, 0.00308]",17825,0.0012720067294556916,0.9982608695652174,0.9987292134318706
"(0.00308, 0.0118]",17825,0.00631089992021261,0.9939410939691444,0.9937117683713486
"(0.0118, 0.0348]",17825,0.022897534275772,0.9781767180925666,0.9773830389046897
"(0.0348, 0.158]",17825,0.08214147932265481,0.9214025245441795,0.9218485947039083
"(0.158, 1.0]",17825,0.2483878974237142,0.782328190743338,0.7820141818985966
