zip_code,station,distance_km,absolute_elevation_difference_m,station_eligible
91901,USC00040136,5.3184894036095285,80.39999999999998,True
91902,USW00023188,17.87075175536734,70.4,True
91905,USC00040136,47.289529756629435,642.4,False
91906,USC00040136,34.42343962184949,455.4,False
91910,USW00023188,15.623980659854476,41.4,True
91911,USW00023188,18.746873130507065,69.4,True
91917,USC00040136,21.663087485561967,115.39999999999998,True
91932,USW00023188,19.777839115876255,2.4000000000000004,True
91935,USC00040136,15.730178069467515,275.4,False
91941,USW00023188,17.628667179587705,164.4,True
91942,USW00023188,15.886587768452888,164.4,True
91945,USW00023188,13.940054792756143,123.4,True
91950,USW00023188,11.036369928862097,23.4,True
91962,USC00040136,24.09904435277725,679.4,False
91977,USW00023188,17.677701296282773,276.4,False
91978,USC00040136,20.92380970870942,153.39999999999998,True
91980,USC00040136,30.98754141275963,58.39999999999998,False
92003,USW00003177,18.76240992196758,5.299999999999997,True
92004,USC00040983,22.897769258158245,155.9,True
92007,USW00003177,11.885273746838896,35.3,True
92008,USW00003177,3.711339420739808,92.3,True
92009,USW00003177,4.79497494342501,13.700000000000003,True
92011,USW00003177,3.168848729594387,8.299999999999997,True
92014,USW00003177,18.695447507098855,88.3,True
92019,USC00040136,10.83119438323502,371.6,False
92020,USC00040136,18.522841393517115,384.6,False
92021,USC00040136,9.082901850088879,266.6,False
92024,USW00003177,8.3133731949543,27.299999999999997,True
92025,USC00042863,7.149973878675558,77.9,True
92026,USC00042863,10.514662897643163,157.1,True
92027,USC00042863,10.594455070202285,323.1,False
92028,USW00003177,28.925782069159855,193.7,False
92029,USC00042863,5.056296126544679,36.099999999999994,True
92036,USC00040983,27.993639614784207,628.1,False
92040,USC00040136,13.437893268488553,38.60000000000002,True
92054,USW00003177,10.450906570929344,79.3,True
92056,USW00003177,8.017173392030095,15.700000000000003,True
92057,USW00003177,13.879330689921103,66.3,True
92058,USW00003177,16.20209642862483,16.299999999999997,True
92059,USC00042863,29.32698978752255,157.1,False
92061,USC00042863,24.85648488674816,356.1,False
92064,USW00053120,10.878839660363896,125.0,True
92065,USW00053120,8.011804981048652,77.0,True
92069,USC00042863,8.723114910635958,25.099999999999994,True
92071,USC00040136,20.424967876589086,394.6,False
92075,USW00003177,14.828061611416784,44.3,True
92078,USC00042863,8.468157869737848,119.1,True
92081,USW00003177,5.101625914961358,27.700000000000003,True
92082,USC00042863,16.657861028000724,364.1,False
92083,USW00003177,8.018457170559468,4.700000000000003,True
92084,USW00003177,12.952738077879534,233.7,False
92101,USW00023188,2.0360291796382533,4.4,True
92102,USW00023188,6.442192122489889,22.4,True
92103,USW00023188,2.1618730515112543,78.4,True
92105,USW00023188,8.753018972921133,91.4,True
92108,USW00023188,5.867941050417826,25.4,True
92110,USW00023188,3.87243740098356,2.4000000000000004,True
92113,USW00023188,7.341057240383725,6.4,True
92114,USW00023188,12.296618433430211,108.4,True
92115,USW00023188,10.853608770759783,131.4,True
92123,USW00023188,9.609714970674155,121.4,True
92127,USC00042863,11.803689140398417,22.900000000000006,True
92154,USW00023188,26.574558457106995,151.4,False
92173,USW00023188,23.331672306292518,13.4,True
