predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(-0.00099819, 0.00308]",17825,0.0012720827606589639,0.9982608695652174,0.998729137594847
"(0.00308, 0.0118]",17825,0.0063094188122566185,0.994109396914446,0.9937132349181872
"(0.0118, 0.0348]",17825,0.022909862595079475,0.9779523141654979,0.9773709668298035
"(0.0348, 0.158]",17825,0.08215676462421921,0.9214586255259467,0.9218354824444528
"(0.158, 1.0]",17825,0.24836168887959492,0.782328190743338,0.782028239400772
