predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(0.0213, 0.0713]",18701,0.04842707568358317,0.9607507619913374,0.9527912522829954
"(0.0713, 0.137]",18701,0.10385293793780509,0.9161542163520667,0.9015230226253128
"(0.137, 0.323]",18700,0.2194877844477114,0.8205882352941176,0.8042581244849035
"(0.323, 1.249]",18701,0.6832780347114641,0.5838725201860863,0.5244589709446486
"(1.249, 3.938]",18701,2.041217441257426,0.18223624405112027,0.1489105858530384
