outcome,coefficient,se_hac7,max_abs_score,max_implied_step,bfgs_success,bfgs_message,score_polish_success,counts,zips,zip_days,coefficient_absolute_difference,se_absolute_difference
all,0.018894536254257653,0.009759836343411148,3.284039706841213e-12,1.092400657036373e-15,False,Desired error not necessarily achieved due to precision loss.,True,57903,64,93504,7.979727989493313e-17,5.0306980803327406e-17
core,0.027036287566484508,0.02012001448370031,5.53712457829203e-13,1.6785752520656305e-15,False,Desired error not necessarily achieved due to precision loss.,True,6501,63,92043,1.1102230246251565e-16,8.014422459012849e-16
