predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(0.0213, 0.0713]",18701,0.04842708061194064,0.9607507619913374,0.9527912476764437
"(0.0713, 0.137]",18701,0.10385293355395929,0.9161542163520667,0.9015230261574935
"(0.137, 0.323]",18700,0.21948779052155842,0.8205882352941176,0.8042581192379124
"(0.323, 1.249]",18701,0.6832780512199822,0.5838725201860863,0.5244589579099945
"(1.249, 3.938]",18701,2.041217418130874,0.18223624405112027,0.148910587963891
