predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(0.0214, 0.0713]",18701,0.04843716003020905,0.9607507619913374,0.9527817841509776
"(0.0713, 0.137]",18701,0.1038550588055991,0.9161542163520667,0.901521054148483
"(0.137, 0.323]",18700,0.21947972597382928,0.8209090909090909,0.8042650863850292
"(0.323, 1.249]",18701,0.6833661727022001,0.5836051548045559,0.5244197955171276
"(1.249, 3.908]",18701,2.041125156095241,0.18218277097481417,0.14892108945944563
