predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
"(0.0213, 0.0713]",18701,0.04842665300769566,0.9606972889150313,0.9527916543752774
"(0.0713, 0.137]",18701,0.10385173839309655,0.9161007432757606,0.9015240794311331
"(0.137, 0.323]",18700,0.21948788497077673,0.8206417112299466,0.8042579732036881
"(0.323, 1.249]",18701,0.6832777723470114,0.5839259932623924,0.5244590755853207
"(1.249, 3.938]",18701,2.041219225324785,0.18223624405112027,0.1489120907262173
