outcome,specification,predicted_mean_stratum,zip_days,predicted_mean,observed_zero_fraction,poisson_expected_zero_fraction
all,R0,"(0.0213, 0.0467]",9351,0.03865264237863183,0.9697358571275799,0.9620968673785526
all,R0,"(0.0467, 0.0713]",9350,0.05820255438247087,0.951764705882353,0.9434846419344871
all,R0,"(0.0713, 0.105]",9350,0.0873277040767481,0.9285561497326204,0.9164233941509597
all,R0,"(0.105, 0.137]",9351,0.12037640458317811,0.9037536092396535,0.886624244551866
all,R0,"(0.137, 0.218]",9350,0.16809447249225484,0.85475935828877,0.8454969786050454
all,R0,"(0.218, 0.323]",9350,0.27088109640316793,0.7864171122994652,0.7630192703647618
all,R0,"(0.323, 0.611]",9351,0.4443879266252676,0.7078387338252593,0.6436650840878191
all,R0,"(0.611, 1.249]",9350,0.9221936925418407,0.45989304812834225,0.40524010848456415
all,R0,"(1.249, 1.976]",9350,1.5765586088267571,0.2541176470588235,0.21104222843364262
all,R0,"(1.976, 3.938]",9351,2.50582658287081,0.11036252807186397,0.08678558765726796
all,R5,"(0.015199999999999998, 0.0399]",9351,0.030686839526735166,0.9739065340605283,0.9697950278501307
all,R5,"(0.0399, 0.0566]",9350,0.0477005792247986,0.9605347593582888,0.9534299637630755
all,R5,"(0.0566, 0.083]",9350,0.06867196400568697,0.940855614973262,0.9336597689558823
all,R5,"(0.083, 0.119]",9351,0.09997729500084925,0.9182975082878837,0.9049055395102177
all,R5,"(0.119, 0.184]",9350,0.15013396189639958,0.8688770053475936,0.8607476056044912
all,R5,"(0.184, 0.263]",9350,0.22288270180436742,0.8160427807486631,0.8004215989247216
all,R5,"(0.263, 0.411]",9351,0.3179499212130803,0.7612020104801626,0.7282093483300077
all,R5,"(0.411, 1.187]",9350,0.8098197055906512,0.4976470588235294,0.46043663558643444
all,R5,"(1.187, 1.847]",9350,1.4849195967763233,0.2675935828877005,0.23030817935187564
all,R5,"(1.847, 3.75]",9351,2.3501666562753316,0.12319538017324351,0.1004765776847743
core,R0,"(-0.000571, 0.00168]",9205,0.0011342882017438068,0.9988049972840848,0.9988664189686329
core,R0,"(0.00168, 0.00283]",9204,0.002185040856909076,0.9978270317253368,0.9978174005336619
core,R0,"(0.00283, 0.0049]",9204,0.0036859301050708114,0.9957627118644068,0.9963210213141624
core,R0,"(0.0049, 0.0119]",9204,0.007728625867504873,0.9929378531073446,0.9923032537781538
core,R0,"(0.0119, 0.0209]",9205,0.016658770841175112,0.9853340575774036,0.9834823334339815
core,R0,"(0.0209, 0.032]",9204,0.025868852543979474,0.9733811386353759,0.9744676598093278
core,R0,"(0.032, 0.0627]",9204,0.04408769877874025,0.9578444154715341,0.9569042306067289
core,R0,"(0.0627, 0.156]",9204,0.11096032189276861,0.8940677966101694,0.8953113889601201
core,R0,"(0.156, 0.23]",9204,0.19423723782359212,0.8251847023033464,0.8236454898949142
core,R0,"(0.23, 0.683]",9205,0.29974207107959333,0.7419880499728408,0.7425648053373015
core,R5,"(-0.00099819, 0.00118]",8913,0.0004933238337975329,0.9998878043307529,0.9995068633896506
core,R5,"(0.00118, 0.00308]",8912,0.0020509290707033906,0.9966337522441652,0.9979513245327862
core,R5,"(0.00308, 0.00577]",8913,0.004340161057726629,0.9961853472455964,0.9956695307495137
core,R5,"(0.00577, 0.0118]",8912,0.008278897533769836,0.9920332136445242,0.9917567195743123
core,R5,"(0.0118, 0.0228]",8913,0.01733826174613333,0.9840682149669023,0.9828161126802102
core,R5,"(0.0228, 0.0348]",8912,0.028482088623654093,0.9718357271095153,0.9719252099890636
core,R5,"(0.0348, 0.0722]",8912,0.047820061078653546,0.9528725314183124,0.9533562572087784
core,R5,"(0.0722, 0.158]",8913,0.11648961574035084,0.8900482441377763,0.890318244174547
core,R5,"(0.158, 0.23]",8912,0.19545865957552166,0.8264138240574507,0.8226282188911735
core,R5,"(0.23, 1.0]",8913,0.3012587826928903,0.7382475036463593,0.741432815052241
