outcome,temperature_f,reference_f,count_ratio,ci95_low,ci95_high,within_pooled_1_99pct,interval
all,50.4,70,0.9953902231922136,0.908416400645305,1.0906911144743934,True,pointwise nominal 95%; exploratory
all,50.996249999999996,70,0.9950843684962933,0.9116086872250603,1.086203888029871,True,pointwise nominal 95%; exploratory
all,51.5925,70,0.9947786077806965,0.914798855189972,1.0817508929791986,True,pointwise nominal 95%; exploratory
all,52.18875,70,0.9944729410165456,0.9179848972441422,1.0773340970892629,True,pointwise nominal 95%; exploratory
all,52.785,70,0.994167368174972,0.9211644089418243,1.0729558658039404,True,pointwise nominal 95%; exploratory
all,53.38125,70,0.9938618892271159,0.924334491168103,1.0686190597624838,True,pointwise nominal 95%; exploratory
all,53.9775,70,0.9935565041441267,0.9274916237214034,1.0643271612160845,True,pointwise nominal 95%; exploratory
all,54.57375,70,0.9932512128971623,0.9306315000897959,1.0600844392506517,True,pointwise nominal 95%; exploratory
all,55.17,70,0.9929460154573897,0.9337488097682459,1.0558961674686524,True,pointwise nominal 95%; exploratory
all,55.76625,70,0.9926410073324793,0.9368368712043381,1.051769203075188,True,pointwise nominal 95%; exploratory
all,56.3625,70,0.9923391486052658,0.939885245439926,1.0477204431416565,True,pointwise nominal 95%; exploratory
all,56.958749999999995,70,0.9920466885814191,0.9428803116076979,1.0437768401879992,True,pointwise nominal 95%; exploratory
all,57.555,70,0.9917700511262437,0.9458085152812589,1.039965086398543,True,pointwise nominal 95%; exploratory
all,58.15125,70,0.9915156535218862,0.9486568747815156,1.0363107223624461,True,pointwise nominal 95%; exploratory
all,58.7475,70,0.9912899077000509,0.9514134540608195,1.0328376973373752,True,pointwise nominal 95%; exploratory
all,59.34375,70,0.9910992218897872,0.9540679959394599,1.029567779037912,True,pointwise nominal 95%; exploratory
all,59.94,70,0.9909500026800616,0.9566127434008851,1.026519785133259,True,pointwise nominal 95%; exploratory
all,60.0,70,0.9909375316610202,0.95686253728515,1.0262259764505828,True,pointwise nominal 95%; exploratory
all,60.536249999999995,70,0.9908486574971689,0.9590434601246254,1.0237086251923995,True,pointwise nominal 95%; exploratory
all,61.13249999999999,70,0.9908015974974465,0.9613606276059187,1.0211441756754633,True,pointwise nominal 95%; exploratory
all,61.72875,70,0.9908152408762428,0.9635707424698274,1.0188300643461972,True,pointwise nominal 95%; exploratory
all,62.324999999999996,70,0.990896016594657,0.9656875696454142,1.016762508461912,True,pointwise nominal 95%; exploratory
all,62.92125,70,0.9910503685261997,0.9677331441664851,1.0149294140399365,True,pointwise nominal 95%; exploratory
all,63.5175,70,0.9912847600262491,0.9697382885386057,1.0133099693744625,True,pointwise nominal 95%; exploratory
all,64.11375,70,0.9916056789279646,0.9717424557194352,1.0118749229230817,True,pointwise nominal 95%; exploratory
all,64.71,70,0.9920196429691968,0.9737928279382225,1.0105876155612477,True,pointwise nominal 95%; exploratory
all,65.30624999999999,70,0.9925332056558874,0.9759427646781909,1.0094056741681856,True,pointwise nominal 95%; exploratory
all,65.9025,70,0.9931529625684885,0.9782498289334013,1.0082831377890442,True,pointwise nominal 95%; exploratory
all,66.49875,70,0.9938846837123221,0.9807710230759676,1.0071736840469745,True,pointwise nominal 95%; exploratory
all,67.095,70,0.9947240955497674,0.9835309319358481,1.0060446439846615,True,pointwise nominal 95%; exploratory
all,67.69125,70,0.9956604616524436,0.9865255911177103,1.004879917787832,True,pointwise nominal 95%; exploratory
all,68.2875,70,0.996682928245532,0.9897415573038003,1.003672981219654,True,pointwise nominal 95%; exploratory
all,68.88374999999999,70,0.9977806202748343,0.9931582194141264,1.0024245349178373,True,pointwise nominal 95%; exploratory
all,69.47999999999999,70,0.9989426325007983,0.9967493884826696,1.0011407025257233,True,pointwise nominal 95%; exploratory
all,70.0,70,1.0,1.0,1.0,True,pointwise nominal 95%; exploratory
all,70.07625,70,1.000158021788489,0.9998316114329997,1.000484538705642,True,pointwise nominal 95%; exploratory
all,70.6725,70,1.001415800597293,0.9985102752500267,1.0043297806172382,True,pointwise nominal 95%; exploratory
all,71.26875,70,1.0027049316763497,0.9971917031894387,1.0082486414521157,True,pointwise nominal 95%; exploratory
all,71.865,70,1.0040143239735255,0.9958921720561958,1.012202717351145,True,pointwise nominal 95%; exploratory
all,72.46124999999999,70,1.0053328297672184,0.9946286065125622,1.0161522521974615,True,pointwise nominal 95%; exploratory
all,73.0575,70,1.0066492430313505,0.9934180205894136,1.0200566906309545,True,pointwise nominal 95%; exploratory
all,73.65375,70,1.0079522990446153,0.9922769772699305,1.0238752489698757,True,pointwise nominal 95%; exploratory
all,74.25,70,1.0092306752553588,0.9912210230209599,1.02756754772225,True,pointwise nominal 95%; exploratory
all,74.84625,70,1.0104729934133971,0.9902640500379933,1.0310943534491197,True,pointwise nominal 95%; exploratory
all,75.4425,70,1.0116682486983397,0.9894167461704284,1.0344201767210348,True,pointwise nominal 95%; exploratory
all,76.03875,70,1.0128124614876859,0.9886739729944275,1.0375402915057084,True,pointwise nominal 95%; exploratory
all,76.63499999999999,70,1.0139074699103383,0.9880184477394198,1.0404748614684884,True,pointwise nominal 95%; exploratory
all,77.23124999999999,70,1.0149553018518445,0.9874319794293771,1.0432457994245523,True,pointwise nominal 95%; exploratory
all,77.8275,70,1.0159580010327125,0.9868960277024176,1.045875787204627,True,pointwise nominal 95%; exploratory
all,78.42375,70,1.0169176260460835,0.9863919287585443,1.0483879967111345,True,pointwise nominal 95%; exploratory
all,79.02,70,1.0178362494353232,0.9859011425109034,1.0508057917714688,True,pointwise nominal 95%; exploratory
all,79.61625,70,1.0187159568122883,0.98540552972027,1.0531524020963983,True,pointwise nominal 95%; exploratory
all,80.0,70,1.0192625355799496,0.9850758332080808,1.0546356751576287,True,pointwise nominal 95%; exploratory
all,80.21249999999999,70,1.0195588460169644,0.9848876571715833,1.0554505713643507,True,pointwise nominal 95%; exploratory
all,80.80875,70,1.02036702631913,0.9843311210675602,1.0577221893280813,True,pointwise nominal 95%; exploratory
all,81.405,70,1.0211426176626412,0.9837208728387138,1.0599879238080094,True,pointwise nominal 95%; exploratory
all,82.00125,70,1.021887749952899,0.9830435277144735,1.0622668722835071,True,pointwise nominal 95%; exploratory
