zip_code,station,station_name,distance_km,absolute_elevation_difference_m,modeled,matched_zip_days,mean_modeled_minus_observed_f,mean_absolute_difference_f,rmse_f,correlation
91901,USC00040136,ALPINE,5.326770242208588,80.39999999999998,legacy_high_f,1461,0.056810403832991,2.1100342231348392,2.9191176599083457,0.9748567182204089
91901,USC00040136,ALPINE,5.326770242208588,80.39999999999998,civil_high_f,1461,0.057084188911704206,2.1103080082135524,2.9191453279316564,0.9748555047353071
91902,USC00041758,CHULA VISTA,8.325374073756853,57.9,legacy_high_f,1460,0.37512328767123276,3.527835616438357,4.1548627394369655,0.8996631685304758
91902,USC00041758,CHULA VISTA,8.325374073756853,57.9,civil_high_f,1460,0.3750547945205478,3.5279041095890418,4.154987859138585,0.899669442810006
91906,USC00041424,CAMPO,3.5644992963138855,170.39999999999998,legacy_high_f,1456,-5.4536401098901095,5.5353708791208796,6.411907642455919,0.9740759467104069
91906,USC00041424,CAMPO,3.5644992963138855,170.39999999999998,civil_high_f,1456,-5.454189560439561,5.535920329670329,6.412939936283017,0.9740601092648891
91910,USC00041758,CHULA VISTA,2.27424029850693,28.9,legacy_high_f,1460,-3.01713698630137,3.2930547945205477,3.968574948679648,0.9330730633602543
91910,USC00041758,CHULA VISTA,2.27424029850693,28.9,civil_high_f,1460,-3.017068493150685,3.2929863013698633,3.968549923227713,0.9330713525560554
91911,USC00041758,CHULA VISTA,4.918829180221884,56.9,legacy_high_f,1460,-3.348232876712329,3.554068493150685,4.225856580104966,0.9330820499394776
91911,USC00041758,CHULA VISTA,4.918829180221884,56.9,civil_high_f,1460,-3.348232876712329,3.554068493150685,4.225879919719728,0.9330825681335706
91913,USW00003178,SAN DIEGO BROWN FLD,5.277714230995219,20.80000000000001,legacy_high_f,1458,-5.066364883401921,5.115802469135803,5.704081420874625,0.9527198946124834
91914,USW00003178,SAN DIEGO BROWN FLD,10.69963022873447,53.19999999999999,legacy_high_f,1458,-3.8468175582990396,4.032030178326474,4.689652123242943,0.9549829509039377
91915,USW00003178,SAN DIEGO BROWN FLD,6.731722987395373,3.1999999999999886,legacy_high_f,1458,-2.1857750342935525,3.250219478737997,3.94133248829184,0.9389532790514332
91917,USC00040136,ALPINE,21.664043834337306,115.39999999999998,legacy_high_f,1461,-5.918617385352498,6.0523887748117735,6.7925580931136,0.9760064856573831
91917,USC00040136,ALPINE,21.664043834337306,115.39999999999998,civil_high_f,1461,-5.918275154004106,6.052046543463382,6.792489672276346,0.9760022997181745
91932,USC00041758,CHULA VISTA,8.726724147148776,10.100000000000001,legacy_high_f,1460,-2.567753424657534,2.971205479452055,3.638417464205505,0.9331040449769369
91932,USC00041758,CHULA VISTA,8.726724147148776,10.100000000000001,civil_high_f,1460,-2.5676849315068493,2.9711369863013704,3.638404474943333,0.9331025258903546
91941,USC00042706,EL CAJON,7.919885189553237,18.099999999999994,legacy_high_f,1461,-5.043586584531143,5.117891854893908,5.542435830478874,0.9774109488568747
91941,USC00042706,EL CAJON,7.919885189553237,18.099999999999994,civil_high_f,1461,-5.043518138261465,5.11782340862423,5.542508568512353,0.9774034649260656
91942,USC00042706,EL CAJON,9.094246748482762,18.099999999999994,legacy_high_f,1461,-5.043586584531143,5.117891854893908,5.542435830478874,0.9774109488568747
91942,USC00042706,EL CAJON,9.094246748482762,18.099999999999994,civil_high_f,1461,-5.043518138261465,5.11782340862423,5.542508568512353,0.9774034649260656
91945,USC00041758,CHULA VISTA,11.433119453398177,110.9,legacy_high_f,1460,-0.24426027397260283,3.533904109589041,4.144555200286176,0.8996449552509006
91945,USC00041758,CHULA VISTA,11.433119453398177,110.9,civil_high_f,1460,-0.24432876712328777,3.5339726027397265,4.144690546473572,0.8996512413373563
91948,USC00045968,MT LAGUNA #3,5.015679978339041,196.4000000000001,legacy_high_f,1461,4.639589322381931,4.829869952087612,5.723673906177514,0.9795089758502944
91950,USC00041758,CHULA VISTA,3.311251799707135,10.899999999999999,legacy_high_f,1460,-1.1349452054794522,2.600589041095891,3.1495489131246055,0.9301139907169536
91950,USC00041758,CHULA VISTA,3.311251799707135,10.899999999999999,civil_high_f,1460,-1.135082191780822,2.6007260273972603,3.1496950493832876,0.9301204396753113
91963,USC00041424,CAMPO,12.072038406945525,47.39999999999998,legacy_high_f,1456,-7.383928571428571,7.495027472527473,8.498336650437885,0.9604441286451038
91977,USC00042706,EL CAJON,10.330068679114452,130.1,legacy_high_f,1461,-7.863778234086242,7.875496235455168,8.288153937270048,0.9755103917892111
