zip_code,station,station_name,distance_km,absolute_elevation_difference_m,eligible_station_match,station_network
92086,USC00040983,BORREGO DESERT PARK,21.976069044227913,810.1,False,original_six_current_archive
92091,USC00042863,ESCONDIDO #2,11.5390073166752,66.9,True,original_six_current_archive
92093,USW00023188,SAN DIEGO INTL AP,17.267909393128747,102.4,True,original_six_current_archive
92096,USC00042863,ESCONDIDO #2,6.213978544273912,56.099999999999994,True,original_six_current_archive
92101,USW00023188,SAN DIEGO INTL AP,2.0360291796382533,4.4,True,original_six_current_archive
92102,USW00023188,SAN DIEGO INTL AP,6.442192122489889,22.4,True,original_six_current_archive
92103,USW00023188,SAN DIEGO INTL AP,2.1618730515112543,78.4,True,original_six_current_archive
92104,USW00023188,SAN DIEGO INTL AP,5.253377380989661,98.4,True,original_six_current_archive
92105,USW00023188,SAN DIEGO INTL AP,8.753018972921133,91.4,True,original_six_current_archive
92106,USW00023188,SAN DIEGO INTL AP,5.761361354130482,11.4,True,original_six_current_archive
92107,USW00023188,SAN DIEGO INTL AP,5.859001632184298,54.4,True,original_six_current_archive
92108,USW00023188,SAN DIEGO INTL AP,5.867941050417826,25.4,True,original_six_current_archive
92109,USW00023188,SAN DIEGO INTL AP,7.602330795742803,7.4,True,original_six_current_archive
92110,USW00023188,SAN DIEGO INTL AP,3.87243740098356,2.4000000000000004,True,original_six_current_archive
92111,USW00023188,SAN DIEGO INTL AP,8.211147847198104,91.4,True,original_six_current_archive
92113,USW00023188,SAN DIEGO INTL AP,7.341057240383725,6.4,True,original_six_current_archive
92114,USW00023188,SAN DIEGO INTL AP,12.296618433430211,108.4,True,original_six_current_archive
92115,USW00023188,SAN DIEGO INTL AP,10.853608770759783,131.4,True,original_six_current_archive
92116,USW00023188,SAN DIEGO INTL AP,6.597575997005328,118.4,True,original_six_current_archive
92117,USW00023188,SAN DIEGO INTL AP,10.269457319164244,97.4,True,original_six_current_archive
92118,USW00023188,SAN DIEGO INTL AP,4.571565831437798,0.5999999999999996,True,original_six_current_archive
92119,USW00023188,SAN DIEGO INTL AP,16.956443038794045,350.4,False,original_six_current_archive
92120,USW00023188,SAN DIEGO INTL AP,12.229289803131122,96.4,True,original_six_current_archive
92121,USW00023188,SAN DIEGO INTL AP,18.265348210117835,82.4,True,original_six_current_archive
92122,USW00023188,SAN DIEGO INTL AP,13.930473608111749,96.4,True,original_six_current_archive
92123,USW00023188,SAN DIEGO INTL AP,9.609714970674155,121.4,True,original_six_current_archive
92124,USW00023188,SAN DIEGO INTL AP,13.944117805040454,152.4,True,original_six_current_archive
92126,USW00023188,SAN DIEGO INTL AP,20.179606643277854,128.4,True,original_six_current_archive
