month,group_type,offense_code,offense_description,source_rows
2025-01,A,09A,Murder and Nonnegligent Manslaughter,3
2025-01,A,100,Kidnapping/Abduction,16
2025-01,A,11A,Forcible Rape,24
2025-01,A,11B,Forcible Sodomy,3
2025-01,A,11C,Sexual Assault With an Object,7
2025-01,A,11D,Forcible Fondling,25
2025-01,A,120,Robbery,57
2025-01,A,13A,Aggravated Assault,348
2025-01,A,13B,Simple Assault,574
2025-01,A,13C,Intimidation,89
2025-01,A,200,Arson,15
2025-01,A,210,Extortion/Blackmail,12
2025-01,A,220,Burglary/Breaking & Entering,214
2025-01,A,23A,Pocket-Picking,1
2025-01,A,23B,Purse-Snatching,1
2025-01,A,23C,Shoplifting,359
2025-01,A,23D,Theft From Building,24
2025-01,A,23E,Theft From Coin Operated Machine or Device,1
2025-01,A,23F,Theft From Motor Vehicle,364
2025-01,A,23G,Theft of Motor Vehicle Parts/Accessories,104
2025-01,A,23H,All Other Larceny,577
2025-01,A,240,Motor Vehicle Theft,337
2025-01,A,250,Counterfeiting/Forgery,14
2025-01,A,26A,False Pretenses/Swindle/Confidence Game,42
2025-01,A,26B,Credit Card/Automatic Teller Fraud,25
2025-01,A,26C,Impersonation,214
2025-01,A,26F,Identity Theft,26
2025-01,A,270,Embezzlement,13
2025-01,A,280,Stolen Property Offenses,70
2025-01,A,290,Destruction/Damage/Vandalism of Property,517
2025-01,A,35A,Drug/narcotic Violations,428
2025-01,A,35B,Drug Equipment Violations,310
2025-01,A,36B,Statutory Rape,2
2025-01,A,370,Pornography/Obscene Material,2
2025-01,A,39A,Betting/Wagering,1
2025-01,A,40A,Prostitution,5
2025-01,A,520,Weapon Law Violations,82
2025-01,A,64B,"Human Trafficking, Involuntary Servitude",1
2025-01,A,720,Animal Cruelty,3
2025-01,B,90B,Curfew/Loitering/Vagrancy Violations,19
2025-01,B,90C,Disorderly Conduct,206
2025-01,B,90D,Driving Under the Influence,102
2025-01,B,90G,Liquor Law Violations,3
2025-01,B,90J,Trespass of Real Property,30
2025-01,B,90Z,All Other Offenses,1493
2025-02,A,100,Kidnapping/Abduction,14
2025-02,A,11A,Forcible Rape,27
2025-02,A,11B,Forcible Sodomy,3
2025-02,A,11C,Sexual Assault With an Object,7
2025-02,A,11D,Forcible Fondling,32
2025-02,A,120,Robbery,73
2025-02,A,13A,Aggravated Assault,297
2025-02,A,13B,Simple Assault,533
2025-02,A,13C,Intimidation,88
2025-02,A,200,Arson,16
2025-02,A,210,Extortion/Blackmail,4
2025-02,A,220,Burglary/Breaking & Entering,159
2025-02,A,23A,Pocket-Picking,1
2025-02,A,23B,Purse-Snatching,1
2025-02,A,23C,Shoplifting,354
2025-02,A,23D,Theft From Building,36
2025-02,A,23F,Theft From Motor Vehicle,281
2025-02,A,23G,Theft of Motor Vehicle Parts/Accessories,69
2025-02,A,23H,All Other Larceny,534
2025-02,A,240,Motor Vehicle Theft,342
2025-02,A,250,Counterfeiting/Forgery,14
2025-02,A,26A,False Pretenses/Swindle/Confidence Game,32
2025-02,A,26B,Credit Card/Automatic Teller Fraud,17
2025-02,A,26C,Impersonation,158
2025-02,A,26F,Identity Theft,29
2025-02,A,26G,Hacking/Computer Fraud,1
2025-02,A,270,Embezzlement,10
2025-02,A,280,Stolen Property Offenses,40
2025-02,A,290,Destruction/Damage/Vandalism of Property,468
2025-02,A,35A,Drug/narcotic Violations,335
2025-02,A,35B,Drug Equipment Violations,204
