month,agency,offense_code,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2026-08,LA MESA,90Z,29,29,29,29
2026-08,NATIONAL CITY,90C,9,9,9,9
2026-08,NATIONAL CITY,90D,9,9,9,9
2026-08,NATIONAL CITY,90J,1,1,1,1
2026-08,NATIONAL CITY,90Z,18,18,18,18
2026-08,OCEANSIDE,90C,24,24,24,24
2026-08,OCEANSIDE,90D,22,22,22,22
2026-08,OCEANSIDE,90J,1,1,1,1
2026-08,OCEANSIDE,90Z,57,57,57,57
2026-08,SAN DIEGO,90B,25,19,25,25
2026-08,SAN DIEGO,90C,152,150,152,152
2026-08,SAN DIEGO,90D,99,99,99,99
2026-08,SAN DIEGO,90G,4,3,4,4
2026-08,SAN DIEGO,90J,16,16,16,16
2026-08,SAN DIEGO,90Z,351,347,349,349
2026-08,SHERIFF,90B,2,2,2,2
2026-08,SHERIFF,90C,60,60,60,60
2026-08,SHERIFF,90D,75,75,75,75
2026-08,SHERIFF,90G,1,1,1,1
2026-08,SHERIFF,90J,8,7,8,8
2026-08,SHERIFF,90Z,229,228,229,229
2026-09,CARLSBAD,90C,9,8,9,9
2026-09,CARLSBAD,90D,20,20,20,20
2026-09,CARLSBAD,90Z,5,5,5,5
2026-09,CHULA VISTA,90C,8,8,8,8
2026-09,CHULA VISTA,90D,7,7,7,7
2026-09,CHULA VISTA,90Z,38,38,38,38
2026-09,EL CAJON,90B,3,2,3,3
2026-09,EL CAJON,90C,7,7,7,7
2026-09,EL CAJON,90D,1,1,1,1
2026-09,EL CAJON,90Z,30,30,30,30
2026-09,ESCONDIDO,90C,31,29,31,31
2026-09,ESCONDIDO,90D,34,33,34,34
2026-09,ESCONDIDO,90Z,45,44,45,45
2026-09,HARBOR POLICE,90C,2,2,2,2
2026-09,HARBOR POLICE,90D,4,4,4,4
2026-09,HARBOR POLICE,90Z,14,14,14,14
2026-09,LA MESA,90C,13,13,13,13
2026-09,LA MESA,90D,11,11,11,11
2026-09,LA MESA,90J,1,1,1,1
2026-09,LA MESA,90Z,12,12,12,12
2026-09,NATIONAL CITY,90C,9,7,9,9
2026-09,NATIONAL CITY,90D,5,5,5,5
2026-09,NATIONAL CITY,90Z,13,13,13,13
2026-09,OCEANSIDE,90C,23,23,23,23
2026-09,OCEANSIDE,90D,31,31,31,31
2026-09,OCEANSIDE,90Z,26,26,26,26
2026-09,SAN DIEGO,90B,14,14,14,14
2026-09,SAN DIEGO,90C,122,117,122,122
2026-09,SAN DIEGO,90D,79,79,79,79
2026-09,SAN DIEGO,90J,11,11,11,11
2026-09,SAN DIEGO,90Z,268,265,267,267
2026-09,SHERIFF,90B,3,3,3,3
2026-09,SHERIFF,90C,34,33,34,34
2026-09,SHERIFF,90D,31,31,31,31
2026-09,SHERIFF,90J,10,9,10,10
2026-09,SHERIFF,90Z,145,143,145,145
