date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2020-01-01,A,PE,93,93,79
2020-01-01,A,PR,128,128,119
2020-01-01,A,SO,22,22,17
2020-01-01,B,,56,56,56
2020-01-01,B,PR,1,1,1
2020-01-01,B,SO,51,51,50
2020-01-02,A,PE,26,26,25
2020-01-02,A,PR,82,82,78
2020-01-02,A,SO,25,25,19
2020-01-02,B,,63,63,63
2020-01-02,B,SO,12,12,12
2020-01-03,A,PE,27,27,23
2020-01-03,A,PR,121,121,113
2020-01-03,A,SO,39,39,28
2020-01-03,B,,63,63,63
2020-01-03,B,SO,24,24,24
2020-01-04,A,PE,42,42,40
2020-01-04,A,PR,128,128,121
2020-01-04,A,SO,37,37,26
2020-01-04,B,,57,57,57
2020-01-04,B,SO,26,26,25
2020-01-05,A,PE,31,31,30
2020-01-05,A,PR,87,87,85
2020-01-05,A,SO,19,19,15
2020-01-05,B,,79,79,79
2020-01-05,B,SO,28,28,28
2020-01-06,A,PE,35,35,34
2020-01-06,A,PR,101,101,96
2020-01-06,A,SO,42,42,31
2020-01-06,B,,72,72,72
2020-01-06,B,SO,16,16,16
2020-01-07,A,PE,40,40,36
2020-01-07,A,PR,105,105,99
2020-01-07,A,SO,24,24,20
2020-01-07,B,,72,72,72
2020-01-07,B,SO,20,20,20
2020-01-08,A,PE,39,39,28
2020-01-08,A,PR,118,118,110
2020-01-08,A,SO,41,41,33
2020-01-08,B,,66,66,66
2020-01-08,B,SO,21,21,21
2020-01-09,A,PE,24,24,20
2020-01-09,A,PR,81,81,77
2020-01-09,A,SO,29,29,20
2020-01-09,B,,71,71,71
2020-01-09,B,SO,14,14,13
2020-01-10,A,PE,39,39,33
2020-01-10,A,PR,136,136,132
2020-01-10,A,SO,26,26,19
2020-01-10,B,,80,80,80
2020-01-10,B,SO,21,21,21
2020-01-11,A,PE,35,35,35
2020-01-11,A,PR,110,110,104
2020-01-11,A,SO,29,29,20
2020-01-11,B,,50,50,50
2020-01-11,B,SO,33,33,33
2020-01-12,A,PE,26,26,26
2020-01-12,A,PR,122,122,115
2020-01-12,A,SO,21,21,17
2020-01-12,B,,42,42,42
2020-01-12,B,SO,19,19,19
2020-01-13,A,PE,33,33,29
2020-01-13,A,PR,117,117,113
2020-01-13,A,SO,29,29,20
2020-01-13,B,,67,67,67
2020-01-13,B,SO,9,9,9
2020-01-14,A,PE,27,27,27
2020-01-14,A,PR,106,106,100
2020-01-14,A,SO,35,35,23
2020-01-14,B,,69,69,69
