month,group_type,offense_code,offense_description,source_rows
2021-01,A,09A,Murder and Nonnegligent Manslaughter,4
2021-01,A,100,Kidnaping/Abduction,16
2021-01,A,100,Kidnapping/Abduction,1
2021-01,A,11A,Forcible Rape,33
2021-01,A,11B,Forcible Sodomy,5
2021-01,A,11C,Sexual Assault With an Object,5
2021-01,A,11D,Forcible Fondling,56
2021-01,A,120,Robbery,105
2021-01,A,13A,Aggravated Assault,342
2021-01,A,13B,Simple Assault,540
2021-01,A,13C,Intimidation,73
2021-01,A,200,Arson,17
2021-01,A,210,Extortion/Blackmail,2
2021-01,A,220,Burglary/Breaking & Entering,322
2021-01,A,23A,Pocket-Picking,5
2021-01,A,23B,Purse-Snatching,5
2021-01,A,23C,Shoplifting,127
2021-01,A,23D,Theft From Building,55
2021-01,A,23E,Theft From Coin Operated Machine or Device,1
2021-01,A,23F,Theft From Motor Vehicle,751
2021-01,A,23G,Theft of Motor Vehicle Parts/Accessories,72
2021-01,A,23H,All Other Larceny,668
2021-01,A,240,Motor Vehicle Theft,505
2021-01,A,250,Counterfeiting/Forgery,22
2021-01,A,26A,False Pretenses/Swindle/Confidence Game,31
2021-01,A,26B,Credit Card/Automatic Teller Fraud,112
2021-01,A,26C,Impersonation,158
2021-01,A,26F,Identity Theft,1
2021-01,A,270,Embezzlement,16
2021-01,A,280,Stolen Property Offenses,96
2021-01,A,290,Destruction/Damage/Vandalism of Property,734
2021-01,A,35A,Drug/narcotic Violations,426
2021-01,A,35B,Drug Equipment Violations,267
2021-01,A,370,Pornography/Obscene Material,1
2021-01,A,39A,Betting/Wagering,1
2021-01,A,40A,Prostitution,12
2021-01,A,40B,Assisting or Promoting Prostitution,2
2021-01,A,520,Weapon Law Violations,102
2021-01,B,90B,Curfew/Loitering/Vagrancy Violations,21
2021-01,B,90C,Disorderly Conduct,5
2021-01,B,90D,Driving Under the Influence,122
2021-01,B,90E,Drunkenness,138
2021-01,B,90G,Liquor Law Violations,4
2021-01,B,90J,Trespass of Real Property,36
2021-01,B,90Z,All Other Offenses,1465
2021-02,A,09A,Murder and Nonnegligent Manslaughter,4
2021-02,A,100,Kidnaping/Abduction,19
2021-02,A,100,Kidnapping/Abduction,1
2021-02,A,11A,Forcible Rape,25
2021-02,A,11C,Sexual Assault With an Object,6
2021-02,A,11D,Forcible Fondling,27
2021-02,A,120,Robbery,102
2021-02,A,13A,Aggravated Assault,331
2021-02,A,13B,Simple Assault,488
2021-02,A,13C,Intimidation,45
2021-02,A,200,Arson,22
2021-02,A,210,Extortion/Blackmail,1
2021-02,A,220,Burglary/Breaking & Entering,314
2021-02,A,23A,Pocket-Picking,2
2021-02,A,23B,Purse-Snatching,4
2021-02,A,23C,Shoplifting,119
2021-02,A,23D,Theft From Building,46
2021-02,A,23E,Theft From Coin Operated Machine or Device,1
2021-02,A,23F,Theft From Motor Vehicle,630
2021-02,A,23G,Theft of Motor Vehicle Parts/Accessories,42
2021-02,A,23H,All Other Larceny,587
2021-02,A,240,Motor Vehicle Theft,486
2021-02,A,250,Counterfeiting/Forgery,21
2021-02,A,26A,False Pretenses/Swindle/Confidence Game,37
2021-02,A,26B,Credit Card/Automatic Teller Fraud,89
2021-02,A,26C,Impersonation,164
2021-02,A,270,Embezzlement,13
2021-02,A,280,Stolen Property Offenses,110
2021-02,A,290,Destruction/Damage/Vandalism of Property,640
2021-02,A,35A,Drug/narcotic Violations,485
2021-02,A,35B,Drug Equipment Violations,290
2021-02,A,36B,Statutory Rape,2
