month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2026-01,SHERIFF,,433,424,432,432
2026-02,CARLSBAD,,80,80,80,80
2026-02,CHULA VISTA,,95,94,95,95
2026-02,EL CAJON,,68,64,67,67
2026-02,ESCONDIDO,,167,166,167,167
2026-02,HARBOR POLICE,,26,26,26,26
2026-02,LA MESA,,60,60,60,60
2026-02,NATIONAL CITY,,48,45,48,47
2026-02,OCEANSIDE,,95,95,95,95
2026-02,SAN DIEGO,,659,645,658,658
2026-02,SHERIFF,,414,400,414,413
2026-03,CARLSBAD,,67,67,67,67
2026-03,CHULA VISTA,,113,111,113,113
2026-03,EL CAJON,,96,83,96,96
2026-03,ESCONDIDO,,145,144,145,145
2026-03,HARBOR POLICE,,35,35,35,35
2026-03,LA MESA,,68,67,68,68
2026-03,NATIONAL CITY,,50,47,50,50
2026-03,OCEANSIDE,,114,113,114,114
2026-03,SAN DIEGO,,663,652,662,662
2026-03,SHERIFF,,441,430,440,439
2026-04,CARLSBAD,,55,55,55,55
2026-04,CHULA VISTA,,97,97,97,97
2026-04,EL CAJON,,88,80,88,88
2026-04,ESCONDIDO,,146,142,146,146
2026-04,HARBOR POLICE,,39,39,39,39
2026-04,LA MESA,,80,79,80,80
2026-04,NATIONAL CITY,,40,38,40,40
2026-04,OCEANSIDE,,110,110,110,110
2026-04,SAN DIEGO,,614,607,612,612
2026-04,SHERIFF,,399,394,399,399
2026-05,CARLSBAD,,75,74,75,75
2026-05,CHULA VISTA,,111,110,111,111
2026-05,EL CAJON,,66,64,66,66
2026-05,ESCONDIDO,,143,141,143,143
2026-05,HARBOR POLICE,,41,40,41,41
2026-05,LA MESA,,54,54,54,54
2026-05,NATIONAL CITY,,47,46,47,47
2026-05,OCEANSIDE,,105,105,105,105
2026-05,SAN DIEGO,,654,648,651,651
2026-05,SHERIFF,,406,397,406,406
2026-06,CARLSBAD,,73,73,73,73
2026-06,CHULA VISTA,,84,82,84,84
2026-06,EL CAJON,,76,65,76,76
2026-06,ESCONDIDO,,147,146,147,147
2026-06,HARBOR POLICE,,34,34,34,34
2026-06,LA MESA,,60,58,60,60
2026-06,NATIONAL CITY,,31,31,31,31
2026-06,OCEANSIDE,,106,105,106,106
2026-06,SAN DIEGO,,661,650,659,659
2026-06,SHERIFF,,390,382,390,390
2026-07,CARLSBAD,,86,85,86,86
2026-07,CHULA VISTA,,108,106,108,108
2026-07,EL CAJON,,88,77,88,88
2026-07,ESCONDIDO,,159,155,159,159
2026-07,HARBOR POLICE,,38,37,38,38
2026-07,LA MESA,,72,71,72,72
2026-07,NATIONAL CITY,,35,35,35,35
2026-07,OCEANSIDE,,122,120,122,122
2026-07,SAN DIEGO,,704,690,703,703
2026-07,SHERIFF,,388,386,387,387
2026-08,CARLSBAD,,71,70,71,71
2026-08,CHULA VISTA,,94,93,93,93
2026-08,EL CAJON,,85,77,84,84
2026-08,ESCONDIDO,,165,164,165,165
2026-08,HARBOR POLICE,,37,35,37,37
2026-08,LA MESA,,88,88,88,88
2026-08,NATIONAL CITY,,37,37,37,37
2026-08,OCEANSIDE,,104,104,104,104
2026-08,SAN DIEGO,,647,632,645,644
2026-08,SHERIFF,,375,373,375,375
2026-09,CARLSBAD,,34,33,34,34
2026-09,CHULA VISTA,,53,53,53,53
2026-09,EL CAJON,,41,40,41,41
2026-09,ESCONDIDO,,110,106,110,110
2026-09,HARBOR POLICE,,20,20,20,20
2026-09,LA MESA,,37,36,37,37
2026-09,NATIONAL CITY,,27,25,27,27
2026-09,OCEANSIDE,,80,80,80,80
2026-09,SAN DIEGO,,494,486,493,493
2026-09,SHERIFF,,223,219,223,223
