month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2022-01,EL CAJON,,48,46,47,47
2022-01,ESCONDIDO,,130,126,130,130
2022-01,HARBOR POLICE,,18,18,18,18
2022-01,LA MESA,,38,35,38,38
2022-01,NATIONAL CITY,,42,42,42,42
2022-01,OCEANSIDE,,97,97,97,97
2022-01,SAN DIEGO,,649,640,649,649
2022-01,SHERIFF,,374,361,374,374
2022-02,CARLSBAD,,53,51,53,53
2022-02,CHULA VISTA,,46,45,46,46
2022-02,EL CAJON,,54,50,53,53
2022-02,ESCONDIDO,,122,118,122,122
2022-02,HARBOR POLICE,,17,17,17,17
2022-02,LA MESA,,21,21,21,21
2022-02,NATIONAL CITY,,23,22,23,23
2022-02,OCEANSIDE,,69,68,69,69
2022-02,SAN DIEGO,,596,589,596,596
2022-02,SHERIFF,,348,343,347,347
2022-03,CARLSBAD,,65,65,65,65
2022-03,CHULA VISTA,,68,68,68,68
2022-03,EL CAJON,,68,64,68,68
2022-03,ESCONDIDO,,154,151,154,154
2022-03,HARBOR POLICE,,20,20,20,20
2022-03,LA MESA,,31,30,31,31
2022-03,NATIONAL CITY,,35,33,34,34
2022-03,OCEANSIDE,,93,90,93,93
2022-03,SAN DIEGO,,800,784,798,798
2022-03,SHERIFF,,427,418,426,426
2022-04,CARLSBAD,,68,68,68,68
2022-04,CHULA VISTA,,71,70,71,71
2022-04,EL CAJON,,75,71,75,75
2022-04,ESCONDIDO,,128,127,128,128
2022-04,HARBOR POLICE,,15,15,15,15
2022-04,LA MESA,,27,26,27,27
2022-04,NATIONAL CITY,,32,32,32,32
2022-04,OCEANSIDE,,114,114,114,114
2022-04,SAN DIEGO,,736,720,735,735
2022-04,SHERIFF,,410,402,410,409
2022-05,CARLSBAD,,70,69,70,70
2022-05,CHULA VISTA,,72,71,72,72
2022-05,EL CAJON,,46,45,45,45
2022-05,ESCONDIDO,,127,125,127,127
2022-05,HARBOR POLICE,,15,15,15,15
2022-05,LA MESA,,22,22,22,22
2022-05,NATIONAL CITY,,27,27,27,27
2022-05,OCEANSIDE,,98,98,98,98
2022-05,SAN DIEGO,,709,698,709,709
2022-05,SHERIFF,,399,390,399,399
2022-06,CARLSBAD,,62,61,62,62
2022-06,CHULA VISTA,,62,58,62,62
2022-06,EL CAJON,,71,66,71,71
2022-06,ESCONDIDO,,152,147,152,152
2022-06,HARBOR POLICE,,10,10,10,10
2022-06,LA MESA,,36,36,36,36
2022-06,NATIONAL CITY,,19,18,19,19
2022-06,OCEANSIDE,,97,97,97,97
2022-06,SAN DIEGO,,634,611,632,632
2022-06,SHERIFF,,373,363,373,372
2022-07,CARLSBAD,,61,60,61,61
2022-07,CHULA VISTA,,70,69,70,70
2022-07,EL CAJON,,54,52,54,54
2022-07,ESCONDIDO,,125,124,125,125
2022-07,HARBOR POLICE,,32,32,32,32
2022-07,LA MESA,,32,32,32,32
2022-07,NATIONAL CITY,,38,38,38,38
2022-07,OCEANSIDE,,110,104,110,110
2022-07,SAN DIEGO,,678,666,677,677
2022-07,SHERIFF,,405,399,404,404
2022-08,CARLSBAD,,54,52,54,54
2022-08,CHULA VISTA,,61,61,61,61
2022-08,EL CAJON,,110,102,110,110
2022-08,ESCONDIDO,,156,152,156,156
2022-08,HARBOR POLICE,,26,26,26,26
2022-08,LA MESA,,29,29,29,29
2022-08,NATIONAL CITY,,26,25,26,26
2022-08,OCEANSIDE,,118,116,118,118
2022-08,SAN DIEGO,,647,633,646,646
2022-08,SHERIFF,,427,419,427,427
2022-09,CARLSBAD,,52,50,52,52
2022-09,CHULA VISTA,,95,80,93,93
2022-09,EL CAJON,,85,76,85,85
2022-09,ESCONDIDO,,153,151,153,153
2022-09,HARBOR POLICE,,24,24,24,24
2022-09,LA MESA,,33,33,33,33
2022-09,NATIONAL CITY,,36,36,36,36
2022-09,OCEANSIDE,,90,90,90,90
2022-09,SAN DIEGO,,643,633,642,642
2022-09,SHERIFF,,398,389,397,396
2022-10,CARLSBAD,,50,47,49,49
2022-10,CHULA VISTA,,65,65,65,65
2022-10,EL CAJON,,98,83,98,98
2022-10,ESCONDIDO,,163,161,163,163
2022-10,HARBOR POLICE,,27,27,27,27
2022-10,LA MESA,,28,28,28,28
2022-10,NATIONAL CITY,,34,33,34,34
2022-10,OCEANSIDE,,80,80,80,80
2022-10,SAN DIEGO,,641,633,640,640
2022-10,SHERIFF,,439,432,439,439
2022-11,CARLSBAD,,63,62,63,63
2022-11,CHULA VISTA,,60,55,58,57
2022-11,EL CAJON,,92,71,92,90
2022-11,ESCONDIDO,,148,148,148,148
2022-11,HARBOR POLICE,,18,18,18,18
2022-11,LA MESA,,31,31,31,31
2022-11,NATIONAL CITY,,28,28,28,28
2022-11,OCEANSIDE,,90,90,90,90
2022-11,SAN DIEGO,,574,564,572,572
2022-11,SHERIFF,,397,394,396,396
2022-12,CARLSBAD,,63,60,63,63
2022-12,CHULA VISTA,,72,72,72,72
2022-12,EL CAJON,,79,72,79,79
2022-12,ESCONDIDO,,120,119,120,120
2022-12,HARBOR POLICE,,27,27,27,27
2022-12,LA MESA,,45,43,45,45
2022-12,NATIONAL CITY,,32,31,32,32
2022-12,OCEANSIDE,,87,86,87,87
2022-12,SAN DIEGO,,558,552,557,557
2022-12,SHERIFF,,418,409,418,418
2023-01,CARLSBAD,,47,44,47,47
2023-01,CHULA VISTA,,84,81,84,84
2023-01,EL CAJON,,67,62,67,67
2023-01,ESCONDIDO,,130,127,130,130
2023-01,HARBOR POLICE,,30,30,30,30
2023-01,LA MESA,,39,38,39,39
2023-01,NATIONAL CITY,,27,27,27,27
2023-01,OCEANSIDE,,76,76,76,76
2023-01,SAN DIEGO,,621,607,619,619
2023-01,SHERIFF,,390,383,389,389
2023-02,CARLSBAD,,51,47,51,51
2023-02,CHULA VISTA,,69,65,69,68
2023-02,EL CAJON,,47,47,47,47
2023-02,ESCONDIDO,,137,135,137,137
2023-02,HARBOR POLICE,,24,24,24,24
2023-02,LA MESA,,54,53,54,54
2023-02,NATIONAL CITY,,25,25,25,25
2023-02,OCEANSIDE,,77,77,77,77
2023-02,SAN DIEGO,,577,570,576,576
2023-02,SHERIFF,,369,354,368,368
2023-03,CARLSBAD,,46,45,46,46
2023-03,CHULA VISTA,,84,78,84,84
2023-03,EL CAJON,,96,78,96,96
2023-03,ESCONDIDO,,111,109,111,111
2023-03,HARBOR POLICE,,16,16,16,16
2023-03,LA MESA,,44,43,44,44
2023-03,NATIONAL CITY,,40,40,40,40
2023-03,OCEANSIDE,,94,93,94,94
2023-03,SAN DIEGO,,612,601,612,612
2023-03,SHERIFF,,442,434,442,442
2023-04,CARLSBAD,,43,38,43,43
2023-04,CHULA VISTA,,63,62,62,62
2023-04,EL CAJON,,77,61,76,76
2023-04,ESCONDIDO,,129,123,129,129
2023-04,HARBOR POLICE,,18,18,18,18
2023-04,LA MESA,,29,28,29,29
2023-04,NATIONAL CITY,,22,22,22,22
2023-04,OCEANSIDE,,95,94,95,95
2023-04,SAN DIEGO,,610,606,610,610
2023-04,SHERIFF,,404,399,404,404
