date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-01-14,ESCONDIDO,,4,4,4,4
2021-01-14,HARBOR POLICE,,1,1,1,1
2021-01-14,NATIONAL CITY,,1,1,1,1
2021-01-14,OCEANSIDE,,2,2,2,2
2021-01-14,SAN DIEGO,,20,14,20,20
2021-01-14,SHERIFF,,12,12,12,12
2021-01-15,CARLSBAD,,1,1,1,1
2021-01-15,CHULA VISTA,,4,4,4,4
2021-01-15,EL CAJON,,2,2,2,2
2021-01-15,ESCONDIDO,,8,8,8,8
2021-01-15,LA MESA,,2,2,2,2
2021-01-15,NATIONAL CITY,,2,2,2,2
2021-01-15,OCEANSIDE,,3,3,3,3
2021-01-15,SAN DIEGO,,19,18,19,19
2021-01-15,SHERIFF,,10,10,10,10
2021-01-16,CARLSBAD,,4,3,4,4
2021-01-16,CHULA VISTA,,1,1,1,1
2021-01-16,EL CAJON,,3,3,3,3
2021-01-16,ESCONDIDO,,6,6,6,6
2021-01-16,LA MESA,,2,2,2,2
2021-01-16,NATIONAL CITY,,4,4,4,4
2021-01-16,OCEANSIDE,,3,3,3,3
2021-01-16,SAN DIEGO,,26,25,26,26
2021-01-16,SHERIFF,,14,14,14,14
2021-01-17,CARLSBAD,,3,3,3,3
2021-01-17,CHULA VISTA,,3,3,3,3
2021-01-17,EL CAJON,,2,2,2,2
2021-01-17,ESCONDIDO,,2,2,2,2
2021-01-17,HARBOR POLICE,,2,2,2,2
2021-01-17,LA MESA,,1,1,1,1
2021-01-17,NATIONAL CITY,,3,3,3,3
2021-01-17,SAN DIEGO,,21,17,21,21
2021-01-17,SHERIFF,,9,9,9,9
2021-01-18,CARLSBAD,,2,2,2,2
2021-01-18,CHULA VISTA,,4,4,4,4
2021-01-18,ESCONDIDO,,1,1,1,1
2021-01-18,HARBOR POLICE,,1,1,1,1
2021-01-18,NATIONAL CITY,,2,2,2,2
2021-01-18,OCEANSIDE,,1,1,1,1
2021-01-18,SAN DIEGO,,16,16,16,16
2021-01-18,SHERIFF,,5,5,5,5
2021-01-19,CARLSBAD,,2,2,2,2
2021-01-19,CHULA VISTA,,1,1,1,1
2021-01-19,EL CAJON,,1,1,1,1
2021-01-19,ESCONDIDO,,2,2,2,2
2021-01-19,HARBOR POLICE,,1,1,1,1
2021-01-19,LA MESA,,1,1,1,1
2021-01-19,NATIONAL CITY,,1,1,1,1
2021-01-19,OCEANSIDE,,5,5,5,5
2021-01-19,SAN DIEGO,,15,15,15,15
2021-01-19,SHERIFF,,9,9,9,9
2021-01-20,CARLSBAD,,1,1,1,1
2021-01-20,CHULA VISTA,,1,1,1,1
2021-01-20,EL CAJON,,2,2,2,2
2021-01-20,ESCONDIDO,,4,4,4,4
2021-01-20,HARBOR POLICE,,3,3,3,3
2021-01-20,LA MESA,,1,1,1,1
2021-01-20,OCEANSIDE,,2,2,2,2
2021-01-20,SAN DIEGO,,15,15,15,15
2021-01-20,SHERIFF,,16,15,16,16
2021-01-21,CARLSBAD,,2,2,2,2
2021-01-21,CHULA VISTA,,1,1,1,1
2021-01-21,ESCONDIDO,,7,7,7,7
2021-01-21,HARBOR POLICE,,1,1,1,1
2021-01-21,LA MESA,,2,2,2,2
2021-01-21,NATIONAL CITY,,2,2,2,2
2021-01-21,OCEANSIDE,,2,2,2,2
2021-01-21,SAN DIEGO,,21,21,21,21
2021-01-21,SHERIFF,,13,12,13,13
2021-01-22,CARLSBAD,,3,3,3,3
2021-01-22,CHULA VISTA,,1,1,1,1
2021-01-22,EL CAJON,,1,1,1,1
2021-01-22,ESCONDIDO,,3,3,3,3
2021-01-22,NATIONAL CITY,,1,1,1,1
2021-01-22,OCEANSIDE,,2,2,2,2
2021-01-22,SAN DIEGO,,14,14,14,14
2021-01-22,SHERIFF,,7,7,7,7
2021-01-23,CARLSBAD,,3,3,3,3
2021-01-23,CHULA VISTA,,1,1,1,1
2021-01-23,EL CAJON,,3,3,3,3
2021-01-23,ESCONDIDO,,4,4,4,4
2021-01-23,LA MESA,,1,1,1,1
2021-01-23,NATIONAL CITY,,3,3,3,3
2021-01-23,SAN DIEGO,,25,25,25,25
2021-01-23,SHERIFF,,11,11,11,11
2021-01-24,CARLSBAD,,1,1,1,1
2021-01-24,CHULA VISTA,,2,2,2,2
2021-01-24,EL CAJON,,1,1,1,1
2021-01-24,ESCONDIDO,,6,5,6,6
2021-01-24,HARBOR POLICE,,1,1,1,1
2021-01-24,LA MESA,,1,1,1,1
2021-01-24,OCEANSIDE,,4,4,4,4
2021-01-24,SAN DIEGO,,16,12,16,16
2021-01-24,SHERIFF,,9,9,9,9
2021-01-25,CHULA VISTA,,2,2,2,2
2021-01-25,ESCONDIDO,,2,2,2,2
2021-01-25,HARBOR POLICE,,1,1,1,1
2021-01-25,LA MESA,,1,1,1,1
2021-01-25,NATIONAL CITY,,1,1,1,1
2021-01-25,OCEANSIDE,,5,5,5,5
2021-01-25,SAN DIEGO,,12,12,12,12
2021-01-25,SHERIFF,,8,8,8,8
2021-01-26,CARLSBAD,,1,1,1,1
2021-01-26,EL CAJON,,2,2,2,2
2021-01-26,ESCONDIDO,,2,2,2,2
2021-01-26,LA MESA,,1,1,1,1
2021-01-26,NATIONAL CITY,,1,1,1,1
2021-01-26,SAN DIEGO,,11,11,11,11
2021-01-26,SHERIFF,,14,14,14,14
2021-01-27,CARLSBAD,,4,4,4,4
2021-01-27,CHULA VISTA,,2,2,2,2
2021-01-27,EL CAJON,,1,1,1,1
