date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2022-03-12,NATIONAL CITY,,2,2,2,2
2022-03-12,OCEANSIDE,,1,1,1,1
2022-03-12,SAN DIEGO,,38,38,38,38
2022-03-12,SHERIFF,,13,13,13,13
2022-03-13,CARLSBAD,,2,2,2,2
2022-03-13,CHULA VISTA,,3,3,3,3
2022-03-13,EL CAJON,,1,1,1,1
2022-03-13,ESCONDIDO,,5,5,5,5
2022-03-13,LA MESA,,4,4,4,4
2022-03-13,NATIONAL CITY,,1,1,1,1
2022-03-13,OCEANSIDE,,3,3,3,3
2022-03-13,SAN DIEGO,,44,35,44,44
2022-03-13,SHERIFF,,17,17,17,17
2022-03-14,CARLSBAD,,2,2,2,2
2022-03-14,CHULA VISTA,,1,1,1,1
2022-03-14,EL CAJON,,2,2,2,2
2022-03-14,ESCONDIDO,,3,3,3,3
2022-03-14,NATIONAL CITY,,1,1,1,1
2022-03-14,OCEANSIDE,,1,1,1,1
2022-03-14,SAN DIEGO,,24,24,24,24
2022-03-14,SHERIFF,,13,13,13,13
2022-03-15,CARLSBAD,,2,2,2,2
2022-03-15,CHULA VISTA,,1,1,1,1
2022-03-15,EL CAJON,,6,4,6,6
2022-03-15,ESCONDIDO,,2,2,2,2
2022-03-15,HARBOR POLICE,,1,1,1,1
2022-03-15,LA MESA,,2,2,2,2
2022-03-15,OCEANSIDE,,5,4,5,5
2022-03-15,SAN DIEGO,,17,16,17,17
2022-03-15,SHERIFF,,5,5,5,5
2022-03-16,CARLSBAD,,1,1,1,1
2022-03-16,CHULA VISTA,,2,2,2,2
2022-03-16,EL CAJON,,3,3,3,3
2022-03-16,ESCONDIDO,,4,3,4,4
2022-03-16,LA MESA,,3,3,3,3
2022-03-16,OCEANSIDE,,1,1,1,1
2022-03-16,SAN DIEGO,,22,22,22,22
2022-03-16,SHERIFF,,18,18,18,18
2022-03-17,CARLSBAD,,2,2,2,2
2022-03-17,CHULA VISTA,,4,4,4,4
2022-03-17,ESCONDIDO,,7,7,7,7
2022-03-17,LA MESA,,1,1,1,1
2022-03-17,NATIONAL CITY,,2,2,2,2
2022-03-17,OCEANSIDE,,1,1,1,1
2022-03-17,SAN DIEGO,,32,32,32,32
2022-03-17,SHERIFF,,12,12,12,12
2022-03-18,CARLSBAD,,4,4,4,4
2022-03-18,CHULA VISTA,,3,3,3,3
2022-03-18,EL CAJON,,1,1,1,1
2022-03-18,ESCONDIDO,,5,5,5,5
2022-03-18,NATIONAL CITY,,1,1,1,1
2022-03-18,OCEANSIDE,,3,3,3,3
2022-03-18,SAN DIEGO,,37,37,37,37
2022-03-18,SHERIFF,,20,20,20,20
2022-03-19,CARLSBAD,,5,5,5,5
2022-03-19,CHULA VISTA,,6,6,6,6
2022-03-19,EL CAJON,,2,2,2,2
2022-03-19,ESCONDIDO,,6,6,6,6
2022-03-19,HARBOR POLICE,,1,1,1,1
2022-03-19,LA MESA,,1,1,1,1
2022-03-19,NATIONAL CITY,,2,2,2,2
2022-03-19,OCEANSIDE,,4,4,4,4
2022-03-19,SAN DIEGO,,39,38,39,39
2022-03-19,SHERIFF,,11,11,11,11
2022-03-20,CARLSBAD,,2,2,2,2
2022-03-20,CHULA VISTA,,1,1,1,1
2022-03-20,EL CAJON,,1,1,1,1
2022-03-20,ESCONDIDO,,11,10,11,11
2022-03-20,HARBOR POLICE,,1,1,1,1
2022-03-20,NATIONAL CITY,,2,2,2,2
2022-03-20,OCEANSIDE,,2,2,2,2
2022-03-20,SAN DIEGO,,31,31,31,31
2022-03-20,SHERIFF,,21,20,21,21
2022-03-21,CARLSBAD,,1,1,1,1
2022-03-21,CHULA VISTA,,2,2,2,2
2022-03-21,EL CAJON,,1,1,1,1
2022-03-21,ESCONDIDO,,4,4,4,4
2022-03-21,HARBOR POLICE,,2,2,2,2
2022-03-21,NATIONAL CITY,,1,1,1,1
2022-03-21,OCEANSIDE,,3,3,3,3
2022-03-21,SAN DIEGO,,20,19,19,19
2022-03-21,SHERIFF,,10,10,10,10
2022-03-22,CARLSBAD,,2,2,2,2
2022-03-22,CHULA VISTA,,1,1,1,1
2022-03-22,EL CAJON,,3,3,3,3
2022-03-22,HARBOR POLICE,,1,1,1,1
2022-03-22,NATIONAL CITY,,1,1,1,1
2022-03-22,OCEANSIDE,,4,4,4,4
2022-03-22,SAN DIEGO,,24,24,24,24
2022-03-22,SHERIFF,,14,14,14,14
2022-03-23,CARLSBAD,,3,3,3,3
2022-03-23,CHULA VISTA,,3,3,3,3
2022-03-23,EL CAJON,,2,2,2,2
2022-03-23,ESCONDIDO,,7,7,7,7
2022-03-23,LA MESA,,2,2,2,2
2022-03-23,OCEANSIDE,,4,4,4,4
2022-03-23,SAN DIEGO,,28,28,28,28
2022-03-23,SHERIFF,,14,14,14,14
2022-03-24,CARLSBAD,,3,3,3,3
2022-03-24,CHULA VISTA,,2,2,2,2
2022-03-24,EL CAJON,,6,5,6,6
2022-03-24,ESCONDIDO,,4,4,4,4
2022-03-24,HARBOR POLICE,,4,4,4,4
2022-03-24,LA MESA,,2,1,2,2
2022-03-24,NATIONAL CITY,,2,2,2,2
2022-03-24,OCEANSIDE,,6,6,6,6
2022-03-24,SAN DIEGO,,24,24,24,24
2022-03-24,SHERIFF,,19,19,19,19
2022-03-25,CARLSBAD,,3,3,3,3
2022-03-25,CHULA VISTA,,5,5,5,5
2022-03-25,EL CAJON,,4,4,4,4
2022-03-25,ESCONDIDO,,8,8,8,8
2022-03-25,HARBOR POLICE,,1,1,1,1
2022-03-25,LA MESA,,2,2,2,2
2022-03-25,SAN DIEGO,,36,36,36,36
2022-03-25,SHERIFF,,16,14,15,15
2022-03-26,CARLSBAD,,3,3,3,3
2022-03-26,EL CAJON,,2,2,2,2
2022-03-26,ESCONDIDO,,6,6,6,6
2022-03-26,LA MESA,,1,1,1,1
2022-03-26,NATIONAL CITY,,1,1,1,1
2022-03-26,OCEANSIDE,,2,2,2,2
2022-03-26,SAN DIEGO,,32,32,32,32
2022-03-26,SHERIFF,,10,10,10,10
2022-03-27,CARLSBAD,,4,4,4,4
2022-03-27,CHULA VISTA,,1,1,1,1
2022-03-27,EL CAJON,,2,2,2,2
2022-03-27,ESCONDIDO,,7,7,7,7
2022-03-27,NATIONAL CITY,,2,2,2,2
2022-03-27,OCEANSIDE,,3,3,3,3
2022-03-27,SAN DIEGO,,32,32,32,32
2022-03-27,SHERIFF,,8,8,8,8
2022-03-28,CHULA VISTA,,1,1,1,1
2022-03-28,EL CAJON,,3,3,3,3
2022-03-28,ESCONDIDO,,3,3,3,3
2022-03-28,HARBOR POLICE,,3,3,3,3
2022-03-28,LA MESA,,1,1,1,1
2022-03-28,NATIONAL CITY,,2,2,2,2
2022-03-28,OCEANSIDE,,3,3,3,3
2022-03-28,SAN DIEGO,,15,15,15,15
2022-03-28,SHERIFF,,11,11,11,11
2022-03-29,CARLSBAD,,2,2,2,2
2022-03-29,CHULA VISTA,,2,2,2,2
2022-03-29,ESCONDIDO,,7,7,7,7
2022-03-29,OCEANSIDE,,5,5,5,5
2022-03-29,SAN DIEGO,,16,15,16,16
2022-03-29,SHERIFF,,14,14,14,14
2022-03-30,CARLSBAD,,1,1,1,1
2022-03-30,CHULA VISTA,,3,3,3,3
2022-03-30,EL CAJON,,2,2,2,2
2022-03-30,ESCONDIDO,,7,7,7,7
2022-03-30,HARBOR POLICE,,1,1,1,1
2022-03-30,OCEANSIDE,,5,5,5,5
2022-03-30,SAN DIEGO,,18,18,18,18
2022-03-30,SHERIFF,,11,10,11,11
2022-03-31,CARLSBAD,,1,1,1,1
2022-03-31,CHULA VISTA,,2,2,2,2
2022-03-31,EL CAJON,,1,1,1,1
2022-03-31,ESCONDIDO,,5,5,5,5
2022-03-31,LA MESA,,1,1,1,1
2022-03-31,NATIONAL CITY,,1,1,1,1
2022-03-31,OCEANSIDE,,4,3,4,4
2022-03-31,SAN DIEGO,,21,21,21,21
2022-03-31,SHERIFF,,13,13,13,13
2022-04-01,CARLSBAD,,6,6,6,6
2022-04-01,CHULA VISTA,,2,2,2,2
2022-04-01,EL CAJON,,1,1,1,1
2022-04-01,ESCONDIDO,,2,2,2,2
2022-04-01,NATIONAL CITY,,2,2,2,2
2022-04-01,OCEANSIDE,,8,8,8,8
2022-04-01,SAN DIEGO,,35,35,35,35
2022-04-01,SHERIFF,,15,15,15,15
2022-04-02,CARLSBAD,,1,1,1,1
2022-04-02,CHULA VISTA,,6,6,6,6
2022-04-02,EL CAJON,,3,3,3,3
2022-04-02,ESCONDIDO,,6,6,6,6
2022-04-02,NATIONAL CITY,,1,1,1,1
2022-04-02,OCEANSIDE,,1,1,1,1
2022-04-02,SAN DIEGO,,34,34,34,34
2022-04-02,SHERIFF,,9,9,9,9
2022-04-03,CARLSBAD,,1,1,1,1
2022-04-03,CHULA VISTA,,4,4,4,4
2022-04-03,EL CAJON,,3,2,3,3
2022-04-03,ESCONDIDO,,4,4,4,4
2022-04-03,LA MESA,,1,1,1,1
2022-04-03,NATIONAL CITY,,1,1,1,1
2022-04-03,OCEANSIDE,,6,6,6,6
2022-04-03,SAN DIEGO,,26,26,26,26
2022-04-03,SHERIFF,,6,6,6,6
2022-04-04,CARLSBAD,,1,1,1,1
2022-04-04,CHULA VISTA,,3,3,3,3
2022-04-04,ESCONDIDO,,3,3,3,3
2022-04-04,HARBOR POLICE,,1,1,1,1
2022-04-04,OCEANSIDE,,5,5,5,5
2022-04-04,SAN DIEGO,,20,20,20,20
2022-04-04,SHERIFF,,9,9,9,9
2022-04-05,CARLSBAD,,2,2,2,2
2022-04-05,CHULA VISTA,,3,3,3,3
2022-04-05,EL CAJON,,6,4,6,6
2022-04-05,ESCONDIDO,,2,2,2,2
2022-04-05,HARBOR POLICE,,1,1,1,1
2022-04-05,OCEANSIDE,,2,2,2,2
2022-04-05,SAN DIEGO,,18,18,18,18
2022-04-05,SHERIFF,,15,15,15,15
2022-04-06,CARLSBAD,,1,1,1,1
2022-04-06,CHULA VISTA,,3,3,3,3
2022-04-06,EL CAJON,,1,1,1,1
2022-04-06,ESCONDIDO,,6,6,6,6
2022-04-06,LA MESA,,4,4,4,4
2022-04-06,OCEANSIDE,,2,2,2,2
2022-04-06,SAN DIEGO,,20,20,20,20
2022-04-06,SHERIFF,,15,14,15,15
2022-04-07,CARLSBAD,,2,2,2,2
2022-04-07,EL CAJON,,4,4,4,4
2022-04-07,ESCONDIDO,,4,4,4,4
2022-04-07,HARBOR POLICE,,1,1,1,1
2022-04-07,NATIONAL CITY,,2,2,2,2
2022-04-07,OCEANSIDE,,4,4,4,4
2022-04-07,SAN DIEGO,,28,28,28,28
2022-04-07,SHERIFF,,17,17,17,17
2022-04-08,CARLSBAD,,1,1,1,1
2022-04-08,CHULA VISTA,,1,1,1,1
2022-04-08,EL CAJON,,3,3,3,3
2022-04-08,ESCONDIDO,,7,7,7,7
2022-04-08,NATIONAL CITY,,1,1,1,1
2022-04-08,OCEANSIDE,,3,3,3,3
2022-04-08,SAN DIEGO,,25,25,25,25
2022-04-08,SHERIFF,,16,16,16,16
2022-04-09,CARLSBAD,,4,4,4,4
2022-04-09,CHULA VISTA,,2,2,2,2
2022-04-09,EL CAJON,,3,3,3,3
2022-04-09,ESCONDIDO,,9,9,9,9
2022-04-09,NATIONAL CITY,,2,2,2,2
2022-04-09,OCEANSIDE,,4,4,4,4
2022-04-09,SAN DIEGO,,20,20,20,20
2022-04-09,SHERIFF,,23,23,23,23
2022-04-10,CHULA VISTA,,3,3,3,3
2022-04-10,EL CAJON,,1,1,1,1
2022-04-10,ESCONDIDO,,5,5,5,5
2022-04-10,LA MESA,,1,1,1,1
2022-04-10,NATIONAL CITY,,3,3,3,3
2022-04-10,OCEANSIDE,,2,2,2,2
2022-04-10,SAN DIEGO,,23,23,23,23
2022-04-10,SHERIFF,,11,11,11,11
2022-04-11,CARLSBAD,,1,1,1,1
2022-04-11,CHULA VISTA,,3,3,3,3
2022-04-11,EL CAJON,,4,3,4,4
2022-04-11,ESCONDIDO,,3,3,3,3
2022-04-11,HARBOR POLICE,,2,2,2,2
2022-04-11,LA MESA,,1,1,1,1
2022-04-11,NATIONAL CITY,,1,1,1,1
2022-04-11,OCEANSIDE,,4,4,4,4
2022-04-11,SAN DIEGO,,28,27,28,28
2022-04-11,SHERIFF,,8,8,8,8
2022-04-12,CARLSBAD,,3,3,3,3
2022-04-12,CHULA VISTA,,1,1,1,1
2022-04-12,EL CAJON,,2,2,2,2
2022-04-12,ESCONDIDO,,3,3,3,3
2022-04-12,HARBOR POLICE,,1,1,1,1
2022-04-12,LA MESA,,1,1,1,1
2022-04-12,NATIONAL CITY,,1,1,1,1
2022-04-12,OCEANSIDE,,5,5,5,5
2022-04-12,SAN DIEGO,,15,15,15,15
2022-04-12,SHERIFF,,16,16,16,16
2022-04-13,CARLSBAD,,3,3,3,3
2022-04-13,EL CAJON,,1,1,1,1
2022-04-13,ESCONDIDO,,3,3,3,3
2022-04-13,LA MESA,,1,1,1,1
2022-04-13,OCEANSIDE,,5,5,5,5
2022-04-13,SAN DIEGO,,25,25,25,25
2022-04-13,SHERIFF,,15,13,15,14
2022-04-14,CARLSBAD,,4,4,4,4
2022-04-14,EL CAJON,,1,1,1,1
2022-04-14,ESCONDIDO,,7,7,7,7
2022-04-14,HARBOR POLICE,,1,1,1,1
2022-04-14,NATIONAL CITY,,2,2,2,2
2022-04-14,OCEANSIDE,,4,4,4,4
2022-04-14,SAN DIEGO,,27,27,27,27
2022-04-14,SHERIFF,,18,18,18,18
2022-04-15,CARLSBAD,,3,3,3,3
2022-04-15,CHULA VISTA,,5,4,5,5
2022-04-15,EL CAJON,,4,4,4,4
2022-04-15,ESCONDIDO,,4,4,4,4
2022-04-15,HARBOR POLICE,,1,1,1,1
2022-04-15,NATIONAL CITY,,2,2,2,2
2022-04-15,OCEANSIDE,,1,1,1,1
2022-04-15,SAN DIEGO,,22,22,22,22
2022-04-15,SHERIFF,,12,11,12,12
2022-04-16,CARLSBAD,,3,3,3,3
2022-04-16,CHULA VISTA,,2,2,2,2
2022-04-16,EL CAJON,,3,3,3,3
2022-04-16,ESCONDIDO,,6,6,6,6
2022-04-16,OCEANSIDE,,2,2,2,2
2022-04-16,SAN DIEGO,,23,23,23,23
2022-04-16,SHERIFF,,12,12,12,12
2022-04-17,CARLSBAD,,1,1,1,1
2022-04-17,CHULA VISTA,,4,4,4,4
2022-04-17,EL CAJON,,3,3,3,3
2022-04-17,ESCONDIDO,,9,8,9,9
2022-04-17,HARBOR POLICE,,1,1,1,1
2022-04-17,LA MESA,,2,2,2,2
2022-04-17,NATIONAL CITY,,2,2,2,2
2022-04-17,OCEANSIDE,,10,10,10,10
2022-04-17,SAN DIEGO,,29,28,29,29
2022-04-17,SHERIFF,,9,9,9,9
2022-04-18,CARLSBAD,,1,1,1,1
2022-04-18,CHULA VISTA,,1,1,1,1
2022-04-18,EL CAJON,,5,5,5,5
2022-04-18,ESCONDIDO,,5,5,5,5
2022-04-18,LA MESA,,2,2,2,2
2022-04-18,OCEANSIDE,,4,4,4,4
2022-04-18,SAN DIEGO,,17,16,17,17
2022-04-18,SHERIFF,,10,10,10,10
2022-04-19,CARLSBAD,,1,1,1,1
2022-04-19,EL CAJON,,2,2,2,2
2022-04-19,ESCONDIDO,,2,2,2,2
2022-04-19,LA MESA,,3,3,3,3
2022-04-19,NATIONAL CITY,,1,1,1,1
2022-04-19,OCEANSIDE,,8,8,8,8
2022-04-19,SAN DIEGO,,21,21,21,21
2022-04-19,SHERIFF,,8,8,8,8
2022-04-20,CARLSBAD,,2,2,2,2
2022-04-20,CHULA VISTA,,4,4,4,4
2022-04-20,EL CAJON,,2,2,2,2
2022-04-20,ESCONDIDO,,4,4,4,4
2022-04-20,LA MESA,,3,2,3,3
2022-04-20,NATIONAL CITY,,1,1,1,1
2022-04-20,OCEANSIDE,,4,4,4,4
2022-04-20,SAN DIEGO,,20,20,20,20
2022-04-20,SHERIFF,,21,21,21,21
2022-04-21,CARLSBAD,,1,1,1,1
2022-04-21,CHULA VISTA,,1,1,1,1
2022-04-21,EL CAJON,,1,1,1,1
2022-04-21,LA MESA,,1,1,1,1
2022-04-21,OCEANSIDE,,4,4,4,4
2022-04-21,SAN DIEGO,,25,25,25,25
2022-04-21,SHERIFF,,18,18,18,18
2022-04-22,CARLSBAD,,3,3,3,3
2022-04-22,CHULA VISTA,,4,4,4,4
2022-04-22,EL CAJON,,3,3,3,3
2022-04-22,ESCONDIDO,,5,5,5,5
2022-04-22,LA MESA,,1,1,1,1
2022-04-22,OCEANSIDE,,4,4,4,4
2022-04-22,SAN DIEGO,,31,30,31,31
2022-04-22,SHERIFF,,16,16,16,16
2022-04-23,CARLSBAD,,4,4,4,4
2022-04-23,CHULA VISTA,,1,1,1,1
2022-04-23,EL CAJON,,5,5,5,5
2022-04-23,ESCONDIDO,,3,3,3,3
2022-04-23,OCEANSIDE,,4,4,4,4
2022-04-23,SAN DIEGO,,26,26,26,26
2022-04-23,SHERIFF,,14,14,14,14
2022-04-24,CARLSBAD,,1,1,1,1
2022-04-24,CHULA VISTA,,5,5,5,5
2022-04-24,ESCONDIDO,,2,2,2,2
2022-04-24,NATIONAL CITY,,3,3,3,3
2022-04-24,OCEANSIDE,,4,4,4,4
2022-04-24,SAN DIEGO,,23,22,23,23
2022-04-24,SHERIFF,,8,8,8,8
2022-04-25,CARLSBAD,,1,1,1,1
2022-04-25,CHULA VISTA,,3,3,3,3
2022-04-25,EL CAJON,,1,1,1,1
2022-04-25,ESCONDIDO,,2,2,2,2
2022-04-25,HARBOR POLICE,,2,2,2,2
2022-04-25,OCEANSIDE,,2,2,2,2
2022-04-25,SAN DIEGO,,12,12,12,12
2022-04-25,SHERIFF,,16,15,16,16
2022-04-26,CARLSBAD,,3,3,3,3
2022-04-26,CHULA VISTA,,1,1,1,1
2022-04-26,EL CAJON,,4,4,4,4
2022-04-26,ESCONDIDO,,5,5,5,5
2022-04-26,LA MESA,,1,1,1,1
2022-04-26,NATIONAL CITY,,1,1,1,1
2022-04-26,OCEANSIDE,,4,4,4,4
2022-04-26,SAN DIEGO,,30,24,30,30
2022-04-26,SHERIFF,,17,17,17,17
2022-04-27,CARLSBAD,,2,2,2,2
2022-04-27,CHULA VISTA,,2,2,2,2
2022-04-27,EL CAJON,,4,4,4,4
2022-04-27,ESCONDIDO,,3,3,3,3
2022-04-27,HARBOR POLICE,,2,2,2,2
2022-04-27,LA MESA,,2,2,2,2
2022-04-27,NATIONAL CITY,,5,5,5,5
2022-04-27,OCEANSIDE,,3,3,3,3
2022-04-27,SAN DIEGO,,27,27,27,27
2022-04-27,SHERIFF,,20,19,20,20
2022-04-28,CARLSBAD,,1,1,1,1
2022-04-28,CHULA VISTA,,1,1,1,1
2022-04-28,ESCONDIDO,,3,3,3,3
2022-04-28,OCEANSIDE,,2,2,2,2
2022-04-28,SAN DIEGO,,23,23,23,23
2022-04-28,SHERIFF,,15,15,15,15
2022-04-29,CARLSBAD,,6,6,6,6
2022-04-29,CHULA VISTA,,3,3,3,3
2022-04-29,EL CAJON,,3,3,3,3
2022-04-29,ESCONDIDO,,5,5,5,5
2022-04-29,LA MESA,,3,3,3,3
2022-04-29,OCEANSIDE,,2,2,2,2
2022-04-29,SAN DIEGO,,28,25,27,27
2022-04-29,SHERIFF,,12,11,12,12
2022-04-30,CARLSBAD,,5,5,5,5
2022-04-30,CHULA VISTA,,3,3,3,3
2022-04-30,EL CAJON,,2,2,2,2
2022-04-30,ESCONDIDO,,6,6,6,6
2022-04-30,HARBOR POLICE,,2,2,2,2
2022-04-30,NATIONAL CITY,,1,1,1,1
2022-04-30,OCEANSIDE,,1,1,1,1
2022-04-30,SAN DIEGO,,35,33,35,35
2022-04-30,SHERIFF,,9,9,9,9
2022-05-01,CARLSBAD,,3,3,3,3
2022-05-01,CHULA VISTA,,4,4,4,4
2022-05-01,EL CAJON,,3,3,3,3
2022-05-01,ESCONDIDO,,6,6,6,6
2022-05-01,HARBOR POLICE,,1,1,1,1
2022-05-01,LA MESA,,1,1,1,1
2022-05-01,NATIONAL CITY,,1,1,1,1
2022-05-01,OCEANSIDE,,4,4,4,4
2022-05-01,SAN DIEGO,,21,21,21,21
2022-05-01,SHERIFF,,7,7,7,7
2022-05-02,CARLSBAD,,4,4,4,4
2022-05-02,CHULA VISTA,,5,4,5,5
2022-05-02,EL CAJON,,2,2,2,2
2022-05-02,ESCONDIDO,,3,3,3,3
2022-05-02,LA MESA,,4,4,4,4
2022-05-02,NATIONAL CITY,,2,2,2,2
2022-05-02,OCEANSIDE,,3,3,3,3
2022-05-02,SAN DIEGO,,22,22,22,22
2022-05-02,SHERIFF,,12,12,12,12
2022-05-03,CHULA VISTA,,3,3,3,3
2022-05-03,OCEANSIDE,,5,5,5,5
2022-05-03,SAN DIEGO,,16,16,16,16
2022-05-03,SHERIFF,,9,9,9,9
2022-05-04,CARLSBAD,,2,2,2,2
2022-05-04,CHULA VISTA,,1,1,1,1
2022-05-04,EL CAJON,,2,2,2,2
2022-05-04,ESCONDIDO,,6,6,6,6
2022-05-04,LA MESA,,5,5,5,5
2022-05-04,NATIONAL CITY,,1,1,1,1
2022-05-04,OCEANSIDE,,6,6,6,6
2022-05-04,SAN DIEGO,,21,20,21,21
2022-05-04,SHERIFF,,15,15,15,15
2022-05-05,CARLSBAD,,2,2,2,2
2022-05-05,CHULA VISTA,,1,1,1,1
2022-05-05,ESCONDIDO,,1,1,1,1
2022-05-05,OCEANSIDE,,4,4,4,4
2022-05-05,SAN DIEGO,,24,24,24,24
2022-05-05,SHERIFF,,20,20,20,20
2022-05-06,CARLSBAD,,6,6,6,6
2022-05-06,CHULA VISTA,,3,3,3,3
2022-05-06,EL CAJON,,4,3,3,3
2022-05-06,ESCONDIDO,,5,5,5,5
2022-05-06,HARBOR POLICE,,1,1,1,1
2022-05-06,LA MESA,,2,2,2,2
2022-05-06,NATIONAL CITY,,2,2,2,2
2022-05-06,OCEANSIDE,,6,6,6,6
2022-05-06,SAN DIEGO,,36,36,36,36
2022-05-06,SHERIFF,,16,16,16,16
2022-05-07,CARLSBAD,,2,2,2,2
2022-05-07,ESCONDIDO,,3,3,3,3
2022-05-07,LA MESA,,1,1,1,1
2022-05-07,NATIONAL CITY,,2,2,2,2
2022-05-07,OCEANSIDE,,2,2,2,2
2022-05-07,SAN DIEGO,,25,25,25,25
2022-05-07,SHERIFF,,9,9,9,9
2022-05-08,CARLSBAD,,5,5,5,5
2022-05-08,CHULA VISTA,,1,1,1,1
2022-05-08,EL CAJON,,1,1,1,1
2022-05-08,ESCONDIDO,,5,5,5,5
2022-05-08,NATIONAL CITY,,1,1,1,1
2022-05-08,OCEANSIDE,,6,6,6,6
2022-05-08,SAN DIEGO,,21,21,21,21
2022-05-08,SHERIFF,,6,6,6,6
2022-05-09,CARLSBAD,,2,2,2,2
2022-05-09,CHULA VISTA,,3,3,3,3
2022-05-09,ESCONDIDO,,3,3,3,3
2022-05-09,HARBOR POLICE,,1,1,1,1
2022-05-09,OCEANSIDE,,2,2,2,2
2022-05-09,SAN DIEGO,,17,17,17,17
2022-05-09,SHERIFF,,21,21,21,21
2022-05-10,CARLSBAD,,2,2,2,2
2022-05-10,ESCONDIDO,,4,4,4,4
2022-05-10,NATIONAL CITY,,1,1,1,1
2022-05-10,OCEANSIDE,,2,2,2,2
2022-05-10,SAN DIEGO,,23,23,23,23
2022-05-10,SHERIFF,,12,12,12,12
2022-05-11,CARLSBAD,,2,2,2,2
2022-05-11,CHULA VISTA,,1,1,1,1
2022-05-11,ESCONDIDO,,5,5,5,5
2022-05-11,HARBOR POLICE,,1,1,1,1
2022-05-11,SAN DIEGO,,12,12,12,12
2022-05-11,SHERIFF,,20,19,20,20
2022-05-12,CARLSBAD,,2,2,2,2
2022-05-12,CHULA VISTA,,2,2,2,2
2022-05-12,EL CAJON,,3,3,3,3
2022-05-12,ESCONDIDO,,4,4,4,4
2022-05-12,HARBOR POLICE,,1,1,1,1
2022-05-12,NATIONAL CITY,,1,1,1,1
2022-05-12,OCEANSIDE,,4,4,4,4
2022-05-12,SAN DIEGO,,18,18,18,18
2022-05-12,SHERIFF,,14,14,14,14
2022-05-13,CARLSBAD,,2,2,2,2
2022-05-13,CHULA VISTA,,2,2,2,2
2022-05-13,EL CAJON,,1,1,1,1
2022-05-13,ESCONDIDO,,3,3,3,3
2022-05-13,LA MESA,,1,1,1,1
2022-05-13,NATIONAL CITY,,1,1,1,1
2022-05-13,OCEANSIDE,,3,3,3,3
2022-05-13,SAN DIEGO,,21,20,21,21
2022-05-13,SHERIFF,,13,13,13,13
2022-05-14,CARLSBAD,,3,3,3,3
2022-05-14,CHULA VISTA,,1,1,1,1
2022-05-14,EL CAJON,,1,1,1,1
2022-05-14,ESCONDIDO,,1,1,1,1
2022-05-14,HARBOR POLICE,,2,2,2,2
2022-05-14,LA MESA,,2,2,2,2
2022-05-14,NATIONAL CITY,,2,2,2,2
2022-05-14,OCEANSIDE,,3,3,3,3
2022-05-14,SAN DIEGO,,25,25,25,25
2022-05-14,SHERIFF,,7,7,7,7
2022-05-15,CARLSBAD,,4,4,4,4
2022-05-15,CHULA VISTA,,3,3,3,3
2022-05-15,EL CAJON,,1,1,1,1
2022-05-15,ESCONDIDO,,6,6,6,6
2022-05-15,LA MESA,,1,1,1,1
2022-05-15,OCEANSIDE,,4,4,4,4
2022-05-15,SAN DIEGO,,22,22,22,22
2022-05-15,SHERIFF,,15,15,15,15
2022-05-16,CHULA VISTA,,1,1,1,1
2022-05-16,EL CAJON,,4,4,4,4
2022-05-16,ESCONDIDO,,1,1,1,1
2022-05-16,NATIONAL CITY,,1,1,1,1
2022-05-16,OCEANSIDE,,3,3,3,3
2022-05-16,SAN DIEGO,,15,15,15,15
2022-05-16,SHERIFF,,12,12,12,12
2022-05-17,CARLSBAD,,2,2,2,2
2022-05-17,CHULA VISTA,,1,1,1,1
2022-05-17,EL CAJON,,4,4,4,4
2022-05-17,ESCONDIDO,,3,3,3,3
2022-05-17,HARBOR POLICE,,1,1,1,1
2022-05-17,NATIONAL CITY,,1,1,1,1
2022-05-17,OCEANSIDE,,2,2,2,2
2022-05-17,SAN DIEGO,,14,14,14,14
2022-05-17,SHERIFF,,13,13,13,13
2022-05-18,CHULA VISTA,,4,4,4,4
2022-05-18,ESCONDIDO,,3,3,3,3
2022-05-18,LA MESA,,1,1,1,1
2022-05-18,NATIONAL CITY,,3,3,3,3
2022-05-18,OCEANSIDE,,2,2,2,2
2022-05-18,SAN DIEGO,,13,13,13,13
2022-05-18,SHERIFF,,14,14,14,14
2022-05-19,CARLSBAD,,2,2,2,2
2022-05-19,CHULA VISTA,,1,1,1,1
2022-05-19,ESCONDIDO,,3,3,3,3
2022-05-19,LA MESA,,1,1,1,1
2022-05-19,NATIONAL CITY,,1,1,1,1
2022-05-19,OCEANSIDE,,2,2,2,2
2022-05-19,SAN DIEGO,,22,20,22,22
2022-05-19,SHERIFF,,21,21,21,21
2022-05-20,CARLSBAD,,1,1,1,1
2022-05-20,CHULA VISTA,,4,4,4,4
2022-05-20,EL CAJON,,2,2,2,2
2022-05-20,ESCONDIDO,,5,5,5,5
2022-05-20,HARBOR POLICE,,1,1,1,1
2022-05-20,NATIONAL CITY,,1,1,1,1
2022-05-20,OCEANSIDE,,5,5,5,5
2022-05-20,SAN DIEGO,,24,23,24,24
2022-05-20,SHERIFF,,16,14,16,16
2022-05-21,CARLSBAD,,3,3,3,3
2022-05-21,CHULA VISTA,,4,4,4,4
2022-05-21,EL CAJON,,3,3,3,3
2022-05-21,ESCONDIDO,,8,7,8,8
2022-05-21,HARBOR POLICE,,1,1,1,1
