date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2024-01-01,A,PE,71,71,60
2024-01-01,A,PR,134,134,128
2024-01-01,A,SO,15,15,11
2024-01-01,B,,32,32,32
2024-01-01,B,SO,25,25,25
2024-01-02,A,PE,43,43,40
2024-01-02,A,PR,102,102,98
2024-01-02,A,SO,26,26,17
2024-01-02,B,,41,41,41
2024-01-02,B,SO,3,3,3
2024-01-03,A,PE,38,38,31
2024-01-03,A,PR,105,105,97
2024-01-03,A,SO,16,16,12
2024-01-03,B,,40,40,40
2024-01-03,B,SO,5,5,5
2024-01-04,A,PE,31,31,27
2024-01-04,A,PR,95,95,95
2024-01-04,A,SO,18,18,13
2024-01-04,B,,48,48,47
2024-01-04,B,SO,10,10,10
2024-01-05,A,PE,37,37,35
2024-01-05,A,PR,105,105,100
2024-01-05,A,SO,24,24,19
2024-01-05,B,,39,39,39
2024-01-05,B,SO,19,19,17
2024-01-06,A,PE,44,44,38
2024-01-06,A,PR,103,103,99
2024-01-06,A,SO,21,21,15
2024-01-06,B,,42,42,42
2024-01-06,B,SO,15,15,15
2024-01-07,A,PE,45,45,43
2024-01-07,A,PR,99,99,92
2024-01-07,A,SO,13,13,10
2024-01-07,B,,30,30,30
2024-01-07,B,SO,31,31,30
2024-01-08,A,PE,23,23,20
2024-01-08,A,PR,99,99,94
2024-01-08,A,SO,24,24,15
2024-01-08,B,,50,50,50
2024-01-08,B,SO,13,13,12
2024-01-09,A,PE,21,21,19
2024-01-09,A,PR,71,71,64
2024-01-09,A,SO,14,14,12
2024-01-09,B,,50,50,50
2024-01-09,B,SO,11,11,11
2024-01-10,A,PE,32,32,29
2024-01-10,A,PR,112,112,110
2024-01-10,A,SO,28,28,21
2024-01-10,B,,64,64,64
2024-01-10,B,SO,10,10,10
2024-01-11,A,PE,29,29,28
2024-01-11,A,PR,90,90,85
2024-01-11,A,SO,15,15,10
2024-01-11,B,,46,46,46
2024-01-11,B,SO,7,7,7
2024-01-12,A,PE,28,28,28
2024-01-12,A,PR,118,118,116
2024-01-12,A,SO,20,20,13
2024-01-12,B,,42,42,42
2024-01-12,B,SO,14,14,14
2024-01-13,A,PE,53,53,49
2024-01-13,A,PR,123,123,119
2024-01-13,A,SO,29,29,21
2024-01-13,B,,34,34,34
2024-01-13,B,SO,17,17,16
2024-01-14,A,PE,34,34,33
2024-01-14,A,PR,92,92,89
2024-01-14,A,SO,16,16,11
2024-01-14,B,,37,37,37
2024-01-14,B,SO,19,19,19
2024-01-15,A,PE,44,44,36
2024-01-15,A,PR,106,106,101
2024-01-15,A,SO,13,13,13
2024-01-15,B,,48,48,48
2024-01-15,B,SO,9,9,9
2024-01-16,A,PE,31,31,27
2024-01-16,A,PR,97,97,94
2024-01-16,A,SO,32,32,22
2024-01-16,B,,48,48,48
2024-01-16,B,SO,12,12,12
2024-01-17,A,PE,35,35,31
2024-01-17,A,PR,82,82,76
2024-01-17,A,SO,20,20,15
2024-01-17,B,,49,49,49
2024-01-17,B,SO,5,5,5
2024-01-18,A,PE,42,42,32
2024-01-18,A,PR,105,105,101
2024-01-18,A,SO,26,26,20
2024-01-18,B,,50,50,50
2024-01-18,B,SO,10,10,10
2024-01-19,A,PE,30,30,28
2024-01-19,A,PR,110,110,105
2024-01-19,A,SO,26,26,19
2024-01-19,B,,47,47,47
2024-01-19,B,SO,16,16,16
2024-01-20,A,PE,43,43,39
2024-01-20,A,PR,98,98,90
2024-01-20,A,SO,15,15,13
2024-01-20,B,,24,24,24
2024-01-20,B,SO,17,17,17
2024-01-21,A,PE,32,32,29
2024-01-21,A,PR,98,98,95
2024-01-21,A,SO,10,10,8
2024-01-21,B,,37,37,37
2024-01-21,B,SO,15,15,15
2024-01-22,A,PE,21,21,20
2024-01-22,A,PR,106,106,103
2024-01-22,A,SO,14,14,11
2024-01-22,B,,31,31,31
2024-01-22,B,SO,9,9,9
2024-01-23,A,PE,35,35,25
2024-01-23,A,PR,120,120,114
2024-01-23,A,SO,25,25,17
2024-01-23,B,,52,52,52
2024-01-23,B,SO,11,11,11
2024-01-24,A,PE,29,29,26
2024-01-24,A,PR,108,108,108
2024-01-24,A,SO,11,11,9
2024-01-24,B,,44,44,44
2024-01-24,B,SO,5,5,4
2024-01-25,A,PE,38,38,32
2024-01-25,A,PR,107,107,104
2024-01-25,A,SO,19,19,15
2024-01-25,B,,41,41,41
2024-01-25,B,SO,9,9,9
2024-01-26,A,PE,43,43,33
2024-01-26,A,PR,120,120,115
2024-01-26,A,SO,23,23,16
2024-01-26,B,,56,56,56
2024-01-26,B,SO,10,10,10
2024-01-27,A,PE,49,49,39
2024-01-27,A,PR,117,117,107
2024-01-27,A,SO,16,16,12
2024-01-27,B,,42,42,42
2024-01-27,B,SO,21,21,21
2024-01-28,A,PE,55,55,52
2024-01-28,A,PR,84,84,80
2024-01-28,A,SO,11,11,10
2024-01-28,B,,35,35,35
2024-01-28,B,SO,19,19,19
2024-01-29,A,PE,34,34,32
2024-01-29,A,PR,89,89,88
2024-01-29,A,SO,24,24,17
2024-01-29,B,,41,41,41
2024-01-29,B,SO,10,10,10
2024-01-30,A,PE,27,27,25
2024-01-30,A,PR,87,87,81
2024-01-30,A,SO,17,17,13
2024-01-30,B,,48,48,48
2024-01-30,B,SO,6,6,6
2024-01-31,A,PE,34,34,30
2024-01-31,A,PR,88,88,86
2024-01-31,A,SO,22,22,20
2024-01-31,B,,58,58,58
2024-01-31,B,SO,9,9,9
2024-02-01,A,PE,27,27,24
2024-02-01,A,PR,138,138,136
2024-02-01,A,SO,11,11,7
2024-02-01,B,,43,43,43
2024-02-01,B,SO,8,8,8
2024-02-02,A,PE,42,42,36
2024-02-02,A,PR,118,118,110
2024-02-02,A,SO,31,31,21
2024-02-02,B,,56,56,56
2024-02-02,B,SO,9,9,9
2024-02-03,A,PE,27,27,26
2024-02-03,A,PR,111,111,109
2024-02-03,A,SO,20,20,13
2024-02-03,B,,34,34,34
2024-02-03,B,SO,28,28,28
2024-02-04,A,PE,41,41,39
2024-02-04,A,PR,103,103,100
2024-02-04,A,SO,14,14,8
2024-02-04,B,,37,37,37
2024-02-04,B,SO,17,17,17
2024-02-05,A,PE,27,27,25
2024-02-05,A,PR,102,102,100
2024-02-05,A,SO,17,17,13
2024-02-05,B,,46,46,46
2024-02-05,B,SO,9,9,9
2024-02-06,A,PE,24,24,23
2024-02-06,A,PR,97,97,96
2024-02-06,A,SO,13,13,12
2024-02-06,B,,32,32,32
2024-02-06,B,SO,8,8,8
2024-02-07,A,PE,27,27,26
2024-02-07,A,PR,98,98,93
2024-02-07,A,SO,17,17,12
2024-02-07,B,,51,51,51
2024-02-07,B,SO,6,6,6
2024-02-08,A,PE,33,33,29
2024-02-08,A,PR,98,98,97
2024-02-08,A,SO,29,29,24
2024-02-08,B,,49,49,49
2024-02-08,B,SO,7,7,7
2024-02-09,A,PE,32,32,30
2024-02-09,A,PR,112,112,109
2024-02-09,A,SO,20,20,14
2024-02-09,B,,47,47,47
2024-02-09,B,SO,22,22,21
2024-02-10,A,PE,39,39,30
2024-02-10,A,PR,95,95,93
2024-02-10,A,SO,19,19,16
2024-02-10,B,,34,34,34
2024-02-10,B,SO,15,15,15
2024-02-11,A,PE,36,36,33
2024-02-11,A,PR,88,88,84
2024-02-11,A,SO,5,5,4
2024-02-11,B,,29,29,29
2024-02-11,B,SO,25,25,24
2024-02-12,A,PE,30,30,26
2024-02-12,A,PR,94,94,88
2024-02-12,A,SO,19,19,13
2024-02-12,B,,37,37,37
2024-02-12,B,SO,8,8,8
2024-02-13,A,PE,25,25,20
2024-02-13,A,PR,81,81,81
2024-02-13,A,SO,23,23,16
2024-02-13,B,,44,44,44
2024-02-13,B,SO,9,9,9
2024-02-14,A,PE,29,29,25
2024-02-14,A,PR,90,90,87
2024-02-14,A,SO,36,36,25
2024-02-14,B,,47,47,47
2024-02-14,B,SO,7,7,7
2024-02-15,A,PE,31,31,29
2024-02-15,A,PR,91,91,90
2024-02-15,A,SO,27,27,21
2024-02-15,B,,65,65,65
2024-02-15,B,SO,5,5,5
2024-02-16,A,PE,37,37,34
2024-02-16,A,PR,107,107,103
2024-02-16,A,SO,24,24,20
2024-02-16,B,,51,51,51
2024-02-16,B,SO,16,16,16
2024-02-17,A,PE,37,37,33
2024-02-17,A,PR,97,97,94
2024-02-17,A,SO,16,16,13
2024-02-17,B,,24,24,24
2024-02-17,B,SO,16,16,16
2024-02-18,A,PE,42,42,35
2024-02-18,A,PR,93,93,91
2024-02-18,A,SO,18,18,15
2024-02-18,B,,32,32,32
2024-02-18,B,SO,20,20,20
2024-02-19,A,PE,42,42,35
2024-02-19,A,PR,77,77,73
2024-02-19,A,SO,16,16,13
2024-02-19,B,,47,47,47
2024-02-19,B,SO,12,12,12
2024-02-20,A,PE,32,32,28
2024-02-20,A,PR,86,86,83
2024-02-20,A,SO,19,19,14
2024-02-20,B,,49,49,49
2024-02-20,B,SO,6,6,6
2024-02-21,A,PE,33,33,28
2024-02-21,A,PR,94,94,93
2024-02-21,A,SO,32,32,27
2024-02-21,B,,57,57,57
2024-02-21,B,SO,9,9,9
2024-02-22,A,PE,43,43,37
2024-02-22,A,PR,82,82,78
2024-02-22,A,SO,31,31,20
2024-02-22,B,,48,48,48
2024-02-22,B,SO,5,5,5
2024-02-23,A,PE,44,44,41
2024-02-23,A,PR,126,126,121
2024-02-23,A,SO,21,21,16
2024-02-23,B,,45,45,45
2024-02-23,B,SO,14,14,14
2024-02-24,A,PE,45,45,37
2024-02-24,A,PR,120,120,114
2024-02-24,A,SO,25,25,19
2024-02-24,B,,26,26,26
2024-02-24,B,SO,29,29,29
2024-02-25,A,PE,40,40,35
2024-02-25,A,PR,113,113,107
2024-02-25,A,SO,9,9,8
2024-02-25,B,,32,32,32
2024-02-25,B,SO,16,16,16
2024-02-26,A,PE,28,28,27
2024-02-26,A,PR,108,108,106
2024-02-26,A,SO,29,29,21
2024-02-26,B,,35,35,35
2024-02-26,B,SO,11,11,11
2024-02-27,A,PE,32,32,30
2024-02-27,A,PR,93,93,90
2024-02-27,A,SO,18,18,15
2024-02-27,B,,38,38,38
2024-02-27,B,SO,10,10,10
2024-02-28,A,PE,26,26,26
2024-02-28,A,PR,112,112,108
2024-02-28,A,SO,19,19,16
2024-02-28,B,,46,46,46
2024-02-28,B,SO,13,13,13
2024-02-29,A,PE,25,25,24
2024-02-29,A,PR,112,112,105
2024-02-29,A,SO,31,31,25
2024-02-29,B,,63,63,63
2024-02-29,B,SO,13,13,13
2024-03-01,A,PE,51,51,45
2024-03-01,A,PR,145,145,139
2024-03-01,A,SO,35,35,24
2024-03-01,B,,48,48,48
2024-03-01,B,SO,22,22,22
2024-03-02,A,PE,49,49,40
2024-03-02,A,PR,170,170,163
2024-03-02,A,SO,14,14,12
2024-03-02,B,,35,35,35
2024-03-02,B,SO,27,27,27
2024-03-03,A,PE,32,32,25
2024-03-03,A,PR,121,121,116
2024-03-03,A,SO,20,20,14
2024-03-03,B,,37,37,37
2024-03-03,B,SO,13,13,12
2024-03-04,A,PE,39,39,36
2024-03-04,A,PR,82,82,80
2024-03-04,A,SO,31,31,21
2024-03-04,B,,38,38,38
2024-03-04,B,SO,8,8,8
2024-03-05,A,PE,22,22,21
2024-03-05,A,PR,89,89,84
2024-03-05,A,SO,19,19,13
2024-03-05,B,,58,58,58
2024-03-05,B,SO,4,4,4
2024-03-06,A,PE,32,32,27
2024-03-06,A,PR,101,101,99
2024-03-06,A,SO,24,24,18
2024-03-06,B,,36,36,36
2024-03-06,B,SO,6,6,6
2024-03-07,A,PE,20,20,20
2024-03-07,A,PR,121,121,118
2024-03-07,A,SO,20,20,16
2024-03-07,B,,50,50,50
2024-03-07,B,SO,8,8,8
2024-03-08,A,PE,28,28,26
2024-03-08,A,PR,121,121,116
2024-03-08,A,SO,24,24,17
2024-03-08,B,,61,61,61
2024-03-08,B,SO,19,19,19
2024-03-09,A,PE,34,34,31
2024-03-09,A,PR,88,88,87
2024-03-09,A,SO,16,16,10
2024-03-09,B,,44,44,44
2024-03-09,B,SO,11,11,11
2024-03-10,A,PE,41,41,36
2024-03-10,A,PR,109,109,105
2024-03-10,A,SO,19,19,14
2024-03-10,B,,43,43,43
2024-03-10,B,SO,12,12,12
2024-03-11,A,PE,25,25,21
2024-03-11,A,PR,90,90,85
2024-03-11,A,SO,40,40,32
2024-03-11,B,,42,42,42
2024-03-11,B,SO,6,6,6
2024-03-12,A,PE,29,29,28
2024-03-12,A,PR,90,90,88
2024-03-12,A,SO,24,24,17
2024-03-12,B,,45,45,45
2024-03-12,B,SO,2,2,2
2024-03-13,A,PE,28,28,24
2024-03-13,A,PR,108,108,106
2024-03-13,A,SO,20,20,14
2024-03-13,B,,46,46,46
2024-03-13,B,SO,10,10,10
2024-03-14,A,PE,31,31,28
2024-03-14,A,PR,102,102,98
2024-03-14,A,SO,15,15,9
2024-03-14,B,,57,57,57
2024-03-14,B,SO,12,12,11
