month,group_type,offense_code,offense_description,source_rows
2020-01,A,09A,Murder and Nonnegligent Manslaughter,1
2020-01,A,100,Kidnaping/Abduction,9
2020-01,A,100,Kidnapping/Abduction,4
2020-01,A,11A,Forcible Rape,41
2020-01,A,11B,Forcible Sodomy,7
2020-01,A,11C,Sexual Assault With an Object,5
2020-01,A,11D,Forcible Fondling,54
2020-01,A,120,Robbery,117
2020-01,A,13A,Aggravated Assault,254
2020-01,A,13B,Simple Assault,582
2020-01,A,13C,Intimidation,72
2020-01,A,200,Arson,19
2020-01,A,210,Extortion/Blackmail,7
2020-01,A,220,Burglary/Breaking & Entering,269
2020-01,A,23A,Pocket-Picking,4
2020-01,A,23B,Purse-Snatching,15
2020-01,A,23C,Shoplifting,138
2020-01,A,23D,Theft From Building,56
2020-01,A,23E,Theft From Coin Operated Machine or Device,2
2020-01,A,23F,Theft From Motor Vehicle,610
2020-01,A,23G,Theft of Motor Vehicle Parts/Accessories,17
2020-01,A,23H,All Other Larceny,603
2020-01,A,240,Motor Vehicle Theft,404
2020-01,A,250,Counterfeiting/Forgery,36
2020-01,A,26A,False Pretenses/Swindle/Confidence Game,41
2020-01,A,26B,Credit Card/Automatic Teller Fraud,73
2020-01,A,26C,Impersonation,268
2020-01,A,270,Embezzlement,26
2020-01,A,280,Stolen Property Offenses,144
2020-01,A,290,Destruction/Damage/Vandalism of Property,664
2020-01,A,35A,Drug/narcotic Violations,536
2020-01,A,35B,Drug Equipment Violations,301
2020-01,A,36B,Statutory Rape,3
2020-01,A,39C,Gambling Equipment Violations,1
2020-01,A,40A,Prostitution,19
2020-01,A,40B,Assisting or Promoting Prostitution,1
2020-01,A,520,Weapon Law Violations,93
2020-01,B,90A,Bad Checks,1
2020-01,B,90B,Curfew/Loitering/Vagrancy Violations,209
2020-01,B,90C,Disorderly Conduct,11
2020-01,B,90D,Driving Under the Influence,141
2020-01,B,90E,Drunkenness,326
2020-01,B,90G,Liquor Law Violations,10
2020-01,B,90H,Peeping Tom,1
2020-01,B,90J,Trespass of Real Property,71
2020-01,B,90Z,All Other Offenses,2123
2020-02,A,09A,Murder and Nonnegligent Manslaughter,3
2020-02,A,100,Kidnaping/Abduction,12
2020-02,A,100,Kidnapping/Abduction,4
2020-02,A,11A,Forcible Rape,30
2020-02,A,11B,Forcible Sodomy,4
2020-02,A,11C,Sexual Assault With an Object,3
2020-02,A,11D,Forcible Fondling,21
2020-02,A,120,Robbery,93
2020-02,A,13A,Aggravated Assault,222
2020-02,A,13B,Simple Assault,568
2020-02,A,13C,Intimidation,49
2020-02,A,200,Arson,20
2020-02,A,210,Extortion/Blackmail,6
2020-02,A,220,Burglary/Breaking & Entering,271
2020-02,A,23A,Pocket-Picking,6
2020-02,A,23B,Purse-Snatching,9
2020-02,A,23C,Shoplifting,159
2020-02,A,23D,Theft From Building,65
2020-02,A,23F,Theft From Motor Vehicle,575
2020-02,A,23G,Theft of Motor Vehicle Parts/Accessories,22
2020-02,A,23H,All Other Larceny,541
2020-02,A,240,Motor Vehicle Theft,365
2020-02,A,250,Counterfeiting/Forgery,33
2020-02,A,26A,False Pretenses/Swindle/Confidence Game,32
2020-02,A,26B,Credit Card/Automatic Teller Fraud,90
2020-02,A,26C,Impersonation,237
2020-02,A,270,Embezzlement,12
2020-02,A,280,Stolen Property Offenses,154
2020-02,A,290,Destruction/Damage/Vandalism of Property,661
2020-02,A,35A,Drug/narcotic Violations,582
2020-02,A,35B,Drug Equipment Violations,339
2020-02,A,36B,Statutory Rape,5
2020-02,A,370,Pornography/Obscene Material,2
2020-02,A,40A,Prostitution,16
