month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
2021-06,SAN DIEGO,False,5234,4164,4744
2021-06,SAN DIEGO,True,490,423,484
2021-06,SHERIFF,False,2825,2085,2687
2021-06,SHERIFF,True,393,331,392
2021-06,SYCUAN TRIBAL POLICE DEPARTMENT,False,12,11,12
2021-06,SYCUAN TRIBAL POLICE DEPARTMENT,True,2,2,2
2021-07,CARLSBAD,False,370,291,358
2021-07,CARLSBAD,True,31,23,31
2021-07,CHULA VISTA,False,727,528,653
2021-07,CHULA VISTA,True,132,106,131
2021-07,EL CAJON,False,496,360,461
2021-07,EL CAJON,True,111,87,111
2021-07,ESCONDIDO,False,650,495,609
2021-07,ESCONDIDO,True,68,57,68
2021-07,HARBOR POLICE,False,148,117,145
2021-07,HARBOR POLICE,True,7,7,7
2021-07,LA MESA,False,262,213,246
2021-07,LA MESA,True,24,21,24
2021-07,NATIONAL CITY,False,301,226,280
2021-07,NATIONAL CITY,True,37,29,36
2021-07,OCEANSIDE,False,950,762,903
2021-07,OCEANSIDE,True,71,61,71
2021-07,SAN DIEGO,False,5520,4401,5041
2021-07,SAN DIEGO,True,602,506,599
2021-07,SHERIFF,False,2881,2163,2729
2021-07,SHERIFF,True,373,321,373
2021-07,SYCUAN TRIBAL POLICE DEPARTMENT,False,20,19,20
2021-07,SYCUAN TRIBAL POLICE DEPARTMENT,True,5,5,5
2021-08,CARLSBAD,False,404,316,383
2021-08,CARLSBAD,True,35,28,35
2021-08,CHULA VISTA,False,669,495,607
2021-08,CHULA VISTA,True,158,115,158
2021-08,EL CAJON,False,412,312,377
2021-08,EL CAJON,True,94,73,94
2021-08,ESCONDIDO,False,633,501,594
2021-08,ESCONDIDO,True,101,78,100
2021-08,HARBOR POLICE,False,137,100,136
2021-08,HARBOR POLICE,True,5,5,5
2021-08,LA MESA,False,224,167,206
2021-08,LA MESA,True,42,37,42
2021-08,NATIONAL CITY,False,289,230,264
2021-08,NATIONAL CITY,True,42,33,41
2021-08,OCEANSIDE,False,800,663,766
2021-08,OCEANSIDE,True,65,56,65
2021-08,SAN DIEGO,False,5175,4102,4699
2021-08,SAN DIEGO,True,513,442,507
2021-08,SHERIFF,False,2638,2012,2497
2021-08,SHERIFF,True,350,284,349
2021-08,SYCUAN TRIBAL POLICE DEPARTMENT,False,27,22,27
2021-08,SYCUAN TRIBAL POLICE DEPARTMENT,True,8,7,8
2021-09,CARLSBAD,False,346,277,332
2021-09,CARLSBAD,True,25,23,25
2021-09,CHULA VISTA,False,706,517,623
2021-09,CHULA VISTA,True,105,78,104
2021-09,EL CAJON,False,468,363,429
2021-09,EL CAJON,True,80,58,80
2021-09,ESCONDIDO,False,665,530,628
2021-09,ESCONDIDO,True,81,63,81
2021-09,HARBOR POLICE,False,152,122,151
2021-09,HARBOR POLICE,True,7,7,7
2021-09,LA MESA,False,208,169,190
2021-09,LA MESA,True,24,21,24
2021-09,NATIONAL CITY,False,255,197,226
2021-09,NATIONAL CITY,True,25,22,25
2021-09,OCEANSIDE,False,812,660,768
2021-09,OCEANSIDE,True,96,78,95
2021-09,SAN DIEGO,False,5385,4243,4844
2021-09,SAN DIEGO,True,515,447,513
2021-09,SHERIFF,False,2747,2051,2601
2021-09,SHERIFF,True,386,297,384
2021-10,CARLSBAD,False,438,354,418
2021-10,CARLSBAD,True,38,32,38
2021-10,CHULA VISTA,False,700,544,630
2021-10,CHULA VISTA,True,147,113,147
2021-10,EL CAJON,False,447,357,410
2021-10,EL CAJON,True,77,62,77
2021-10,ESCONDIDO,False,614,482,568
2021-10,ESCONDIDO,True,65,49,62
2021-10,HARBOR POLICE,False,148,103,148
2021-10,HARBOR POLICE,True,6,6,6
2021-10,LA MESA,False,196,152,177
2021-10,LA MESA,True,29,26,29
2021-10,NATIONAL CITY,False,263,201,231
2021-10,NATIONAL CITY,True,44,31,44
2021-10,OCEANSIDE,False,791,646,735
2021-10,OCEANSIDE,True,76,65,74
2021-10,SAN DIEGO,False,5711,4413,5034
2021-10,SAN DIEGO,True,490,409,486
2021-10,SHERIFF,False,2932,2173,2746
2021-10,SHERIFF,True,391,306,391
2021-11,CARLSBAD,False,346,291,328
2021-11,CARLSBAD,True,23,22,23
2021-11,CHULA VISTA,False,680,507,603
2021-11,CHULA VISTA,True,153,112,153
2021-11,EL CAJON,False,398,310,357
2021-11,EL CAJON,True,64,58,64
2021-11,ESCONDIDO,False,601,483,551
2021-11,ESCONDIDO,True,66,58,66
2021-11,HARBOR POLICE,False,109,87,108
2021-11,HARBOR POLICE,True,8,7,8
2021-11,LA MESA,False,179,145,166
2021-11,LA MESA,True,21,20,21
2021-11,NATIONAL CITY,False,268,209,250
2021-11,NATIONAL CITY,True,27,22,26
2021-11,OCEANSIDE,False,793,665,751
2021-11,OCEANSIDE,True,69,56,68
2021-11,SAN DIEGO,False,5184,4145,4645
2021-11,SAN DIEGO,True,458,404,456
2021-11,SHERIFF,False,2710,2055,2545
2021-11,SHERIFF,True,289,247,289
2021-12,CARLSBAD,False,384,316,371
2021-12,CARLSBAD,True,30,25,30
2021-12,CHULA VISTA,False,754,543,667
2021-12,CHULA VISTA,True,94,74,93
2021-12,EL CAJON,False,455,337,419
2021-12,EL CAJON,True,70,59,70
2021-12,ESCONDIDO,False,603,471,547
2021-12,ESCONDIDO,True,77,56,77
2021-12,HARBOR POLICE,False,119,99,118
2021-12,HARBOR POLICE,True,4,3,4
2021-12,LA MESA,False,191,150,172
2021-12,LA MESA,True,37,33,37
2021-12,NATIONAL CITY,False,324,240,285
2021-12,NATIONAL CITY,True,27,24,27
2021-12,OCEANSIDE,False,716,586,673
2021-12,OCEANSIDE,True,75,66,75
2021-12,SAN DIEGO,False,5031,4009,4527
2021-12,SAN DIEGO,True,407,363,404
2021-12,SHERIFF,False,2673,2023,2471
2021-12,SHERIFF,True,341,282,339
2022-01,CARLSBAD,False,446,367,432
2022-01,CARLSBAD,True,23,19,23
2022-01,CHULA VISTA,False,816,595,721
2022-01,CHULA VISTA,True,146,106,146
2022-01,EL CAJON,False,414,317,392
2022-01,EL CAJON,True,51,40,51
2022-01,ESCONDIDO,False,674,521,611
2022-01,ESCONDIDO,True,66,54,66
2022-01,HARBOR POLICE,False,97,85,96
2022-01,HARBOR POLICE,True,7,7,7
2022-01,LA MESA,False,207,159,187
2022-01,LA MESA,True,35,31,35
2022-01,NATIONAL CITY,False,281,225,260
2022-01,NATIONAL CITY,True,36,30,36
2022-01,OCEANSIDE,False,766,637,720
2022-01,OCEANSIDE,True,60,47,59
2022-01,SAN DIEGO,False,5115,4053,4575
2022-01,SAN DIEGO,True,468,399,463
2022-01,SHERIFF,False,2926,2138,2726
2022-01,SHERIFF,True,283,229,281
2022-02,CARLSBAD,False,390,311,369
2022-02,CARLSBAD,True,31,23,30
2022-02,CHULA VISTA,False,865,614,776
2022-02,CHULA VISTA,True,104,78,103
2022-02,EL CAJON,False,380,286,354
2022-02,EL CAJON,True,62,49,60
2022-02,ESCONDIDO,False,561,436,510
2022-02,ESCONDIDO,True,66,58,66
2022-02,HARBOR POLICE,False,81,65,80
2022-02,HARBOR POLICE,True,6,5,6
2022-02,LA MESA,False,205,158,185
2022-02,LA MESA,True,22,21,22
2022-02,NATIONAL CITY,False,277,220,262
2022-02,NATIONAL CITY,True,24,17,24
2022-02,OCEANSIDE,False,721,589,681
2022-02,OCEANSIDE,True,62,52,62
2022-02,SAN DIEGO,False,4939,3915,4452
2022-02,SAN DIEGO,True,411,346,408
2022-02,SHERIFF,False,2560,1945,2396
2022-02,SHERIFF,True,296,243,295
2022-03,CARLSBAD,False,416,346,400
2022-03,CARLSBAD,True,26,22,26
2022-03,CHULA VISTA,False,780,592,705
2022-03,CHULA VISTA,True,134,95,134
2022-03,EL CAJON,False,478,363,452
2022-03,EL CAJON,True,97,70,96
2022-03,ESCONDIDO,False,636,501,597
2022-03,ESCONDIDO,True,67,56,67
2022-03,HARBOR POLICE,False,125,99,124
2022-03,HARBOR POLICE,True,11,7,11
2022-03,LA MESA,False,254,194,239
2022-03,LA MESA,True,43,37,42
2022-03,NATIONAL CITY,False,272,219,246
2022-03,NATIONAL CITY,True,32,27,32
2022-03,OCEANSIDE,False,840,681,806
2022-03,OCEANSIDE,True,61,51,61
2022-03,SAN DIEGO,False,5311,4192,4804
2022-03,SAN DIEGO,True,492,420,488
2022-03,SHERIFF,False,2946,2218,2775
2022-03,SHERIFF,True,327,254,326
2022-04,CARLSBAD,False,503,377,480
2022-04,CARLSBAD,True,18,16,18
2022-04,CHULA VISTA,False,785,583,705
2022-04,CHULA VISTA,True,123,84,123
2022-04,EL CAJON,False,432,332,407
2022-04,EL CAJON,True,72,53,71
2022-04,ESCONDIDO,False,652,506,596
2022-04,ESCONDIDO,True,66,59,66
2022-04,HARBOR POLICE,False,110,92,108
2022-04,HARBOR POLICE,True,11,9,11
2022-04,LA MESA,False,206,170,197
2022-04,LA MESA,True,40,28,38
2022-04,NATIONAL CITY,False,280,218,251
2022-04,NATIONAL CITY,True,49,31,48
2022-04,OCEANSIDE,False,774,629,729
2022-04,OCEANSIDE,True,60,50,60
2022-04,SAN DIEGO,False,4882,3855,4358
2022-04,SAN DIEGO,True,452,390,449
2022-04,SHERIFF,False,2773,2102,2618
2022-04,SHERIFF,True,289,238,288
2022-05,CARLSBAD,False,426,324,406
2022-05,CARLSBAD,True,26,25,26
2022-05,CHULA VISTA,False,729,541,661
2022-05,CHULA VISTA,True,131,105,131
2022-05,EL CAJON,False,481,356,449
2022-05,EL CAJON,True,74,56,74
2022-05,ESCONDIDO,False,628,496,570
2022-05,ESCONDIDO,True,63,54,63
2022-05,HARBOR POLICE,False,116,101,116
2022-05,HARBOR POLICE,True,6,5,6
2022-05,LA MESA,False,216,174,204
2022-05,LA MESA,True,31,27,31
2022-05,NATIONAL CITY,False,296,220,259
2022-05,NATIONAL CITY,True,23,18,23
2022-05,OCEANSIDE,False,830,685,792
2022-05,OCEANSIDE,True,62,54,62
2022-05,SAN DIEGO,False,4678,3650,4163
2022-05,SAN DIEGO,True,471,395,468
2022-05,SHERIFF,False,2943,2157,2773
2022-05,SHERIFF,True,311,262,308
2022-06,CARLSBAD,False,407,322,393
2022-06,CARLSBAD,True,34,31,34
2022-06,CHULA VISTA,False,665,506,592
2022-06,CHULA VISTA,True,159,118,159
2022-06,EL CAJON,False,481,363,449
2022-06,EL CAJON,True,89,63,89
2022-06,ESCONDIDO,False,719,577,668
2022-06,ESCONDIDO,True,75,56,74
2022-06,HARBOR POLICE,False,101,82,98
2022-06,HARBOR POLICE,True,16,11,16
2022-06,LA MESA,False,212,161,195
2022-06,LA MESA,True,35,33,35
2022-06,NATIONAL CITY,False,251,190,234
2022-06,NATIONAL CITY,True,32,27,32
2022-06,OCEANSIDE,False,831,679,793
2022-06,OCEANSIDE,True,64,54,64
2022-06,SAN DIEGO,False,4843,3863,4309
2022-06,SAN DIEGO,True,502,420,498
2022-06,SHERIFF,False,2827,2100,2643
2022-06,SHERIFF,True,323,264,320
2022-07,CARLSBAD,False,403,311,391
2022-07,CARLSBAD,True,31,25,31
2022-07,CHULA VISTA,False,746,575,677
2022-07,CHULA VISTA,True,122,88,122
2022-07,EL CAJON,False,444,341,410
2022-07,EL CAJON,True,83,69,82
2022-07,ESCONDIDO,False,640,518,608
2022-07,ESCONDIDO,True,75,59,75
2022-07,HARBOR POLICE,False,125,116,125
2022-07,HARBOR POLICE,True,3,3,3
2022-07,LA MESA,False,216,165,197
2022-07,LA MESA,True,44,39,44
2022-07,NATIONAL CITY,False,279,203,252
2022-07,NATIONAL CITY,True,29,20,29
2022-07,OCEANSIDE,False,811,659,773
2022-07,OCEANSIDE,True,53,51,53
2022-07,SAN DIEGO,False,5089,4015,4524
2022-07,SAN DIEGO,True,485,426,478
2022-07,SHERIFF,False,2849,2146,2682
2022-07,SHERIFF,True,380,318,378
2022-08,CARLSBAD,False,349,281,339
2022-08,CARLSBAD,True,26,23,25
