date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2023-01-01,A,PE,66,66,59
2023-01-01,A,PR,179,179,173
2023-01-01,A,SO,8,8,7
2023-01-01,B,,26,26,26
2023-01-01,B,SO,31,31,30
2023-01-02,A,PE,38,38,35
2023-01-02,A,PR,139,139,131
2023-01-02,A,SO,23,23,17
2023-01-02,B,,47,47,47
2023-01-02,B,SO,6,6,6
2023-01-03,A,PE,29,29,25
2023-01-03,A,PR,110,110,104
2023-01-03,A,SO,13,13,9
2023-01-03,B,,50,50,50
2023-01-03,B,SO,6,6,4
2023-01-04,A,PE,25,25,24
2023-01-04,A,PR,117,117,115
2023-01-04,A,SO,24,24,19
2023-01-04,B,,41,41,41
2023-01-04,B,SO,7,7,7
2023-01-05,A,PE,29,29,23
2023-01-05,A,PR,116,116,113
2023-01-05,A,SO,17,17,13
2023-01-05,B,,47,47,47
2023-01-05,B,SO,7,7,7
2023-01-06,A,PE,30,30,27
2023-01-06,A,PR,112,112,106
2023-01-06,A,SO,27,27,18
2023-01-06,B,,58,58,58
2023-01-06,B,SO,21,21,20
2023-01-07,A,PE,46,46,43
2023-01-07,A,PR,121,121,113
2023-01-07,A,SO,23,23,19
2023-01-07,B,,37,37,37
2023-01-07,B,SO,19,19,19
2023-01-08,A,PE,32,32,30
2023-01-08,A,PR,100,100,95
2023-01-08,A,SO,17,17,15
2023-01-08,B,,26,26,26
2023-01-08,B,SO,8,8,8
2023-01-09,A,PE,33,33,29
2023-01-09,A,PR,112,112,107
2023-01-09,A,SO,21,21,17
2023-01-09,B,,45,45,45
2023-01-09,B,SO,10,10,10
2023-01-10,A,PE,32,32,27
2023-01-10,A,PR,117,117,106
2023-01-10,A,SO,16,16,12
2023-01-10,B,,47,47,47
2023-01-10,B,SO,12,12,12
2023-01-11,A,PE,34,34,29
2023-01-11,A,PR,110,110,105
2023-01-11,A,SO,9,9,8
2023-01-11,B,,52,52,52
2023-01-11,B,SO,8,8,8
2023-01-12,A,PE,29,29,26
2023-01-12,A,PR,115,115,108
2023-01-12,A,SO,25,25,19
2023-01-12,B,,44,44,44
2023-01-12,B,SO,15,15,15
2023-01-13,A,PE,38,38,34
2023-01-13,A,PR,104,104,95
2023-01-13,A,SO,23,23,16
2023-01-13,B,,44,44,44
2023-01-13,B,SO,16,16,16
2023-01-14,A,PE,42,42,40
2023-01-14,A,PR,135,135,125
2023-01-14,A,SO,12,12,9
2023-01-14,B,,43,43,43
2023-01-14,B,SO,17,17,17
2023-01-15,A,PE,27,27,27
2023-01-15,A,PR,114,114,106
2023-01-15,A,SO,8,8,7
2023-01-15,B,,34,34,34
2023-01-15,B,SO,8,8,8
2023-01-16,A,PE,33,33,31
2023-01-16,A,PR,88,88,82
2023-01-16,A,SO,14,14,12
2023-01-16,B,,35,35,35
2023-01-16,B,SO,8,8,8
2023-01-17,A,PE,18,18,18
2023-01-17,A,PR,109,109,103
2023-01-17,A,SO,17,17,12
2023-01-17,B,,37,37,37
2023-01-17,B,SO,8,8,7
2023-01-18,A,PE,27,27,25
2023-01-18,A,PR,102,102,99
2023-01-18,A,SO,17,17,15
2023-01-18,B,,40,40,40
2023-01-18,B,SO,13,13,13
2023-01-19,A,PE,20,20,19
2023-01-19,A,PR,100,100,99
2023-01-19,A,SO,11,11,8
2023-01-19,B,,55,55,55
2023-01-19,B,SO,9,9,9
2023-01-20,A,PE,26,26,24
2023-01-20,A,PR,121,121,114
2023-01-20,A,SO,15,15,12
2023-01-20,B,,39,39,39
