month,group_type,offense_code,offense_description,source_rows
2022-01,A,09A,Murder and Nonnegligent Manslaughter,4
2022-01,A,100,Kidnaping/Abduction,16
2022-01,A,100,Kidnapping/Abduction,3
2022-01,A,11A,Forcible Rape,28
2022-01,A,11B,Forcible Sodomy,5
2022-01,A,11C,Sexual Assault With an Object,5
2022-01,A,11D,Forcible Fondling,39
2022-01,A,120,Robbery,114
2022-01,A,13A,Aggravated Assault,308
2022-01,A,13B,Simple Assault,574
2022-01,A,13C,Intimidation,47
2022-01,A,200,Arson,21
2022-01,A,210,Extortion/Blackmail,6
2022-01,A,220,Burglary/Breaking & Entering,303
2022-01,A,23A,Pocket-Picking,4
2022-01,A,23B,Purse-Snatching,7
2022-01,A,23C,Shoplifting,115
2022-01,A,23D,Theft From Building,51
2022-01,A,23F,Theft From Motor Vehicle,704
2022-01,A,23G,Theft of Motor Vehicle Parts/Accessories,38
2022-01,A,23H,All Other Larceny,547
2022-01,A,240,Motor Vehicle Theft,537
2022-01,A,250,Counterfeiting/Forgery,33
2022-01,A,26A,False Pretenses/Swindle/Confidence Game,25
2022-01,A,26B,Credit Card/Automatic Teller Fraud,42
2022-01,A,26C,Impersonation,218
2022-01,A,26F,Identity Theft,6
2022-01,A,270,Embezzlement,15
2022-01,A,280,Stolen Property Offenses,77
2022-01,A,290,Destruction/Damage/Vandalism of Property,664
2022-01,A,35A,Drug/narcotic Violations,269
2022-01,A,35B,Drug Equipment Violations,140
2022-01,A,36B,Statutory Rape,1
2022-01,A,39C,Gambling Equipment Violations,1
2022-01,A,40A,Prostitution,17
2022-01,A,40B,Assisting or Promoting Prostitution,1
2022-01,A,520,Weapon Law Violations,100
2022-01,B,90B,Curfew/Loitering/Vagrancy Violations,6
2022-01,B,90C,Disorderly Conduct,3
2022-01,B,90D,Driving Under the Influence,120
2022-01,B,90E,Drunkenness,221
2022-01,B,90G,Liquor Law Violations,4
2022-01,B,90J,Trespass of Real Property,23
2022-01,B,90Z,All Other Offenses,1350
2022-02,A,09A,Murder and Nonnegligent Manslaughter,7
2022-02,A,100,Kidnaping/Abduction,9
2022-02,A,100,Kidnapping/Abduction,3
2022-02,A,11A,Forcible Rape,35
2022-02,A,11B,Forcible Sodomy,3
2022-02,A,11C,Sexual Assault With an Object,2
2022-02,A,11D,Forcible Fondling,34
2022-02,A,120,Robbery,97
2022-02,A,13A,Aggravated Assault,310
2022-02,A,13B,Simple Assault,507
2022-02,A,13C,Intimidation,53
2022-02,A,200,Arson,23
2022-02,A,210,Extortion/Blackmail,2
2022-02,A,220,Burglary/Breaking & Entering,292
2022-02,A,23A,Pocket-Picking,2
2022-02,A,23B,Purse-Snatching,7
2022-02,A,23C,Shoplifting,106
2022-02,A,23D,Theft From Building,25
2022-02,A,23E,Theft From Coin Operated Machine or Device,1
2022-02,A,23F,Theft From Motor Vehicle,712
2022-02,A,23G,Theft of Motor Vehicle Parts/Accessories,50
2022-02,A,23H,All Other Larceny,538
2022-02,A,240,Motor Vehicle Theft,479
2022-02,A,250,Counterfeiting/Forgery,19
2022-02,A,26A,False Pretenses/Swindle/Confidence Game,36
2022-02,A,26B,Credit Card/Automatic Teller Fraud,53
2022-02,A,26C,Impersonation,176
2022-02,A,26F,Identity Theft,2
2022-02,A,270,Embezzlement,10
2022-02,A,280,Stolen Property Offenses,88
2022-02,A,290,Destruction/Damage/Vandalism of Property,689
2022-02,A,35A,Drug/narcotic Violations,286
2022-02,A,35B,Drug Equipment Violations,128
2022-02,A,36B,Statutory Rape,1
2022-02,A,370,Pornography/Obscene Material,1
2022-02,A,40A,Prostitution,31
2022-02,A,520,Weapon Law Violations,104
2022-02,B,90B,Curfew/Loitering/Vagrancy Violations,13
2022-02,B,90C,Disorderly Conduct,9
2022-02,B,90D,Driving Under the Influence,126
2022-02,B,90E,Drunkenness,219
2022-02,B,90G,Liquor Law Violations,18
2022-02,B,90H,Peeping Tom,1
2022-02,B,90J,Trespass of Real Property,27
2022-02,B,90Z,All Other Offenses,1242
2022-03,A,09A,Murder and Nonnegligent Manslaughter,2
2022-03,A,100,Kidnaping/Abduction,17
2022-03,A,11A,Forcible Rape,30
2022-03,A,11B,Forcible Sodomy,9
2022-03,A,11C,Sexual Assault With an Object,6
2022-03,A,11D,Forcible Fondling,33
2022-03,A,120,Robbery,110
2022-03,A,13A,Aggravated Assault,364
2022-03,A,13B,Simple Assault,671
2022-03,A,13C,Intimidation,67
2022-03,A,200,Arson,13
2022-03,A,210,Extortion/Blackmail,6
2022-03,A,220,Burglary/Breaking & Entering,308
2022-03,A,23A,Pocket-Picking,8
2022-03,A,23B,Purse-Snatching,4
2022-03,A,23C,Shoplifting,94
2022-03,A,23D,Theft From Building,41
2022-03,A,23E,Theft From Coin Operated Machine or Device,1
2022-03,A,23F,Theft From Motor Vehicle,628
2022-03,A,23G,Theft of Motor Vehicle Parts/Accessories,38
2022-03,A,23H,All Other Larceny,626
2022-03,A,240,Motor Vehicle Theft,510
2022-03,A,250,Counterfeiting/Forgery,19
2022-03,A,26A,False Pretenses/Swindle/Confidence Game,38
2022-03,A,26B,Credit Card/Automatic Teller Fraud,73
2022-03,A,26C,Impersonation,221
2022-03,A,26F,Identity Theft,4
2022-03,A,270,Embezzlement,4
2022-03,A,280,Stolen Property Offenses,95
2022-03,A,290,Destruction/Damage/Vandalism of Property,691
2022-03,A,35A,Drug/narcotic Violations,346
2022-03,A,35B,Drug Equipment Violations,163
2022-03,A,370,Pornography/Obscene Material,2
2022-03,A,39B,Operating/Promoting/Assisting Gambling,1
2022-03,A,39C,Gambling Equipment Violations,1
2022-03,A,40A,Prostitution,5
2022-03,A,40B,Assisting or Promoting Prostitution,3
2022-03,A,520,Weapon Law Violations,110
2022-03,B,90B,Curfew/Loitering/Vagrancy Violations,27
2022-03,B,90C,Disorderly Conduct,6
2022-03,B,90D,Driving Under the Influence,136
2022-03,B,90E,Drunkenness,286
2022-03,B,90G,Liquor Law Violations,6
2022-03,B,90H,Peeping Tom,1
2022-03,B,90J,Trespass of Real Property,38
2022-03,B,90Z,All Other Offenses,1508
2022-04,A,09A,Murder and Nonnegligent Manslaughter,5
2022-04,A,100,Kidnaping/Abduction,13
2022-04,A,100,Kidnapping/Abduction,2
2022-04,A,11A,Forcible Rape,23
2022-04,A,11B,Forcible Sodomy,3
2022-04,A,11C,Sexual Assault With an Object,8
2022-04,A,11D,Forcible Fondling,46
2022-04,A,120,Robbery,94
2022-04,A,13A,Aggravated Assault,364
2022-04,A,13B,Simple Assault,592
2022-04,A,13C,Intimidation,67
2022-04,A,200,Arson,11
2022-04,A,210,Extortion/Blackmail,5
2022-04,A,220,Burglary/Breaking & Entering,286
2022-04,A,23A,Pocket-Picking,3
2022-04,A,23B,Purse-Snatching,5
2022-04,A,23C,Shoplifting,79
2022-04,A,23D,Theft From Building,42
2022-04,A,23E,Theft From Coin Operated Machine or Device,2
2022-04,A,23F,Theft From Motor Vehicle,470
