year,domestic_violence
1986,11414
1987,14082
1988,15570
1989,15420
1990,16454
1991,22092
1992,28431
1993,28597
1994,29306
1995,28518
1996,26327
1997,24266
1998,20592
1999,20181
2000,20548
2001,20793
2002,21855
2003,21756
2004,21351
2005,21104
2006,19886
2007,18874
2008,16759
2009,17621
2010,17129
2011,16015
2012,16668
2013,16685
2014,16991
2015,17566
2016,16719
2017,17306
2018,17535
2019,17430
2020,17679
2021,18204
2022,17472
