date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2025-01-01,A,PE,68,68,58
2025-01-01,A,PR,127,127,123
2025-01-01,A,SO,35,35,24
2025-01-01,B,,43,43,43
2025-01-01,B,SO,30,30,30
2025-01-02,A,PE,33,33,28
2025-01-02,A,PR,117,117,107
2025-01-02,A,SO,36,36,27
2025-01-02,B,,54,54,54
2025-01-02,B,SO,14,14,14
2025-01-03,A,PE,31,31,28
2025-01-03,A,PR,104,104,101
2025-01-03,A,SO,37,37,24
2025-01-03,B,,58,58,58
2025-01-03,B,SO,8,8,8
2025-01-04,A,PE,42,42,34
2025-01-04,A,PR,103,103,96
2025-01-04,A,SO,36,36,24
2025-01-04,B,,49,49,49
2025-01-04,B,SO,17,17,17
2025-01-05,A,PE,46,46,44
2025-01-05,A,PR,98,98,92
2025-01-05,A,SO,12,12,11
2025-01-05,B,,35,35,35
2025-01-05,B,SO,16,16,16
2025-01-06,A,PE,37,37,28
2025-01-06,A,PR,109,109,102
2025-01-06,A,SO,27,27,21
2025-01-06,B,,39,39,39
2025-01-06,B,SO,4,4,4
2025-01-07,A,PE,32,32,30
2025-01-07,A,PR,120,120,115
2025-01-07,A,SO,41,41,30
2025-01-07,B,,61,61,61
2025-01-07,B,SO,9,9,9
2025-01-08,A,PE,29,29,28
2025-01-08,A,PR,75,75,71
2025-01-08,A,SO,43,43,29
2025-01-08,B,,61,61,61
2025-01-08,B,SO,6,6,6
2025-01-09,A,PE,16,16,15
2025-01-09,A,PR,87,87,83
2025-01-09,A,SO,33,33,22
2025-01-09,B,,56,56,56
2025-01-09,B,SO,9,9,9
2025-01-10,A,PE,41,41,34
2025-01-10,A,PR,86,86,82
2025-01-10,A,SO,21,21,16
2025-01-10,B,,44,44,44
2025-01-10,B,SO,7,7,7
2025-01-11,A,PE,45,45,39
2025-01-11,A,PR,95,95,90
2025-01-11,A,SO,22,22,15
2025-01-11,B,,44,44,44
2025-01-11,B,SO,20,20,20
2025-01-12,A,PE,35,35,35
2025-01-12,A,PR,83,83,78
2025-01-12,A,SO,17,17,12
2025-01-12,B,,43,43,43
2025-01-12,B,SO,17,17,17
2025-01-13,A,PE,22,22,19
2025-01-13,A,PR,94,94,89
2025-01-13,A,SO,31,31,19
2025-01-13,B,,46,46,46
2025-01-13,B,SO,11,11,11
2025-01-14,A,PE,26,26,23
2025-01-14,A,PR,81,81,79
2025-01-14,A,SO,29,29,22
2025-01-14,B,,45,45,45
2025-01-14,B,SO,8,8,8
2025-01-15,A,PE,37,37,34
2025-01-15,A,PR,102,102,96
2025-01-15,A,SO,26,26,20
2025-01-15,B,,47,47,47
2025-01-15,B,SO,6,6,6
2025-01-16,A,PE,34,34,29
2025-01-16,A,PR,101,101,95
2025-01-16,A,SO,40,40,30
2025-01-16,B,,62,62,62
2025-01-16,B,SO,10,10,10
2025-01-17,A,PE,42,42,41
2025-01-17,A,PR,103,103,98
2025-01-17,A,SO,20,20,16
2025-01-17,B,,51,51,51
