agency,source_rows,domestic_violence_incident,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
CARLSBAD,4272,,4189,4270,4270
CHULA VISTA,5658,,5515,5647,5644
EL CAJON,5357,,4712,5345,5332
ESCONDIDO,9550,,9333,9550,9550
HARBOR POLICE,2073,,2062,2073,2072
LA MESA,3151,,3105,3149,3146
NATIONAL CITY,2538,,2453,2531,2530
OCEANSIDE,6338,,6266,6332,6330
SAN DIEGO,45455,,44573,45371,45358
SHERIFF,27778,,27257,27726,27725
