month,group_type,offense_code,offense_description,source_rows
2024-01,A,09A,Murder and Nonnegligent Manslaughter,2
2024-01,A,100,Kidnaping/Abduction,15
2024-01,A,100,Kidnapping/Abduction,1
2024-01,A,11A,Forcible Rape,19
2024-01,A,11B,Forcible Sodomy,2
2024-01,A,11C,Sexual Assault With an Object,3
2024-01,A,11D,Forcible Fondling,63
2024-01,A,120,Robbery,110
2024-01,A,13A,Aggravated Assault,382
2024-01,A,13B,Simple Assault,568
2024-01,A,13C,Intimidation,95
2024-01,A,200,Arson,14
2024-01,A,210,Extortion/Blackmail,4
2024-01,A,220,Burglary/Breaking & Entering,267
2024-01,A,23A,Pocket-Picking,7
2024-01,A,23B,Purse-Snatching,5
2024-01,A,23C,Shoplifting,121
2024-01,A,23D,Theft From Building,33
2024-01,A,23E,Theft From Coin Operated Machine or Device,1
2024-01,A,23F,Theft From Motor Vehicle,424
2024-01,A,23G,Theft of Motor Vehicle Parts/Accessories,48
2024-01,A,23H,All Other Larceny,781
2024-01,A,240,Motor Vehicle Theft,447
2024-01,A,250,Counterfeiting/Forgery,17
2024-01,A,26A,False Pretenses/Swindle/Confidence Game,32
2024-01,A,26B,Credit Card/Automatic Teller Fraud,16
2024-01,A,26C,Impersonation,184
2024-01,A,26F,Identity Theft,26
2024-01,A,26G,Hacking/Computer Fraud,1
2024-01,A,270,Embezzlement,12
2024-01,A,280,Stolen Property Offenses,74
2024-01,A,290,Destruction/Damage/Vandalism of Property,546
2024-01,A,35A,Drug/narcotic Violations,319
2024-01,A,35B,Drug Equipment Violations,205
2024-01,A,36B,Statutory Rape,1
2024-01,A,370,Pornography/Obscene Material,6
2024-01,A,40A,Prostitution,4
2024-01,A,40B,Assisting or Promoting Prostitution,1
2024-01,A,520,Weapon Law Violations,65
2024-01,A,720,Animal Cruelty,3
2024-01,B,90B,Curfew/Loitering/Vagrancy Violations,18
2024-01,B,90C,Disorderly Conduct,222
2024-01,B,90D,Driving Under the Influence,107
2024-01,B,90F,Family Offenses (Nonviolent),1
2024-01,B,90G,Liquor Law Violations,1
2024-01,B,90H,Peeping Tom,1
2024-01,B,90J,Trespass of Real Property,43
2024-01,B,90Z,All Other Offenses,1345
2024-02,A,09A,Murder and Nonnegligent Manslaughter,4
2024-02,A,100,Kidnaping/Abduction,23
2024-02,A,100,Kidnapping/Abduction,2
2024-02,A,11A,Forcible Rape,27
2024-02,A,11B,Forcible Sodomy,2
2024-02,A,11C,Sexual Assault With an Object,4
2024-02,A,11D,Forcible Fondling,27
2024-02,A,120,Robbery,91
2024-02,A,13A,Aggravated Assault,328
2024-02,A,13B,Simple Assault,473
2024-02,A,13C,Intimidation,83
2024-02,A,200,Arson,7
2024-02,A,210,Extortion/Blackmail,5
2024-02,A,220,Burglary/Breaking & Entering,208
2024-02,A,23A,Pocket-Picking,13
2024-02,A,23B,Purse-Snatching,4
2024-02,A,23C,Shoplifting,117
2024-02,A,23D,Theft From Building,30
2024-02,A,23F,Theft From Motor Vehicle,437
2024-02,A,23G,Theft of Motor Vehicle Parts/Accessories,34
2024-02,A,23H,All Other Larceny,661
2024-02,A,240,Motor Vehicle Theft,479
2024-02,A,250,Counterfeiting/Forgery,12
2024-02,A,26A,False Pretenses/Swindle/Confidence Game,32
2024-02,A,26B,Credit Card/Automatic Teller Fraud,17
2024-02,A,26C,Impersonation,156
2024-02,A,26F,Identity Theft,26
2024-02,A,26G,Hacking/Computer Fraud,2
2024-02,A,270,Embezzlement,16
2024-02,A,280,Stolen Property Offenses,69
2024-02,A,290,Destruction/Damage/Vandalism of Property,520
2024-02,A,35A,Drug/narcotic Violations,314
2024-02,A,35B,Drug Equipment Violations,194
2024-02,A,36B,Statutory Rape,3
2024-02,A,370,Pornography/Obscene Material,4
2024-02,A,40A,Prostitution,4
2024-02,A,520,Weapon Law Violations,90
2024-02,A,720,Animal Cruelty,3
2024-02,B,90B,Curfew/Loitering/Vagrancy Violations,16
2024-02,B,90C,Disorderly Conduct,199
2024-02,B,90D,Driving Under the Influence,123
2024-02,B,90G,Liquor Law Violations,4
2024-02,B,90H,Peeping Tom,2
2024-02,B,90J,Trespass of Real Property,29
2024-02,B,90Z,All Other Offenses,1244
2024-03,A,09A,Murder and Nonnegligent Manslaughter,5
2024-03,A,100,Kidnaping/Abduction,18
2024-03,A,100,Kidnapping/Abduction,6
2024-03,A,11A,Forcible Rape,23
2024-03,A,11B,Forcible Sodomy,2
2024-03,A,11C,Sexual Assault With an Object,2
2024-03,A,11D,Forcible Fondling,27
2024-03,A,120,Robbery,94
2024-03,A,13A,Aggravated Assault,326
2024-03,A,13B,Simple Assault,564
2024-03,A,13C,Intimidation,73
2024-03,A,200,Arson,4
2024-03,A,210,Extortion/Blackmail,4
2024-03,A,220,Burglary/Breaking & Entering,239
2024-03,A,23A,Pocket-Picking,3
2024-03,A,23B,Purse-Snatching,4
2024-03,A,23C,Shoplifting,180
2024-03,A,23D,Theft From Building,32
2024-03,A,23F,Theft From Motor Vehicle,426
2024-03,A,23G,Theft of Motor Vehicle Parts/Accessories,41
2024-03,A,23H,All Other Larceny,778
2024-03,A,240,Motor Vehicle Theft,448
2024-03,A,250,Counterfeiting/Forgery,11
2024-03,A,26A,False Pretenses/Swindle/Confidence Game,24
2024-03,A,26B,Credit Card/Automatic Teller Fraud,12
2024-03,A,26C,Impersonation,187
2024-03,A,26F,Identity Theft,20
2024-03,A,270,Embezzlement,8
2024-03,A,280,Stolen Property Offenses,73
2024-03,A,290,Destruction/Damage/Vandalism of Property,565
2024-03,A,35A,Drug/narcotic Violations,303
2024-03,A,35B,Drug Equipment Violations,211
