month,group_type,offense_code,offense_description,source_rows
2023-01,A,09A,Murder and Nonnegligent Manslaughter,12
2023-01,A,100,Kidnaping/Abduction,17
2023-01,A,100,Kidnapping/Abduction,1
2023-01,A,11A,Forcible Rape,21
2023-01,A,11B,Forcible Sodomy,5
2023-01,A,11C,Sexual Assault With an Object,6
2023-01,A,11D,Forcible Fondling,31
2023-01,A,120,Robbery,97
2023-01,A,13A,Aggravated Assault,312
2023-01,A,13B,Simple Assault,533
2023-01,A,13C,Intimidation,78
2023-01,A,200,Arson,12
2023-01,A,210,Extortion/Blackmail,9
2023-01,A,220,Burglary/Breaking & Entering,258
2023-01,A,23A,Pocket-Picking,9
2023-01,A,23B,Purse-Snatching,5
2023-01,A,23C,Shoplifting,113
2023-01,A,23D,Theft From Building,36
2023-01,A,23E,Theft From Coin Operated Machine or Device,1
2023-01,A,23F,Theft From Motor Vehicle,515
2023-01,A,23G,Theft of Motor Vehicle Parts/Accessories,71
2023-01,A,23H,All Other Larceny,620
2023-01,A,240,Motor Vehicle Theft,559
2023-01,A,250,Counterfeiting/Forgery,21
2023-01,A,26A,False Pretenses/Swindle/Confidence Game,45
2023-01,A,26B,Credit Card/Automatic Teller Fraud,36
2023-01,A,26C,Impersonation,327
2023-01,A,26F,Identity Theft,32
2023-01,A,26G,Hacking/Computer Fraud,1
2023-01,A,270,Embezzlement,16
2023-01,A,280,Stolen Property Offenses,69
2023-01,A,290,Destruction/Damage/Vandalism of Property,596
2023-01,A,35A,Drug/narcotic Violations,277
2023-01,A,35B,Drug Equipment Violations,160
2023-01,A,36B,Statutory Rape,5
2023-01,A,370,Pornography/Obscene Material,1
2023-01,A,40A,Prostitution,10
2023-01,A,40B,Assisting or Promoting Prostitution,4
2023-01,A,520,Weapon Law Violations,80
2023-01,A,64B,"Human Trafficking, Involuntary Servitude",3
2023-01,A,720,Animal Cruelty,2
2023-01,B,90B,Curfew/Loitering/Vagrancy Violations,21
2023-01,B,90C,Disorderly Conduct,11
2023-01,B,90D,Driving Under the Influence,134
2023-01,B,90E,Drunkenness,173
2023-01,B,90G,Liquor Law Violations,6
2023-01,B,90H,Peeping Tom,1
2023-01,B,90J,Trespass of Real Property,28
2023-01,B,90Z,All Other Offenses,1321
2023-02,A,09A,Murder and Nonnegligent Manslaughter,1
2023-02,A,100,Kidnaping/Abduction,18
2023-02,A,100,Kidnapping/Abduction,1
2023-02,A,11A,Forcible Rape,17
2023-02,A,11B,Forcible Sodomy,3
2023-02,A,11C,Sexual Assault With an Object,1
2023-02,A,11D,Forcible Fondling,47
2023-02,A,120,Robbery,85
2023-02,A,13A,Aggravated Assault,299
2023-02,A,13B,Simple Assault,499
2023-02,A,13C,Intimidation,64
2023-02,A,200,Arson,8
2023-02,A,210,Extortion/Blackmail,3
2023-02,A,220,Burglary/Breaking & Entering,256
2023-02,A,23A,Pocket-Picking,5
2023-02,A,23B,Purse-Snatching,6
2023-02,A,23C,Shoplifting,124
2023-02,A,23D,Theft From Building,38
2023-02,A,23F,Theft From Motor Vehicle,456
2023-02,A,23G,Theft of Motor Vehicle Parts/Accessories,80
2023-02,A,23H,All Other Larceny,613
2023-02,A,240,Motor Vehicle Theft,499
2023-02,A,250,Counterfeiting/Forgery,14
2023-02,A,26A,False Pretenses/Swindle/Confidence Game,42
2023-02,A,26B,Credit Card/Automatic Teller Fraud,29
2023-02,A,26C,Impersonation,162
2023-02,A,26F,Identity Theft,28
2023-02,A,270,Embezzlement,12
2023-02,A,280,Stolen Property Offenses,70
2023-02,A,290,Destruction/Damage/Vandalism of Property,528
2023-02,A,35A,Drug/narcotic Violations,266
2023-02,A,35B,Drug Equipment Violations,135
2023-02,A,36B,Statutory Rape,3
2023-02,A,370,Pornography/Obscene Material,1
2023-02,A,40A,Prostitution,22
2023-02,A,520,Weapon Law Violations,77
2023-02,A,720,Animal Cruelty,1
2023-02,B,90B,Curfew/Loitering/Vagrancy Violations,20
2023-02,B,90C,Disorderly Conduct,10
2023-02,B,90D,Driving Under the Influence,135
2023-02,B,90E,Drunkenness,166
2023-02,B,90G,Liquor Law Violations,6
2023-02,B,90J,Trespass of Real Property,27
2023-02,B,90Z,All Other Offenses,1244
2023-03,A,09A,Murder and Nonnegligent Manslaughter,6
