date,group_type,crime_against,source_rows,distinct_nibrs_offense_ids,distinct_case_numbers
2022-01-01,A,PE,84,84,70
2022-01-01,A,PR,147,147,133
2022-01-01,A,SO,13,13,9
2022-01-01,B,,37,37,37
2022-01-01,B,SO,44,44,44
2022-01-02,A,PE,25,25,22
2022-01-02,A,PR,115,115,111
2022-01-02,A,SO,16,16,10
2022-01-02,B,,45,45,45
2022-01-02,B,SO,18,18,18
2022-01-03,A,PE,34,34,26
2022-01-03,A,PR,110,110,104
2022-01-03,A,SO,19,19,15
2022-01-03,B,,31,31,31
2022-01-03,B,SO,4,4,4
2022-01-04,A,PE,27,27,25
2022-01-04,A,PR,101,101,96
2022-01-04,A,SO,16,16,12
2022-01-04,B,,39,39,39
2022-01-04,B,SO,5,5,5
2022-01-05,A,PE,20,20,19
2022-01-05,A,PR,129,129,121
2022-01-05,A,SO,16,16,11
2022-01-05,B,,50,50,50
2022-01-05,B,SO,6,6,6
2022-01-06,A,PE,34,34,32
2022-01-06,A,PR,118,118,110
2022-01-06,A,SO,15,15,14
2022-01-06,B,,37,37,37
2022-01-06,B,SO,10,10,10
2022-01-07,A,PE,34,34,33
2022-01-07,A,PR,118,118,108
2022-01-07,A,SO,15,15,11
2022-01-07,B,,32,32,32
2022-01-07,B,SO,5,5,5
2022-01-08,A,PE,41,41,36
2022-01-08,A,PR,95,95,90
2022-01-08,A,SO,12,12,9
2022-01-08,B,,34,34,34
2022-01-08,B,SO,11,11,11
2022-01-09,A,PE,35,35,31
2022-01-09,A,PR,111,111,107
2022-01-09,A,SO,12,12,11
2022-01-09,B,,42,42,42
2022-01-09,B,SO,8,8,8
2022-01-10,A,PE,26,26,24
2022-01-10,A,PR,128,128,119
2022-01-10,A,SO,12,12,11
2022-01-10,B,,44,44,44
2022-01-10,B,SO,6,6,6
2022-01-11,A,PE,38,38,35
2022-01-11,A,PR,98,98,91
2022-01-11,A,SO,12,12,10
2022-01-11,B,,49,49,49
2022-01-11,B,SO,12,12,12
2022-01-12,A,PE,15,15,14
2022-01-12,A,PR,100,100,97
2022-01-12,A,SO,16,16,12
2022-01-12,B,,43,43,43
2022-01-12,B,SO,4,4,4
2022-01-13,A,PE,32,32,25
2022-01-13,A,PR,101,101,92
2022-01-13,A,SO,24,24,18
2022-01-13,B,,44,44,44
2022-01-13,B,SO,8,8,8
2022-01-14,A,PE,33,33,30
2022-01-14,A,PR,118,118,107
2022-01-14,A,SO,22,22,18
2022-01-14,B,,48,48,48
2022-01-14,B,SO,12,12,12
2022-01-15,A,PE,28,28,24
2022-01-15,A,PR,133,133,127
2022-01-15,A,SO,15,15,12
2022-01-15,B,,47,47,47
2022-01-15,B,SO,23,23,23
2022-01-16,A,PE,40,40,37
2022-01-16,A,PR,106,106,99
2022-01-16,A,SO,10,10,9
2022-01-16,B,,29,29,29
2022-01-16,B,SO,10,10,10
2022-01-17,A,PE,35,35,29
2022-01-17,A,PR,97,97,92
2022-01-17,A,SO,21,21,17
2022-01-17,B,,40,40,40
2022-01-17,B,SO,9,9,9
2022-01-18,A,PE,28,28,25
2022-01-18,A,PR,117,117,112
2022-01-18,A,SO,15,15,11
2022-01-18,B,,47,47,47
2022-01-18,B,SO,9,9,9
2022-01-19,A,PE,39,39,32
2022-01-19,A,PR,103,103,90
2022-01-19,A,SO,15,15,11
2022-01-19,B,,51,51,51
2022-01-19,B,SO,6,6,6
2022-01-20,A,PE,29,29,23
2022-01-20,A,PR,120,120,114
2022-01-20,A,SO,30,30,20
2022-01-20,B,,62,62,62
2022-01-20,B,SO,7,7,7
2022-01-21,A,PE,26,26,23
2022-01-21,A,PR,125,125,118
2022-01-21,A,SO,16,16,14
2022-01-21,B,,47,47,47
2022-01-21,B,SO,9,9,9
2022-01-22,A,PE,38,38,35
2022-01-22,A,PR,108,108,102
2022-01-22,A,SO,12,12,9
2022-01-22,B,,42,42,42
2022-01-22,B,SO,23,23,23
2022-01-23,A,PE,28,28,27
2022-01-23,A,PR,109,109,101
2022-01-23,A,SO,10,10,7
2022-01-23,B,,36,36,36
2022-01-23,B,SO,26,26,25
2022-01-24,A,PE,37,37,34
2022-01-24,A,PR,103,103,99
2022-01-24,A,SO,26,26,19
2022-01-24,B,,42,42,42
2022-01-24,B,SO,4,4,4
2022-01-25,A,PE,28,28,25
2022-01-25,A,PR,104,104,95
2022-01-25,A,SO,18,18,15
2022-01-25,B,,51,51,51
